frame_seq,t_sent_ns,t_recv_ns,latency_ns
0,1777235386608774907,1777235386622389150,13614243
1,1777235386710559078,1777235386715412571,4853493
2,1777235386808621872,1777235386813441733,4819861
3,1777235386913561704,1777235386916994660,3432956
4,1777235387018139136,1777235387021447350,3308214
5,1777235387110729578,1777235387114166877,3437299
6,1777235387209162865,1777235387214386640,5223775
7,1777235387310322989,1777235387349164295,38841306
8,1777235387410929915,1777235387442717443,31787528
9,1777235387510944108,1777235387514200590,3256482
10,1777235387607906179,1777235387631486235,23580056
11,1777235387710182874,1777235387712782859,2599985
12,1777235387809350059,1777235387813097979,3747920
13,1777235387907401008,1777235387920681086,13280078
14,1777235388009931871,1777235388033379940,23448069
15,1777235388111962862,1777235388115513191,3550329
16,1777235388210455930,1777235388224063567,13607637
17,1777235388311821930,1777235388316041934,4220004
18,1777235388411417133,1777235388424675009,13257876
19,1777235388510445289,1777235388523744933,13299644
20,1777235388611381333,1777235388614757958,3376625
21,1777235388710181144,1777235388713989467,3808323
22,1777235388811544897,1777235388815946265,4401368
23,1777235388911798704,1777235388915933395,4134691
24,1777235389017274271,1777235389039980909,22706638
25,1777235389108760653,1777235389121122043,12361390
26,1777235389208633744,1777235389212078338,3444594
27,1777235389308935803,1777235389312757793,3821990
28,1777235389409897581,1777235389422902115,13004534
29,1777235389509728772,1777235389522575453,12846681
30,1777235389614031073,1777235389617424853,3393780
31,1777235389716024123,1777235389719238287,3214164
32,1777235389811511417,1777235389815566428,4055011
33,1777235389909104082,1777235389912800508,3696426
34,1777235390010974563,1777235390015625215,4650652
35,1777235390108843216,1777235390112594212,3750996
36,1777235390211069332,1777235390224857841,13788509
37,1777235390310227389,1777235390323651670,13424281
38,1777235390407946895,1777235390421156433,13209538
39,1777235390510080054,1777235390513635856,3555802
40,1777235390617795643,1777235390631475487,13679844
41,1777235390717086904,1777235390722259252,5172348
42,1777235390809732304,1777235390816364878,6632574
43,1777235390915505978,1777235390938358786,22852808
44,1777235391010167431,1777235391014536657,4369226
45,1777235391111923468,1777235391116690150,4766682
46,1777235391211335900,1777235391215181349,3845449
47,1777235391307371401,1777235391321049213,13677812
48,1777235391406781262,1777235391410597986,3816724
49,1777235391513170422,1777235391516769944,3599522
50,1777235391607405255,1777235391631602625,24197370
51,1777235391710497829,1777235391714080885,3583056
52,1777235391811107381,1777235391824686293,13578912
53,1777235391908096855,1777235391911636905,3540050
54,1777235392010035076,1777235392034310795,24275719
55,1777235392110438671,1777235392123499018,13060347
56,1777235392205700145,1777235392219115233,13415088
57,1777235392310085384,1777235392315656459,5571075
58,1777235392406845862,1777235392409959109,3113247
59,1777235392509960291,1777235392515092015,5131724
60,1777235392610138955,1777235392623899247,13760292
61,1777235392713729413,1777235392726972215,13242802
62,1777235392808135256,1777235392821478649,13343393
63,1777235392910375056,1777235392914785073,4410017
64,1777235393010988168,1777235393014933240,3945072
65,1777235393110301441,1777235393116186253,5884812
66,1777235393209621235,1777235393223327633,13706398
67,1777235393309110061,1777235393313681414,4571353
68,1777235393409188199,1777235393433362120,24173921
69,1777235393510277862,1777235393513610017,3332155
70,1777235393609061172,1777235393614384157,5322985
71,1777235393707834627,1777235393712116477,4281850
72,1777235393810279325,1777235393813963180,3683855
73,1777235393909456330,1777235393914046548,4590218
74,1777235394010715636,1777235394014946523,4230887
75,1777235394111496767,1777235394116906210,5409443
76,1777235394206259808,1777235394209680894,3421086
77,1777235394309637180,1777235394313318121,3680941
78,1777235394409126121,1777235394412487800,3361679
79,1777235394510998808,1777235394514920390,3921582
80,1777235394605846335,1777235394619718817,13872482
81,1777235394710147213,1777235394724274778,14127565
82,1777235394810206756,1777235394813696894,3490138
83,1777235394910386299,1777235394914627735,4241436
84,1777235395007193386,1777235395021662759,14469373
85,1777235395108437419,1777235395111744491,3307072
86,1777235395207934734,1777235395211073899,3139165
87,1777235395312215826,1777235395317514035,5298209
88,1777235395410693154,1777235395415316961,4623807
89,1777235395510324384,1777235395523917567,13593183
90,1777235395608303298,1777235395621239524,12936226
91,1777235395710091067,1777235395716712818,6621751
92,1777235395810822288,1777235395814873602,4051314
93,1777235395911413317,1777235395916799503,5386186
94,1777235396010809706,1777235396015842824,5033118
