t_sample,cpu_pct,rss_mb
1777235387.542124,62.6,733.34765625
1777235388.5899723,55.4,734.77734375
1777235389.6177063,56.4,736.5859375
1777235390.6316655,61.1,736.66796875
1777235391.6317983,60.0,737.5234375
1777235392.6380963,56.6,738.75
1777235393.6398835,58.9,739.50390625
1777235394.686304,53.5,739.50390625
1777235395.688059,60.9,739.87109375
1777235396.6916902,58.8,739.87109375
1777235397.71255,62.7,739.875
1777235398.7142801,58.9,740.11328125
1777235399.7507682,61.7,740.11328125
1777235400.7849479,68.7,741.7421875
1777235401.7967138,66.2,741.93359375
1777235402.8125885,63.0,741.93359375
1777235403.837573,64.4,741.93359375
1777235404.8408911,68.8,742.11328125
1777235405.8449185,62.7,742.11328125
1777235406.8859258,56.7,742.3203125
1777235407.9147546,61.2,742.71875
1777235408.922887,60.5,742.71875
1777235409.932514,55.5,742.82421875
1777235410.9360626,60.8,742.82421875
1777235411.9424691,49.7,743.703125
1777235412.9791174,55.9,743.703125
1777235413.9905727,57.3,743.703125
1777235415.0141263,61.6,743.703125
1777235416.0142825,59.0,743.703125
1777235417.0299797,60.1,743.703125
1777235418.0432448,58.2,743.703125
1777235419.0932927,53.3,743.83984375
1777235420.0959215,58.8,743.83984375
1777235421.116059,58.8,743.83984375
1777235422.1226397,61.6,743.94140625
1777235423.1441064,53.8,743.94140625
1777235424.1867247,53.7,743.94140625
1777235425.2181382,64.0,743.94140625
1777235426.2415066,63.5,745.57421875
1777235427.2415984,58.0,746.55859375
1777235428.2422676,57.0,746.55859375
1777235429.291474,51.5,746.55859375
1777235430.2988424,61.5,746.55859375
1777235431.3159986,60.0,746.55859375
1777235432.3162518,57.0,746.55859375
1777235433.3216286,60.7,746.55859375
1777235434.3370337,58.1,746.55859375
1777235435.3475826,58.4,746.55859375
1777235436.3909686,47.9,746.55859375
1777235437.3934524,20.9,746.55859375
1777235438.3970683,20.9,726.9140625
1777235439.4133537,173.2,749.46875
1777235440.432441,61.8,749.765625
1777235441.4352264,54.8,749.765625
1777235442.442785,62.5,749.83984375
1777235443.4543827,58.3,749.92578125
1777235444.4802477,58.5,749.92578125
1777235445.49529,57.1,749.92578125
1777235446.5244002,62.2,749.92578125
1777235447.5417812,60.0,750.8046875
1777235448.5445554,61.8,750.8046875
1777235449.5924172,58.2,750.8046875
1777235450.593851,56.9,750.8046875
1777235451.6189091,64.4,750.8046875
1777235452.6414964,59.7,750.8046875
1777235453.6613443,54.9,750.8046875
1777235454.6816635,58.8,750.8046875
1777235455.6832182,45.9,750.8046875
1777235456.6888819,54.7,750.8046875
1777235457.693478,48.8,750.8046875
1777235458.7242525,59.2,750.8046875
1777235459.737449,54.3,750.8046875
1777235460.782109,56.5,750.8046875
1777235461.8020794,60.8,750.8046875
1777235462.8142755,61.3,750.8046875
1777235463.8262084,57.3,750.8046875
1777235464.8360934,58.4,750.8046875
1777235465.8407192,59.7,750.8046875
1777235466.8902504,56.2,750.8046875
1777235467.8917716,56.9,750.8046875
1777235468.8921125,60.0,750.8046875
1777235469.924306,63.0,750.8046875
1777235470.9450512,59.8,750.8046875
1777235471.9858327,55.7,750.8046875
1777235472.9929867,53.6,750.8046875
1777235474.0193849,61.4,750.8046875
1777235475.0273705,60.5,750.8046875
1777235476.0442462,60.0,750.8046875
1777235477.0843477,56.7,750.8046875
1777235478.084752,58.0,750.8046875
1777235479.0931854,54.5,750.8046875
1777235480.0968747,56.8,750.8046875
1777235481.1147966,62.9,750.8046875
1777235482.1325326,57.0,750.8046875
1777235483.1413531,58.5,750.8046875
1777235484.1426241,57.9,750.8046875
1777235485.1892498,52.5,750.8046875
1777235486.1957226,56.6,750.80859375
1777235487.238465,63.3,750.8125
1777235488.2531533,62.1,750.81640625
1777235489.2949066,58.6,750.8203125
1777235490.3163433,55.8,750.8203125
1777235491.3183868,54.9,750.828125
1777235492.328733,55.4,750.828125
1777235493.343967,54.2,750.83203125
1777235494.3449988,55.9,750.83203125
1777235495.3935943,50.5,750.83984375
1777235496.3947027,54.9,750.83984375
1777235497.3948448,49.0,750.84375
1777235498.395457,20.0,750.84375
1777235499.4385245,36.4,750.921875
1777235500.4400907,145.8,750.28125
1777235501.4409535,58.0,750.51171875
1777235502.4880657,54.4,750.51171875
1777235503.5023293,58.2,750.51171875
1777235504.5174258,55.2,750.51171875
1777235505.5176468,52.0,750.51171875
1777235506.54188,58.6,751.390625
