t_sample,cpu_pct,rss_mb
1777235387.542082,69.1,808.16015625
1777235388.5898573,62.0,809.58984375
1777235389.617661,63.2,811.3984375
1777235390.6316295,67.1,811.48046875
1777235391.63176,66.0,812.3359375
1777235392.6380608,62.6,813.24609375
1777235393.6398458,64.9,814.0
1777235394.6861963,57.4,814.0
1777235395.6879585,69.9,814.31640625
1777235396.6915925,66.8,814.31640625
1777235397.7125013,70.5,814.3203125
1777235398.7142344,66.9,814.3203125
1777235399.7507217,70.4,814.3203125
1777235400.7849045,78.3,814.84765625
1777235401.7966185,76.1,815.0390625
1777235402.8125339,69.9,815.0390625
1777235403.8375297,71.2,815.0390625
1777235404.8408468,75.7,815.21875
1777235405.8448813,69.7,815.21875
1777235406.8858244,62.5,815.42578125
1777235407.914678,69.0,815.42578125
1777235408.92285,67.4,815.42578125
1777235409.9324787,62.4,815.53125
1777235410.936025,64.8,815.53125
1777235411.9424288,57.6,815.53125
1777235412.9790761,61.7,815.53125
1777235413.9905365,62.3,815.53125
1777235415.014053,67.4,815.53125
1777235416.014182,66.0,815.53125
1777235417.029943,66.9,815.53125
1777235418.0432072,64.1,815.53125
1777235419.093185,60.0,815.66796875
1777235420.095827,63.8,815.66796875
1777235421.1159902,64.7,815.66796875
1777235422.1226013,67.5,815.76953125
1777235423.14407,63.6,815.76953125
1777235424.186615,59.5,815.76953125
1777235425.2180357,72.7,815.76953125
1777235426.2414677,72.3,817.40234375
1777235427.2415578,65.0,818.38671875
1777235428.2422183,62.0,818.38671875
1777235429.2913797,58.1,818.38671875
1777235430.2987406,66.5,818.38671875
1777235431.315949,64.9,818.38671875
1777235432.3162026,63.0,818.38671875
1777235433.321589,65.6,818.38671875
1777235434.3369956,65.0,818.38671875
1777235435.3475385,67.3,818.38671875
1777235436.390864,55.6,818.38671875
1777235437.3933666,26.9,818.38671875
1777235438.3969746,26.9,794.66796875
1777235439.413301,174.1,822.19140625
1777235440.432403,68.7,822.57421875
1777235441.435192,64.8,822.57421875
1777235442.4427474,67.5,822.6484375
1777235443.4543474,66.2,822.734375
1777235444.480211,64.3,822.734375
1777235445.4951973,62.1,822.734375
1777235446.5243626,69.0,822.734375
1777235447.541743,62.9,822.734375
1777235448.5445175,66.8,822.734375
1777235449.5923436,63.0,822.734375
1777235450.593743,59.9,822.734375
1777235451.6188657,69.3,822.734375
1777235452.6414583,68.5,822.734375
1777235453.6613066,63.7,822.734375
1777235454.6815772,63.7,822.734375
1777235455.6831794,51.9,822.734375
1777235456.688763,59.7,822.734375
1777235457.693353,54.7,822.734375
1777235458.7242172,66.0,822.734375
1777235459.7374055,59.2,822.734375
1777235460.782002,63.2,822.734375
1777235461.8020344,67.6,822.734375
1777235462.8142312,66.2,822.734375
1777235463.8261702,64.2,822.734375
1777235464.8360548,65.4,822.734375
1777235465.840682,65.7,822.734375
1777235466.8901417,62.9,822.734375
1777235467.8916652,64.9,822.734375
1777235468.8920004,65.0,822.734375
1777235469.924268,68.8,822.734375
1777235470.9450095,64.7,822.734375
1777235471.9857185,61.5,822.734375
1777235472.9928772,61.6,822.734375
1777235474.01934,67.2,822.734375
1777235475.0272934,66.5,822.734375
1777235476.044204,65.9,822.734375
1777235477.084249,62.5,822.734375
1777235478.084717,65.0,822.734375
1777235479.0930667,60.5,822.734375
1777235480.0967774,63.8,822.734375
1777235481.1147554,68.8,822.734375
1777235482.1324859,65.8,822.734375
1777235483.1413126,63.4,822.734375
1777235484.1424193,60.9,822.734375
1777235485.1891565,57.3,822.734375
1777235486.195606,60.6,822.73828125
1777235487.238422,69.0,822.7421875
1777235488.2531168,70.0,822.74609375
1777235489.2947881,67.2,822.75
1777235490.316297,64.6,822.75
1777235491.3183088,61.9,822.7578125
1777235492.3286905,61.4,822.7578125
1777235493.3439314,59.1,822.76171875
1777235494.3449636,63.9,822.76171875
1777235495.3935177,56.3,822.76953125
1777235496.3946216,58.9,822.76953125
1777235497.3947663,57.0,822.7734375
1777235498.3953855,25.0,822.7734375
1777235499.4384382,40.3,822.8828125
1777235500.4400558,148.7,823.328125
1777235501.4409165,62.9,823.71484375
1777235502.4879575,63.0,823.71484375
1777235503.5021756,63.1,823.71484375
1777235504.5173733,62.0,823.71484375
1777235505.5175915,58.0,823.71484375
1777235506.541843,64.4,823.71484375
