t_sample,cpu_pct,rss_mb
1777235240.7025359,64.0,794.03515625
1777235241.7512326,58.2,794.78515625
1777235242.7516947,62.0,795.75390625
1777235243.7555468,67.7,797.28125
1777235244.7607775,63.7,797.42578125
1777235245.8081124,63.0,798.9609375
1777235246.8175924,59.4,799.19921875
1777235247.8181417,65.0,799.87890625
1777235248.8496978,64.0,800.1953125
1777235249.8548515,68.7,800.1953125
1777235250.8771336,67.5,800.19921875
1777235251.9152176,64.5,800.19921875
1777235252.9209301,65.6,800.19921875
1777235253.9527,68.8,800.19921875
1777235254.9546402,62.9,800.91796875
1777235255.9594462,64.7,800.91796875
1777235256.9611,65.9,800.91796875
1777235258.0064394,67.0,801.09765625
1777235259.006916,65.0,801.09765625
1777235260.013081,64.6,801.09765625
1777235261.055134,66.2,801.3046875
1777235262.0560493,61.9,801.3046875
1777235263.0634978,64.5,801.3046875
1777235264.1076653,59.4,801.41015625
1777235265.1104524,64.8,801.41015625
1777235266.1104355,56.0,801.41015625
1777235267.1199608,58.5,801.41015625
1777235268.1539865,60.9,801.41015625
1777235269.1670063,59.2,801.41015625
1777235270.2114546,65.1,801.41015625
1777235271.257489,64.1,801.41015625
1777235272.2677023,73.3,801.546875
1777235273.3125381,64.1,801.546875
1777235274.324228,66.2,801.546875
1777235275.3520617,70.0,801.6484375
1777235276.3651588,65.1,801.6484375
1777235277.4152653,58.1,801.6484375
1777235278.4574552,68.1,801.6484375
1777235279.460184,68.8,803.28125
1777235280.4606476,68.0,803.28125
1777235281.4610388,67.0,804.265625
1777235282.4615357,62.0,804.265625
1777235283.5078716,63.1,804.265625
1777235284.5562186,68.7,804.265625
1777235285.55788,61.9,804.265625
1777235286.5585303,64.0,804.265625
1777235287.5620754,72.7,804.265625
1777235288.6074407,55.5,804.265625
1777235289.6254425,63.9,804.265625
1777235290.6567717,43.6,804.265625
1777235291.659679,24.9,804.265625
1777235292.6641262,136.4,807.875
1777235293.7141743,71.4,808.46484375
1777235294.7210307,68.5,808.46484375
1777235295.7509115,72.8,808.5390625
1777235296.756317,62.7,808.5390625
1777235297.76053,65.7,808.625
1777235298.7613018,65.0,808.625
1777235299.764744,63.8,808.625
1777235300.7647686,62.0,808.625
1777235301.813593,63.9,808.625
1777235302.8159027,62.8,808.625
1777235303.8553026,59.6,808.625
1777235304.9055574,60.9,808.625
1777235305.9155834,61.4,808.625
1777235306.9565735,64.4,808.625
1777235307.9644392,65.5,808.625
1777235308.965422,64.9,808.625
1777235309.9680037,64.8,808.625
1777235311.0117211,60.4,808.625
1777235312.0590062,66.8,808.625
1777235313.0602362,59.9,808.625
1777235314.070759,70.3,808.625
1777235315.114388,68.0,808.625
1777235316.157767,67.1,808.625
1777235317.1648843,65.5,808.625
1777235318.170943,68.6,808.625
1777235319.1729295,64.9,808.625
1777235320.2201123,64.0,808.625
1777235321.2573242,67.5,808.625
1777235322.2634945,74.5,808.625
1777235323.272251,77.3,808.625
1777235324.2728515,64.0,808.625
1777235325.3178759,70.8,808.625
1777235326.3562527,70.3,808.625
1777235327.3597648,67.8,808.625
1777235328.3626134,61.8,808.625
1777235329.3742325,64.3,808.625
1777235330.411609,65.6,808.625
1777235331.4200096,61.5,808.625
1777235332.458713,58.7,808.625
1777235333.4611034,56.9,808.625
1777235334.4671001,67.6,808.625
1777235335.4719923,56.7,808.625
1777235336.508758,71.4,808.625
1777235337.5114782,62.8,808.625
1777235338.5610027,66.7,808.625
1777235339.6110654,61.0,808.62890625
1777235340.6133063,60.9,808.62890625
1777235341.6615195,63.0,808.63671875
1777235342.7106795,62.0,808.63671875
1777235343.7262192,57.1,808.640625
1777235344.7537868,62.3,808.640625
1777235345.7659764,63.2,808.6484375
1777235346.8141706,55.3,808.6484375
1777235347.817579,65.8,808.65234375
1777235348.8541152,60.8,808.65234375
1777235349.8562136,61.9,808.66015625
1777235350.8598332,61.8,808.66015625
1777235351.9085772,28.6,808.6640625
1777235352.9201865,25.7,808.6640625
1777235353.955475,153.6,809.25390625
1777235354.9624302,65.5,809.69140625
1777235355.9712346,63.4,809.69140625
1777235357.0086057,59.8,809.69140625
1777235358.020774,69.2,809.69140625
1777235359.055968,65.7,809.69140625
