frame_seq,t_sent_ns,t_recv_ns,latency_ns
0,1777236266954033352,1777236266978409535,24376183
1,1777236267054591634,1777236267058277149,3685515
2,1777236267153478613,1777236267167229484,13750871
3,1777236267253050896,1777236267256600703,3549807
4,1777236267356454922,1777236267360325266,3870344
5,1777236267455181446,1777236267460330133,5148687
6,1777236267553888171,1777236267557227051,3338880
7,1777236267654763123,1777236267668166604,13403481
8,1777236267753935420,1777236267767560634,13625214
9,1777236267853121116,1777236267866804697,13683581
10,1777236267956733888,1777236267961276937,4543049
11,1777236268052989669,1777236268056666557,3676888
12,1777236268156228762,1777236268169777458,13548696
13,1777236268256300371,1777236268270444422,14144051
14,1777236268353355294,1777236268357725317,4370023
15,1777236268453301207,1777236268467501135,14199928
16,1777236268557287507,1777236268571496088,14208581
17,1777236268654326947,1777236268659200158,4873211
18,1777236268752203372,1777236268756871759,4668387
19,1777236268859345235,1777236268862616856,3271621
20,1777236268954145543,1777236268967925193,13779650
21,1777236269053608983,1777236269057153570,3544587
22,1777236269154026591,1777236269157153909,3127318
23,1777236269253400898,1777236269257517577,4116679
24,1777236269353713676,1777236269366654807,12941131
25,1777236269451342028,1777236269453842949,2500921
26,1777236269551406400,1777236269554893253,3486853
27,1777236269656087809,1777236269659414694,3326885
28,1777236269757132822,1777236269770186098,13053276
29,1777236269854483754,1777236269857714518,3230764
30,1777236269954982913,1777236269958565776,3582863
31,1777236270055598892,1777236270069227714,13628822
32,1777236270155279577,1777236270158010976,2731399
33,1777236270256990953,1777236270270136187,13145234
34,1777236270355867066,1777236270358653614,2786548
35,1777236270457612717,1777236270460849762,3237045
36,1777236270555476638,1777236270558818604,3341966
37,1777236270652746470,1777236270665900871,13154401
38,1777236270752107016,1777236270755796102,3689086
39,1777236270852908610,1777236270856424007,3515397
40,1777236270953254276,1777236270967204863,13950587
41,1777236271053069055,1777236271056384990,3315935
42,1777236271153103975,1777236271155966027,2862052
43,1777236271254888753,1777236271259176738,4287985
44,1777236271352806761,1777236271365974515,13167754
45,1777236271454369846,1777236271457579533,3209687
46,1777236271553264363,1777236271556767082,3502719
47,1777236271659361397,1777236271664208845,4847448
48,1777236271756448004,1777236271760862833,4414829
49,1777236271849840484,1777236271853081784,3241300
50,1777236271951973632,1777236271954680620,2706988
51,1777236272052768111,1777236272056456084,3687973
52,1777236272155293854,1777236272161284097,5990243
53,1777236272254230396,1777236272259103708,4873312
54,1777236272353573593,1777236272357505906,3932313
55,1777236272455045681,1777236272458197674,3151993
56,1777236272552896424,1777236272555983353,3086929
57,1777236272652969437,1777236272657623503,4654066
58,1777236272754178886,1777236272767831735,13652849
59,1777236272852712788,1777236272858029017,5316229
60,1777236272954327452,1777236272957889273,3561821
61,1777236273051458937,1777236273055141655,3682718
62,1777236273158410404,1777236273162285988,3875584
63,1777236273253692240,1777236273257425747,3733507
64,1777236273354551152,1777236273358558767,4007615
65,1777236273452925518,1777236273456704721,3779203
66,1777236273553591735,1777236273556891968,3300233
67,1777236273654312084,1777236273659402131,5090047
68,1777236273754298570,1777236273757463067,3164497
69,1777236273855782595,1777236273869701477,13918882
70,1777236273954374112,1777236273968188297,13814185
71,1777236274058475667,1777236274064353762,5878095
72,1777236274152402487,1777236274155608589,3206102
73,1777236274252051731,1777236274255151193,3099462
74,1777236274356300152,1777236274360190241,3890089
