t_sample,cpu_pct,rss_mb
1777236267.8671875,56.0,732.55078125
1777236268.9134514,49.7,733.98046875
1777236269.9135768,44.0,734.89453125
1777236270.9210148,55.6,735.87109375
1777236271.93297,51.4,736.7265625
1777236272.9545462,52.9,737.953125
1777236273.9686136,57.2,738.70703125
1777236275.0086608,50.0,738.70703125
1777236276.0209265,51.4,739.0234375
1777236277.0214624,52.0,739.0234375
1777236278.0379333,51.2,739.02734375
1777236279.061759,54.7,739.02734375
1777236280.0675383,56.7,739.1953125
1777236281.1108007,53.7,740.8203125
1777236282.1108093,55.0,741.01171875
1777236283.117814,55.6,741.01171875
1777236284.1392365,53.8,741.01171875
1777236285.156647,57.0,741.19140625
1777236286.1670172,55.4,741.19140625
1777236287.2064207,49.1,741.3984375
1777236288.2074945,51.9,741.3984375
1777236289.2109833,57.8,741.3984375
1777236290.2286983,51.1,741.71484375
1777236291.258934,51.4,741.71484375
1777236292.265377,51.7,741.71484375
1777236293.3092067,46.0,741.71484375
1777236294.333004,47.9,741.71484375
1777236295.358975,53.6,741.71484375
1777236296.3661826,50.6,741.71484375
1777236297.4084265,45.1,741.71484375
1777236298.4149787,50.7,741.71484375
1777236299.416876,46.9,741.8515625
1777236300.4202583,49.8,741.8515625
1777236301.4498186,45.7,741.8515625
1777236302.4591804,52.5,741.953125
1777236303.506454,44.9,741.953125
1777236304.523498,50.1,741.953125
1777236305.5625134,51.0,741.953125
1777236306.5648077,51.9,743.5859375
1777236307.6087513,49.8,744.5703125
1777236308.6161873,50.6,744.5703125
1777236309.6172173,48.9,744.5703125
1777236310.6331358,49.2,744.5703125
1777236311.6366158,46.8,744.5703125
1777236312.6627834,55.5,744.5703125
1777236313.6704428,48.6,744.5703125
1777236314.7105389,48.1,744.5703125
1777236315.7477484,44.4,744.5703125
1777236316.7547994,39.7,744.5703125
1777236317.7581031,15.9,744.5703125
1777236318.7622344,23.9,721.609375
1777236319.8112173,153.5,745.6484375
1777236320.8257768,54.2,746.921875
1777236321.8701143,52.7,746.921875
1777236322.9079335,54.9,746.99609375
1777236323.9105031,49.9,747.4609375
1777236324.9127285,48.9,747.4609375
1777236325.9200463,53.6,748.11328125
1777236326.9219038,47.9,748.5625
1777236327.9255269,53.8,748.5625
1777236328.9694839,50.8,748.5625
1777236330.018249,45.8,748.5625
1777236331.0314636,49.3,748.5625
1777236332.060321,50.5,748.5625
1777236333.0754082,50.2,748.5625
1777236334.110736,53.1,748.5625
1777236335.135049,46.9,748.5625
1777236336.1392927,48.8,748.5625
1777236337.1709788,53.3,748.5625
1777236338.2100477,53.9,748.5625
1777236339.215778,57.7,748.5625
1777236340.22787,59.3,748.5625
1777236341.2578053,53.4,748.5625
1777236342.2598097,59.9,748.5625
1777236343.2598538,54.0,749.1953125
1777236344.2637603,55.8,749.1953125
1777236345.2702794,57.6,749.1953125
1777236346.3096325,52.0,749.1953125
1777236347.3198636,49.5,749.4921875
1777236348.3225799,57.8,749.4921875
1777236349.3578923,54.1,749.4921875
1777236350.359052,53.9,749.4921875
1777236351.4088883,50.5,749.58203125
1777236352.4102173,45.9,749.58203125
1777236353.420543,51.5,749.58203125
1777236354.4313276,53.4,749.58203125
1777236355.4635649,54.3,749.58203125
1777236356.5101674,50.6,749.58203125
1777236357.5216367,52.4,749.58203125
1777236358.5399673,47.1,749.58203125
1777236359.56198,60.7,749.58203125
1777236360.567844,48.7,749.58203125
1777236361.570146,47.9,749.58203125
1777236362.572313,49.9,749.58203125
1777236363.6115994,49.1,749.58203125
1777236364.621277,47.5,749.58203125
1777236365.6516562,45.6,749.5859375
1777236366.6601086,47.6,749.5859375
1777236367.708314,51.5,749.59375
1777236368.7102993,47.9,749.59375
1777236369.7418323,47.5,749.59765625
1777236370.7765687,53.2,749.59765625
1777236371.8124132,50.2,749.60546875
1777236372.8342614,48.9,749.60546875
1777236373.861739,49.6,749.609375
1777236374.8714244,51.5,749.609375
1777236375.915607,48.8,749.6171875
1777236376.9201171,49.8,749.6171875
1777236377.9287796,37.7,749.62109375
1777236378.9599469,19.4,749.62109375
1777236379.9713302,139.4,720.95703125
1777236381.0121305,59.6,746.55859375
1777236382.026426,52.3,747.8359375
1777236383.0292592,47.9,747.8359375
1777236384.0591903,56.3,747.8359375
1777236385.0716534,52.3,748.21484375
1777236386.119051,47.7,748.8671875
