frame_seq,t_sent_ns,t_recv_ns,latency_ns
0,1777236120149668864,1777236120164000947,14332083
1,1777236120249264450,1777236120252839391,3574941
2,1777236120350882021,1777236120353768373,2886352
3,1777236120447868093,1777236120460236366,12368273
4,1777236120549590251,1777236120561972127,12381876
5,1777236120650076789,1777236120652123774,2046985
6,1777236120749730308,1777236120761993588,12263280
7,1777236120848368859,1777236120850491083,2122224
8,1777236120948927857,1777236120951558718,2630861
9,1777236121049379047,1777236121051895115,2516068
10,1777236121149069218,1777236121151351965,2282747
11,1777236121247674551,1777236121260036421,12361870
12,1777236121349263799,1777236121361442104,12178305
13,1777236121450354788,1777236121453194361,2839573
14,1777236121548826360,1777236121551895170,3068810
15,1777236121649123259,1777236121651545669,2422410
16,1777236121749217153,1777236121751559441,2342288
17,1777236121849201937,1777236121851644719,2442782
18,1777236121947969802,1777236121950347052,2377250
19,1777236122050386244,1777236122063412473,13026229
20,1777236122149174086,1777236122161827609,12653523
21,1777236122248816569,1777236122261715648,12899079
22,1777236122348631397,1777236122351087611,2456214
23,1777236122449156838,1777236122451880404,2723566
24,1777236122549523402,1777236122552811149,3287747
25,1777236122650316587,1777236122662883135,12566548
26,1777236122749024519,1777236122751612503,2587984
27,1777236122851006451,1777236122864151915,13145464
28,1777236122949493318,1777236122951793519,2300201
29,1777236123048196241,1777236123050404410,2208169
30,1777236123149742830,1777236123162615460,12872630
31,1777236123248741423,1777236123251471186,2729763
32,1777236123349990583,1777236123362746584,12756001
33,1777236123449265179,1777236123451841106,2575927
34,1777236123549759937,1777236123551957781,2197844
35,1777236123649182889,1777236123651573337,2390448
36,1777236123748745939,1777236123761416533,12670594
37,1777236123849302868,1777236123851742154,2439286
38,1777236123947551705,1777236123960179780,12628075
39,1777236124050584157,1777236124052339454,1755297
40,1777236124150687288,1777236124274073487,123386199
41,1777236124250180445,1777236124274441171,24260726
42,1777236124351733826,1777236124365013185,13279359
43,1777236124450201115,1777236124462468257,12267142
44,1777236124549153883,1777236124561375409,12221526
45,1777236124649821897,1777236124662073894,12251997
