t_sample,cpu_pct,rss_mb
1777236121.1516824,50.4,735.6171875
1777236122.1622126,47.5,737.046875
1777236123.1630416,44.0,738.85546875
1777236124.1781127,51.2,738.9375
1777236125.2127635,49.3,739.79296875
1777236126.2137196,50.0,741.0703125
1777236127.2534943,51.9,741.82421875
1777236128.2711337,52.1,741.82421875
1777236129.3018658,54.3,742.140625
1777236130.313635,54.4,742.140625
1777236131.3522897,55.8,742.14453125
1777236132.3542266,54.9,742.15234375
1777236133.3593934,50.7,742.15234375
1777236134.4087453,57.2,743.77734375
1777236135.4160917,52.6,743.96875
1777236136.4553962,55.8,743.96875
1777236137.5039299,55.3,743.96875
1777236138.5528746,64.8,744.1484375
1777236139.6017592,57.2,744.1484375
1777236140.6128573,50.4,744.35546875
1777236141.6518326,50.0,744.35546875
1777236142.6527953,49.0,744.35546875
1777236143.7028232,53.3,744.4609375
1777236144.7030947,48.0,744.4609375
1777236145.7520008,50.5,744.4609375
1777236146.8019557,49.5,744.4609375
1777236147.8117728,52.5,744.4609375
1777236148.8516989,50.0,744.4609375
1777236149.8641753,49.4,744.4609375
1777236150.9006858,44.4,744.4609375
1777236151.9014635,42.0,744.4609375
1777236152.9046042,55.8,744.59765625
1777236153.952974,44.8,744.59765625
1777236154.9541934,49.9,744.69921875
1777236155.9625967,45.6,744.69921875
1777236157.0125475,47.6,744.69921875
1777236158.0539796,55.7,744.69921875
1777236159.054003,58.0,746.33203125
1777236160.0637517,50.5,746.33203125
1777236161.1045568,53.8,747.31640625
1777236162.1138446,47.6,747.31640625
1777236163.1525578,53.9,747.31640625
1777236164.1532357,48.0,747.31640625
1777236165.1630216,51.5,747.31640625
1777236166.1629825,51.0,747.31640625
1777236167.2047284,51.8,747.31640625
1777236168.213199,52.6,747.31640625
1777236169.2149925,49.9,747.31640625
1777236170.2519643,32.8,747.31640625
1777236171.2521675,17.0,747.31640625
1777236172.253852,135.8,744.9375
1777236173.261653,53.6,748.58984375
1777236174.2620354,53.0,749.56640625
1777236175.2644577,51.9,749.640625
1777236176.3030553,53.0,749.640625
1777236177.3070498,51.8,750.10546875
1777236178.3142626,60.6,750.7578125
1777236179.3156383,49.9,750.7578125
1777236180.3581154,59.5,751.20703125
1777236181.4078283,60.0,751.20703125
1777236182.4125178,53.7,751.20703125
1777236183.4530432,49.0,751.20703125
1777236184.4659781,61.2,751.20703125
1777236185.5074933,51.8,751.20703125
1777236186.5538373,50.7,751.20703125
1777236187.5561004,49.9,751.20703125
1777236188.5658274,50.5,751.20703125
1777236189.6134386,44.9,751.20703125
1777236190.6163502,55.8,751.20703125
1777236191.6169014,51.0,751.20703125
1777236192.6409595,50.8,751.20703125
1777236193.655073,58.2,751.20703125
1777236194.704367,51.5,751.20703125
1777236195.7135699,51.5,751.83984375
1777236196.715934,61.9,751.83984375
1777236197.7208853,57.7,751.83984375
1777236198.7552235,60.9,751.83984375
1777236199.7564518,53.9,751.83984375
1777236200.8060424,56.2,751.83984375
1777236201.8076081,60.9,751.83984375
1777236202.8526056,55.5,751.83984375
1777236203.8570185,50.8,751.83984375
1777236204.8636699,50.7,751.83984375
1777236205.8652964,51.9,751.83984375
1777236206.9151142,46.7,751.83984375
1777236207.954511,52.0,751.83984375
1777236208.9555335,51.9,751.83984375
1777236209.9571707,51.9,751.83984375
1777236211.0035937,51.6,751.83984375
1777236212.0156152,51.4,751.83984375
1777236213.0628107,48.7,751.83984375
1777236214.066309,43.8,751.83984375
1777236215.1047206,47.2,751.83984375
1777236216.1069841,48.9,751.83984375
1777236217.1555219,52.5,751.83984375
1777236218.1676428,47.4,751.83984375
1777236219.2068982,48.1,751.84375
1777236220.2145529,53.6,751.84375
1777236221.2618823,49.6,751.8515625
1777236222.2729557,49.5,751.8515625
1777236223.3022473,46.6,751.85546875
1777236224.315375,45.4,751.85546875
1777236225.3568747,55.7,751.86328125
1777236226.3603745,45.8,751.86328125
1777236227.3665485,48.7,751.8671875
1777236228.4137368,46.8,751.8671875
1777236229.4543688,42.3,751.875
1777236230.4653726,45.5,751.875
1777236231.5131562,21.0,751.87890625
1777236232.5522816,17.3,751.87890625
1777236233.563989,144.3,749.09375
1777236234.6058407,50.9,750.046875
1777236235.6165009,45.5,750.484375
1777236236.6559095,52.9,750.484375
1777236237.665307,48.5,750.86328125
1777236238.721117,43.6,750.86328125
1777236239.7584655,53.0,751.515625
