frame_seq,t_sent_ns,t_recv_ns,latency_ns
0,1777235826793785003,1777235826808094111,14309108
1,1777235826897050485,1777235826899952620,2902135
2,1777235826998898408,1777235827011887457,12989049
3,1777235827090117017,1777235827094606714,4489697
4,1777235827191049507,1777235827194928761,3879254
5,1777235827294128212,1777235827308063366,13935154
6,1777235827390543717,1777235827404448995,13905278
7,1777235827490256210,1777235827505089356,14833146
8,1777235827590372369,1777235827594326344,3953975
9,1777235827699146742,1777235827702713887,3567145
10,1777235827799279954,1777235827823052815,23772861
11,1777235827890246342,1777235827895559958,5313616
12,1777235827991896860,1777235827995554824,3657964
13,1777235828089489924,1777235828103021815,13531891
14,1777235828190006485,1777235828193197793,3191308
15,1777235828291745434,1777235828296313682,4568248
16,1777235828390302784,1777235828394261300,3958516
17,1777235828489109676,1777235828492570575,3460899
18,1777235828590082772,1777235828594028707,3945935
19,1777235828696754574,1777235828699948281,3193707
20,1777235828789775148,1777235828793463244,3688096
21,1777235828890556748,1777235828903458901,12902153
22,1777235828991178311,1777235829004322447,13144136
23,1777235829091221761,1777235829094651776,3430015
24,1777235829192782559,1777235829197213667,4431108
25,1777235829290399801,1777235829293774069,3374268
26,1777235829390370867,1777235829393902987,3532120
27,1777235829491373029,1777235829494498192,3125163
28,1777235829590495752,1777235829594470128,3974376
29,1777235829697798002,1777235829700987346,3189344
30,1777235829799626623,1777235829801951747,2325124
31,1777235829896066450,1777235829909315662,13249212
32,1777235829991645811,1777235830005614079,13968268
33,1777235830089551941,1777235830093290841,3738900
34,1777235830193290798,1777235830197391696,4100898
35,1777235830291438288,1777235830294349791,2911503
36,1777235830392395777,1777235830405714209,13318432
37,1777235830490032793,1777235830504365129,14332336
38,1777235830591161370,1777235830605045542,13884172
39,1777235830690964961,1777235830704582395,13617434
40,1777235830790704717,1777235830794467399,3762682
41,1777235830891105688,1777235830894983498,3877810
42,1777235830992787890,1777235830996793289,4005399
43,1777235831094425890,1777235831098682867,4256977
44,1777235831200711977,1777235831214339906,13627929
45,1777235831289527523,1777235831303480189,13952666
46,1777235831390605294,1777235831404071981,13466687
47,1777235831499228762,1777235831512463324,13234562
48,1777235831596611069,1777235831599457101,2846032
49,1777235831695545782,1777235831698486074,2940292
50,1777235831789833063,1777235831793392546,3559483
51,1777235831890095748,1777235831903343308,13247560
52,1777235831990447853,1777235831996524748,6076895
53,1777235832088811461,1777235832102923722,14112261
54,1777235832189922669,1777235832204117194,14194525
55,1777235832288714541,1777235832292546893,3832352
56,1777235832389440141,1777235832403078445,13638304
57,1777235832489889056,1777235832493724537,3835481
58,1777235832590278501,1777235832604471631,14193130
59,1777235832688201798,1777235832691811843,3610045
60,1777235832792204752,1777235832805856764,13652012
61,1777235832890594878,1777235832903890323,13295445
62,1777235832990259077,1777235832993585552,3326475
63,1777235833094518438,1777235833099164305,4645867
64,1777235833190158126,1777235833193931240,3773114
65,1777235833291742721,1777235833306257365,14514644
66,1777235833390132621,1777235833393731354,3598733
67,1777235833492805616,1777235833506292675,13487059
68,1777235833589439469,1777235833602635144,13195675
69,1777235833697691861,1777235833701705655,4013794
70,1777235833792089277,1777235833796316163,4226886
71,1777235833891058003,1777235833904862424,13804421
72,1777235833990411869,1777235833994118739,3706870
73,1777235834094967292,1777235834098575893,3608601
74,1777235834190547947,1777235834194437703,3889756
75,1777235834291911387,1777235834295979024,4067637
76,1777235834390625289,1777235834394597366,3972077
77,1777235834490906358,1777235834504992715,14086357
78,1777235834592044952,1777235834596229074,4184122
79,1777235834690997830,1777235834694630330,3632500
80,1777235834790092815,1777235834803179286,13086471
81,1777235834891665588,1777235834896205487,4539899
82,1777235834990417809,1777235834994010865,3593056
83,1777235835090076588,1777235835094097844,4021256
84,1777235835190451790,1777235835194477059,4025269
85,1777235835291270644,1777235835305184509,13913865
86,1777235835391526653,1777235835395932192,4405539
87,1777235835491631701,1777235835504900814,13269113
88,1777235835603285855,1777235835606460164,3174309
89,1777235835692318032,1777235835705655752,13337720
90,1777235835791774487,1777235835796545695,4771208
91,1777235835896046392,1777235835900082712,4036320
92,1777235835991795847,1777235836004457758,12661911
93,1777235836092499759,1777235836095816251,3316492
94,1777235836217530179,1777235836223855132,6324953
95,1777235836300197413,1777235836308149203,7951790
96,1777235836399343233,1777235836401903362,2560129
97,1777235836494465574,1777235836508328488,13862914
98,1777235836591723580,1777235836604625022,12901442
99,1777235836694480792,1777235836699282209,4801417
100,1777235836791510962,1777235836794453852,2942890
101,1777235836893585594,1777235836897435808,3850214
102,1777235836991494805,1777235836997453054,5958249
103,1777235837093745877,1777235837097317667,3571790
104,1777235837189449947,1777235837193000865,3550918
105,1777235837298295505,1777235837302395295,4099790
106,1777235837394649716,1777235837401240072,6590356
107,1777235837494445882,1777235837508502159,14056277
108,1777235837590116890,1777235837594675882,4558992
109,1777235837696825383,1777235837710031946,13206563
110,1777235837790939417,1777235837795423759,4484342
111,1777235837893947409,1777235837909419412,15472003
112,1777235837993142088,1777235837998264401,5122313
113,1777235838095112992,1777235838100816344,5703352
114,1777235838193303288,1777235838197377607,4074319
115,1777235838292403410,1777235838305569922,13166512
116,1777235838393520622,1777235838397875308,4354686
117,1777235838493637671,1777235838506669612,13031941
118,1777235838593923396,1777235838598816234,4892838
119,1777235838694894514,1777235838699062417,4167903
120,1777235838791738289,1777235838795074258,3335969
121,1777235838894596297,1777235838907733513,13137216
122,1777235838992227427,1777235839005088709,12861282
123,1777235839099824801,1777235839104430528,4605727
124,1777235839190024874,1777235839193677199,3652325
125,1777235839306746666,1777235839312023691,5277025
126,1777235839395005855,1777235839400601217,5595362
127,1777235839494615000,1777235839498024623,3409623
128,1777235839594249847,1777235839600269159,6019312
129,1777235839690508308,1777235839704071302,13562994
130,1777235839792128897,1777235839807294547,15165650
131,1777235839889664181,1777235839902919484,13255303
132,1777235839991818561,1777235839995041865,3223304
133,1777235840095372079,1777235840098325216,2953137
134,1777235840191831783,1777235840195735991,3904208
135,1777235840296248343,1777235840301537853,5289510
136,1777235840391230689,1777235840397574590,6343901
137,1777235840489647253,1777235840502657613,13010360
138,1777235840590555648,1777235840604550265,13994617
139,1777235840694566788,1777235840699258049,4691261
140,1777235840791950521,1777235840797009372,5058851
141,1777235840897091630,1777235840900514858,3423228
142,1777235840994785606,1777235840999696067,4910461
143,1777235841094601095,1777235841099174936,4573841
144,1777235841192666920,1777235841197669931,5003011
145,1777235841303444150,1777235841316144216,12700066
146,1777235841390473883,1777235841395505741,5031858
147,1777235841507939456,1777235841512937932,4998476
148,1777235841598227799,1777235841602442297,4214498
149,1777235841699834965,1777235841723804292,23969327
150,1777235841792485081,1777235841805553014,13067933
151,1777235841894801722,1777235841898711480,3909758
152,1777235841992781562,1777235841997804135,5022573
153,1777235842095644875,1777235842099853983,4209108
154,1777235842193004008,1777235842197204209,4200201
155,1777235842296504878,1777235842300999595,4494717
156,1777235842392859481,1777235842398783121,5923640
157,1777235842494900466,1777235842499345896,4445430
158,1777235842595291867,1777235842600958059,5666192
159,1777235842693707649,1777235842697517815,3810166
160,1777235842793593632,1777235842817310806,23717174
161,1777235842894051697,1777235842897337030,3285333
162,1777235842992477200,1777235842997346945,4869745
163,1777235843094920298,1777235843099750974,4830676
164,1777235843192883676,1777235843198084515,5200839
165,1777235843296909758,1777235843301079351,4169593
166,1777235843394520347,1777235843408769801,14249454
167,1777235843494913223,1777235843499860089,4946866
168,1777235843592860621,1777235843595693079,2832458
169,1777235843694427170,1777235843699143328,4716158
170,1777235843796945501,1777235843802546758,5601257
171,1777235843894337547,1777235843898700094,4362547
172,1777235843995143551,1777235843999315995,4172444
173,1777235844093197375,1777235844105995827,12798452
174,1777235844194673907,1777235844199412024,4738117
175,1777235844295193995,1777235844300949459,5755464
176,1777235844396608969,1777235844409874060,13265091
177,1777235844495583480,1777235844499991638,4408158
178,1777235844593534936,1777235844597959050,4424114
179,1777235844694261079,1777235844697540337,3279258
180,1777235844791016605,1777235844795068622,4052017
181,1777235844897440548,1777235844903374495,5933947
182,1777235844990953105,1777235844994240647,3287542
183,1777235845093692587,1777235845107348335,13655748
184,1777235845195695999,1777235845199083869,3387870
185,1777235845290893998,1777235845303818866,12924868
186,1777235845393986027,1777235845398544375,4558348
187,1777235845492594513,1777235845506205968,13611455
188,1777235845594942060,1777235845600314147,5372087
189,1777235845695621494,1777235845698844573,3223079
190,1777235845795039928,1777235845799818963,4779035
191,1777235845894545827,1777235845899144082,4598255
192,1777235845996833239,1777235846001584803,4751564
193,1777235846096071836,1777235846102278242,6206406
194,1777235846197426999,1777235846203559726,6132727
195,1777235846290296726,1777235846303921100,13624374
196,1777235846396359614,1777235846401561327,5201713
197,1777235846495167199,1777235846499686902,4519703
198,1777235846594296410,1777235846599483129,5186719
199,1777235846689973016,1777235846703960758,13987742
200,1777235846796820474,1777235846804185065,7364591
201,1777235846888734137,1777235846892860766,4126629
202,1777235846994936561,1777235846998951490,4014929
203,1777235847094397362,1777235847099673372,5276010
204,1777235847194822877,1777235847207861341,13038464
205,1777235847294157153,1777235847298426464,4269311
206,1777235847395641094,1777235847400080428,4439334
207,1777235847508115685,1777235847515626998,7511313
208,1777235847603776984,1777235847606782278,3005294
209,1777235847694434036,1777235847708606669,14172633
210,1777235847793785425,1777235847798699266,4913841
211,1777235847894074842,1777235847897712808,3637966
212,1777235847996116655,1777235848000969360,4852705
213,1777235848096663501,1777235848100470582,3807081
214,1777235848195671117,1777235848201105273,5434156
215,1777235848305674009,1777235848308986283,3312274
216,1777235848395377950,1777235848401624886,6246936
217,1777235848494984181,1777235848499341525,4357344
218,1777235848595093758,1777235848600365215,5271457
219,1777235848694139410,1777235848699034632,4895222
220,1777235848798291991,1777235848803192948,4900957
221,1777235848895489666,1777235848900147991,4658325
222,1777235848994354415,1777235848997833083,3478668
223,1777235849095228978,1777235849098279746,3050768
224,1777235849195857919,1777235849200854180,4996261
225,1777235849289604388,1777235849302802934,13198546
226,1777235849400150810,1777235849413666818,13516008
227,1777235849496401093,1777235849499584500,3183407
228,1777235849595536960,1777235849608865292,13328332
229,1777235849694252588,1777235849697995954,3743366
230,1777235849790523159,1777235849804293148,13769989
231,1777235849893678207,1777235849897137303,3459096
232,1777235849996936994,1777235850000874348,3937354
233,1777235850095912611,1777235850099928186,4015575
234,1777235850195274445,1777235850199468665,4194220
235,1777235850295724414,1777235850299641427,3917013
236,1777235850394702460,1777235850398581791,3879331
237,1777235850496069734,1777235850500712439,4642705
238,1777235850593898416,1777235850597807218,3908802
239,1777235850695297470,1777235850700043587,4746117
240,1777235850793900682,1777235850797491939,3591257
241,1777235850893211494,1777235850906190616,12979122
242,1777235850994241292,1777235850998567860,4326568
243,1777235851097651325,1777235851101573493,3922168
244,1777235851212508457,1777235851220116710,7608253
245,1777235851295918588,1777235851299563603,3645015
246,1777235851391068646,1777235851396667228,5598582
247,1777235851495756355,1777235851499795375,4039020
248,1777235851596632133,1777235851601674760,5042627
249,1777235851694939008,1777235851699364918,4425910
250,1777235851795128832,1777235851799042059,3913227
251,1777235851895726307,1777235851903198549,7472242
252,1777235851995562239,1777235852001392146,5829907
253,1777235852094904688,1777235852099233305,4328617
254,1777235852194295468,1777235852200681793,6386325
255,1777235852290568113,1777235852303948161,13380048
256,1777235852395321431,1777235852400067567,4746136
257,1777235852494194539,1777235852498601427,4406888
258,1777235852593096137,1777235852596769966,3673829
259,1777235852693787853,1777235852698143942,4356089
260,1777235852794750066,1777235852799152331,4402265
261,1777235852895085509,1777235852899287895,4202386
262,1777235852993784209,1777235853007044330,13260121
263,1777235853094345714,1777235853098813969,4468255
264,1777235853196376626,1777235853200731746,4355120
265,1777235853296317218,1777235853301147451,4830233
266,1777235853395864334,1777235853409125248,13260914
267,1777235853495198522,1777235853500287050,5088528
268,1777235853595076214,1777235853600370362,5294148
269,1777235853696324510,1777235853710035418,13710908
270,1777235853795737840,1777235853808655844,12918004
271,1777235853894720649,1777235853899151258,4430609
272,1777235853994251931,1777235853998022306,3770375
273,1777235854095471732,1777235854108603212,13131480
274,1777235854195047683,1777235854200657382,5609699
275,1777235854295374064,1777235854299482338,4108274
276,1777235854396391444,1777235854401951899,5560455
277,1777235854496441926,1777235854501067554,4625628
278,1777235854596528424,1777235854602022795,5494371
279,1777235854695592735,1777235854699364023,3771288
280,1777235854795101604,1777235854799540938,4439334
281,1777235854896711310,1777235854901364747,4653437
282,1777235854993837818,1777235855007316000,13478182
283,1777235855090596219,1777235855103811997,13215778
284,1777235855195425727,1777235855201892200,6466473
285,1777235855295671376,1777235855299696797,4025421
286,1777235855395020070,1777235855399388688,4368618
287,1777235855495671215,1777235855500607537,4936322
288,1777235855593779825,1777235855607325888,13546063
289,1777235855695744454,1777235855709029607,13285153
290,1777235855792809531,1777235855796373111,3563580
291,1777235855893912971,1777235855897880586,3967615
292,1777235855996511804,1777235856009558033,13046229
293,1777235856096588145,1777235856100660720,4072575
294,1777235856194430089,1777235856207980490,13550401
295,1777235856297621719,1777235856304872824,7251105
296,1777235856396838640,1777235856401094685,4256045
297,1777235856492568642,1777235856495924782,3356140
298,1777235856594230254,1777235856607685298,13455044
299,1777235856695163699,1777235856700673983,5510284
300,1777235856790928622,1777235856794369171,3440549
301,1777235856891378143,1777235856904917667,13539524
302,1777235856996626075,1777235857003641629,7015554
303,1777235857097833594,1777235857111154638,13321044
304,1777235857198591155,1777235857212270162,13679007
305,1777235857291850900,1777235857305701058,13850158
306,1777235857391499796,1777235857404945498,13445702
307,1777235857491530347,1777235857504728121,13197774
308,1777235857596969458,1777235857610367783,13398325
309,1777235857693847171,1777235857706851161,13003990
310,1777235857794641288,1777235857799752184,5110896
311,1777235857896987396,1777235857910366657,13379261
312,1777235857997679544,1777235858002465322,4785778
313,1777235858094393652,1777235858099877010,5483358
314,1777235858194987570,1777235858200979006,5991436
315,1777235858295993226,1777235858309548911,13555685
316,1777235858394321402,1777235858400088061,5766659
317,1777235858493326965,1777235858506330303,13003338
318,1777235858593811530,1777235858597676129,3864599
319,1777235858694074205,1777235858697459751,3385546
320,1777235858795240647,1777235858801302637,6061990
321,1777235858896551584,1777235858909943802,13392218
322,1777235858994425859,1777235858999335219,4909360
323,1777235859096382920,1777235859101598925,5216005
324,1777235859195968913,1777235859200546902,4577989
325,1777235859291947400,1777235859304773467,12826067
326,1777235859391666180,1777235859395620927,3954747
327,1777235859494047229,1777235859497508410,3461181
328,1777235859596222184,1777235859600350282,4128098
329,1777235859697547047,1777235859702174686,4627639
330,1777235859795263781,1777235859800313663,5049882
