frame_seq,t_sent_ns,t_recv_ns,latency_ns
0,1777236853843571251,1777236853916463893,72892642
1,1777236853939769113,1777236854018101959,78332846
2,1777236854036550275,1777236854132562824,96012549
3,1777236854136532454,1777236854192228978,55696524
4,1777236854240151261,1777236854317020681,76869420
5,1777236854337100935,1777236854395023860,57922925
6,1777236854436585090,1777236854504720585,68135495
7,1777236854537038203,1777236854606208055,69169852
8,1777236854649372619,1777236854736639632,87267013
9,1777236854743753410,1777236854830249812,86496402
10,1777236854836657774,1777236854901538448,64880674
11,1777236854939277036,1777236855006069359,66792323
12,1777236855043122827,1777236855116262692,73139865
13,1777236855138778665,1777236855229281974,90503309
14,1777236855235030273,1777236855324728749,89698476
15,1777236855335366640,1777236855406326485,70959845
16,1777236855441032582,1777236855508609154,67576572
17,1777236855539296843,1777236855604385765,65088922
18,1777236855637762256,1777236855693448572,55686316
19,1777236855738496567,1777236855803987876,65491309
20,1777236855839965214,1777236855934364479,94399265
21,1777236855936158519,1777236856016147123,79988604
22,1777236856037637391,1777236856102630445,64993054
23,1777236856139267730,1777236856216780761,77513031
24,1777236856238680256,1777236856325253844,86573588
25,1777236856335179296,1777236856425052835,89873539
26,1777236856435840651,1777236856524180139,88339488
27,1777236856536113286,1777236856600534047,64420761
28,1777236856637577101,1777236856727158231,89581130
29,1777236856736682355,1777236856813102764,76420409
30,1777236856836889011,1777236856902893217,66004206
31,1777236856936156009,1777236857001716474,65560465
32,1777236857037226810,1777236857101213043,63986233
33,1777236857136644013,1777236857203696790,67052777
34,1777236857235445789,1777236857314294161,78848372
35,1777236857338307588,1777236857413256011,74948423
36,1777236857435068111,1777236857501506741,66438630
37,1777236857536776535,1777236857603773238,66996703
38,1777236857640254993,1777236857716247608,75992615
39,1777236857736643781,1777236857816355760,79711979
40,1777236857835387448,1777236857913957228,78569780
41,1777236857936923347,1777236858004312802,67389455
42,1777236858036518308,1777236858113640963,77122655
43,1777236858135204739,1777236858211041834,75837095
44,1777236858237006578,1777236858313616299,76609721
45,1777236858336805490,1777236858412240471,75434981
46,1777236858436302026,1777236858513300293,76998267
47,1777236858539735985,1777236858603585725,63849740
48,1777236858636501996,1777236858700861295,64359299
49,1777236858732924611,1777236858806817984,73893373
50,1777236858846847026,1777236858912803718,65956692
51,1777236858940125802,1777236859016785398,76659596
52,1777236859036178915,1777236859115355896,79176981
53,1777236859135062100,1777236859217632417,82570317
54,1777236859235850528,1777236859311991480,76140952
55,1777236859337220085,1777236859403063360,65843275
56,1777236859438225659,1777236859519970822,81745163
57,1777236859536626622,1777236859614025692,77399070
58,1777236859636398856,1777236859713008755,76609899
59,1777236859738306354,1777236859804216097,65909743
60,1777236859840451420,1777236859933999987,93548567
61,1777236859935558912,1777236860022049962,86491050
62,1777236860033652249,1777236860140929033,107276784
63,1777236860136070544,1777236860202663224,66592680
64,1777236860237632282,1777236860317445266,79812984
65,1777236860335655906,1777236860401322139,65666233
66,1777236860438133773,1777236860505362253,67228480
67,1777236860536466735,1777236860617852062,81385327
68,1777236860637382385,1777236860703946496,66564111
