frame_seq,t_sent_ns,t_recv_ns,latency_ns
0,1777236705452128373,1777236707699460421,2247332048
1,1777236706652825189,1777236708946041718,2293216529
2,1777236707951958780,1777236710201678116,2249719336
3,1777236709251408524,1777236711476028898,2224620374
4,1777236710451605785,1777236712719466983,2267861198
5,1777236711752833569,1777236713906103497,2153269928
6,1777236712952369166,1777236715096795944,2144426778
7,1777236714152744962,1777236716300559105,2147814143
8,1777236715352133703,1777236717614152467,2262018764
9,1777236716651630607,1777236718974057371,2322426764
10,1777236717951944211,1777236720340030569,2388086358
11,1777236719353310053,1777236721713047905,2359737852
12,1777236720752538326,1777236723110152907,2357614581
13,1777236722163945144,1777236724509254276,2345309132
14,1777236723553059406,1777236725788624401,2235564995
15,1777236724757470281,1777236727024987136,2267516855
16,1777236726052628019,1777236728330041338,2277413319
17,1777236727354164524,1777236729629727191,2275562667
18,1777236728652238269,1777236730987566183,2335327914
19,1777236729951272375,1777236732358093666,2406821291
20,1777236731353879241,1777236733562638097,2208758856
21,1777236732552549491,1777236734756955678,2204406187
22,1777236733751881050,1777236735997231059,2245350009
23,1777236735053006082,1777236737311753235,2258747153
24,1777236736351397732,1777236738581079922,2229682190
25,1777236737651626194,1777236739783109651,2131483457
26,1777236738752385282,1777236740994394256,2242008974
27,1777236739952320068,1777236742249034408,2296714340
28,1777236741253327287,1777236743525903004,2272575717
29,1777236742553792785,1777236744803484680,2249691895
30,1777236743853949225,1777236746038008476,2184059251
31,1777236745053666712,1777236747228856808,2175190096
32,1777236746252491538,1777236748551424247,2298932709
33,1777236747552949957,1777236749759256059,2206306102
34,1777236748758219935,1777236751032185358,2273965423
35,1777236750053231924,1777236752296020437,2242788513
36,1777236751351908972,1777236753605611679,2253702707
37,1777236752652942716,1777236754837088839,2184146123
38,1777236753852870308,1777236756168494595,2315624287
39,1777236755158582454,1777236757483931312,2325348858
40,1777236756456769478,1777236758754860195,2298090717
41,1777236757752004744,1777236760180537358,2428532614
42,1777236759153016164,1777236761613805574,2460789410
43,1777236760552710545,1777236762923047116,2370336571
44,1777236761952930473,1777236764302427827,2349497354
45,1777236763353274192,1777236765594343865,2241069673
46,1777236764552869113,1777236766950248695,2397379582
47,1777236765953311942,1777236768254368013,2301056071
48,1777236767253999424,1777236769727132927,2473133503
49,1777236768753091018,1777236771067316496,2314225478
50,1777236770052895162,1777236772398030217,2345135055
51,1777236771452947869,1777236773732941042,2279993173
52,1777236772753638191,1777236775044149208,2290511017
53,1777236774054892177,1777236776368720992,2313828815
54,1777236775357138651,1777236777544079372,2186940721
55,1777236776551978806,1777236778811271992,2259293186
56,1777236777852000680,1777236780111678475,2259677795
57,1777236779153789444,1777236781374081800,2220292356
58,1777236780354127257,1777236782610613260,2256486003
59,1777236781651885180,1777236783815121057,2163235877
60,1777236782851585038,1777236785091637808,2240052770
61,1777236784052816118,1777236786393714669,2340898551
62,1777236785453341034,1777236787762788505,2309447471
63,1777236786755335774,1777236789043486446,2288150672
64,1777236788052809769,1777236790358553195,2305743426
65,1777236789354103022,1777236791590949653,2236846631
66,1777236790552037345,1777236792918317867,2366280522
67,1777236791953586211,1777236794309675243,2356089032
68,1777236793252855049,1777236795722562997,2469707948
69,1777236794755807376,1777236797099733484,2343926108
70,1777236796159157513,1777236798476752214,2317594701
71,1777236797453191194,1777236799813458024,2360266830
72,1777236798854064347,1777236801176023453,2321959106
73,1777236800153952771,1777236802566344994,2412392223
74,1777236801556828258,1777236804013242615,2456414357
75,1777236803054441874,1777236805390620330,2336178456
76,1777236804354638098,1777236806629162433,2274524335
77,1777236805653879695,1777236807975005407,2321125712
78,1777236806954519341,1777236809178104051,2223584710
79,1777236808153777569,1777236810366921315,2213143746
80,1777236809359669798,1777236811595661712,2235991914
81,1777236810554537848,1777236812805173709,2250635861
82,1777236811853616766,1777236814094717027,2241100261
83,1777236813054339775,1777236815430103718,2375763943
84,1777236814453153724,1777236816636397426,2183243702
85,1777236815655913241,1777236817976573717,2320660476
86,1777236816953618996,1777236819291887843,2338268847
87,1777236818253509610,1777236820697550821,2444041211
88,1777236819903716455,1777236822001371662,2097655207
89,1777236821051547528,1777236823350741270,2299193742
90,1777236822353109917,1777236824593797925,2240688008
91,1777236823553949335,1777236825879206448,2325257113
