frame_seq,t_sent_ns,t_recv_ns,latency_ns
0,1777236560259605001,1777236560305202354,45597353
1,1777236560359683240,1777236560388932546,29249306
2,1777236560464363643,1777236560493673730,29310087
3,1777236560566704163,1777236560599173749,32469586
4,1777236560663595411,1777236560685654441,22059030
5,1777236560765482763,1777236560795629795,30147032
6,1777236560866425410,1777236560896070293,29644883
7,1777236560965440933,1777236561004255795,38814862
8,1777236561063539511,1777236561085453957,21914446
9,1777236561164778526,1777236561194346530,29568004
10,1777236561261425866,1777236561282350759,20924893
11,1777236561361747132,1777236561390223571,28476439
12,1777236561462865786,1777236561491840685,28974899
13,1777236561565497451,1777236561596047626,30550175
14,1777236561666455771,1777236561695168681,28712910
15,1777236561764662054,1777236561793596778,28934724
16,1777236561864254868,1777236561893906777,29651909
17,1777236561966124560,1777236561994543115,28418555
18,1777236562063134398,1777236562090691240,27556842
19,1777236562169565039,1777236562206967446,37402407
20,1777236562265012242,1777236562285482599,20470357
21,1777236562363925111,1777236562384122339,20197228
22,1777236562465493402,1777236562485391004,19897602
23,1777236562563963188,1777236562585343719,21380531
24,1777236562680600626,1777236562723700481,43099855
25,1777236562763065229,1777236562791539563,28474334
26,1777236562864151353,1777236562901624851,37473498
27,1777236562965261337,1777236562996740865,31479528
28,1777236563070832734,1777236563103126011,32293277
29,1777236563165062518,1777236563187224039,22161521
30,1777236563264759926,1777236563298231456,33471530
31,1777236563362968497,1777236563390220518,27252021
32,1777236563464091651,1777236563514646768,50555117
33,1777236563564132854,1777236563594904808,30771954
34,1777236563665042692,1777236563694897652,29854960
35,1777236563763492671,1777236563793790984,30298313
36,1777236563866052815,1777236563886621039,20568224
37,1777236563966992413,1777236563995575912,28583499
38,1777236564065477612,1777236564094586479,29108867
39,1777236564162226846,1777236564190389072,28162226
40,1777236564262850052,1777236564294007904,31157852
41,1777236564364194161,1777236564384420500,20226339
42,1777236564465177634,1777236564493385039,28207405
43,1777236564564224639,1777236564593738557,29513918
44,1777236564664450619,1777236564692486762,28036143
45,1777236564764340248,1777236564792256513,27916265
46,1777236564864131423,1777236564890809591,26678168
47,1777236564967307582,1777236564994853571,27545989
48,1777236565064548651,1777236565106631228,42082577
49,1777236565162685461,1777236565194090145,31404684
50,1777236565265712806,1777236565296345575,30632769
51,1777236565362892508,1777236565390340580,27448072
52,1777236565463898516,1777236565492488510,28589994
53,1777236565565371011,1777236565587887955,22516944
54,1777236565665133922,1777236565692708645,27574723
55,1777236565764823637,1777236565796563769,31740132
56,1777236565865959171,1777236565893733736,27774565
57,1777236565966130867,1777236565994472843,28341976
58,1777236566061885302,1777236566091699120,29813818
59,1777236566161388265,1777236566190947918,29559653
60,1777236566264868967,1777236566285131600,20262633
61,1777236566363719671,1777236566393308447,29588776
62,1777236566464130785,1777236566488707179,24576394
63,1777236566566120529,1777236566596343775,30223246
64,1777236566662334372,1777236566691103663,28769291
65,1777236566765830720,1777236566791859942,26029222
66,1777236566864618822,1777236566889719838,25101016
67,1777236566964358310,1777236567004361597,40003287
68,1777236567070839252,1777236567090625514,19786262
69,1777236567163980613,1777236567198470407,34489794
70,1777236567264153666,1777236567298280936,34127270
71,1777236567365878052,1777236567386890482,21012430
72,1777236567464253111,1777236567493545104,29291993
73,1777236567565778786,1777236567594032393,28253607
74,1777236567664915310,1777236567703145421,38230111
75,1777236567766102600,1777236567794573150,28470550
76,1777236567864223961,1777236567906711307,42487346
77,1777236567965327638,1777236567988507877,23180239
78,1777236568065408764,1777236568094096874,28688110
79,1777236568164930937,1777236568188948361,24017424
80,1777236568263163344,1777236568292923324,29759980
81,1777236568364282057,1777236568391836027,27553970
82,1777236568464046667,1777236568494111694,30065027
83,1777236568563958978,1777236568591539003,27580025
84,1777236568664082805,1777236568688955132,24872327
85,1777236568767607838,1777236568795451554,27843716
86,1777236568861948011,1777236568891018512,29070501
87,1777236568964983771,1777236568994377373,29393602
88,1777236569066345059,1777236569095255761,28910702
89,1777236569164772093,1777236569185392008,20619915
90,1777236569262551209,1777236569283847529,21296320
91,1777236569366052686,1777236569394821610,28768924
92,1777236569461881588,1777236569492007910,30126322
93,1777236569561984356,1777236569589565474,27581118
94,1777236569665228723,1777236569687751146,22522423
95,1777236569765049464,1777236569805945524,40896060
96,1777236569864200216,1777236569886776860,22576644
97,1777236569961836563,1777236569999964871,38128308
98,1777236570063594948,1777236570096592901,32997953
99,1777236570164813174,1777236570214326839,49513665
100,1777236570265056154,1777236570299255651,34199497
101,1777236570363170644,1777236570405943861,42773217
102,1777236570464304084,1777236570491555239,27251155
103,1777236570564966291,1777236570596476877,31510586
104,1777236570665369983,1777236570704340014,38970031
105,1777236570766271258,1777236570797473982,31202724
106,1777236570866119546,1777236570894826288,28706742
107,1777236570965443011,1777236571001773130,36330119
108,1777236571064401160,1777236571094009848,29608688
109,1777236571163912105,1777236571193248057,29335952
110,1777236571264826212,1777236571293431694,28605482
111,1777236571364068718,1777236571394756452,30687734
112,1777236571465377741,1777236571500216241,34838500
113,1777236571565078565,1777236571594843250,29764685
114,1777236571664179935,1777236571692021020,27841085
115,1777236571764248707,1777236571794688715,30440008
116,1777236571868154325,1777236571895991378,27837053
117,1777236571963944617,1777236571993741911,29797294
118,1777236572065768659,1777236572095243285,29474626
119,1777236572165591991,1777236572193740418,28148427
120,1777236572265091573,1777236572293775477,28683904
121,1777236572363553070,1777236572399008166,35455096
122,1777236572463682145,1777236572492003850,28321705
123,1777236572564092052,1777236572592070489,27978437
124,1777236572663842107,1777236572692163907,28321800
125,1777236572764943169,1777236572792979285,28036116
126,1777236572865183534,1777236572895020029,29836495
127,1777236572967708736,1777236573020023447,52314711
128,1777236573064153602,1777236573102021775,37868173
129,1777236573164793260,1777236573196206952,31413692
130,1777236573263814132,1777236573291708966,27894834
131,1777236573366011009,1777236573396614100,30603091
132,1777236573466138196,1777236573487263179,21124983
133,1777236573565670819,1777236573588340028,22669209
134,1777236573666685458,1777236573703717193,37031735
135,1777236573766151330,1777236573804778432,38627102
136,1777236573868379842,1777236573905763974,37384132
137,1777236573964642945,1777236573995880570,31237625
138,1777236574060041287,1777236574089515241,29473954
139,1777236574165786737,1777236574196808887,31022150
140,1777236574265148143,1777236574300077014,34928871
141,1777236574364760027,1777236574395059440,30299413
142,1777236574465420684,1777236574501918783,36498099
143,1777236574566998299,1777236574606138767,39140468
144,1777236574665970035,1777236574702070112,36100077
145,1777236574766777848,1777236574790965257,24187409
146,1777236574865988200,1777236574896279648,30291448
147,1777236574963213346,1777236574994017457,30804111
