t_sample,cpu_pct,rss_mb
1777236414.575018,57.1,734.28515625
1777236415.5775106,57.9,735.71484375
1777236416.5775828,55.0,737.5234375
1777236417.581448,56.8,737.60546875
1777236418.5825222,60.9,738.4609375
1777236419.5825524,60.0,739.6875
1777236420.5914292,57.5,740.44140625
1777236421.629791,47.2,740.44140625
1777236422.6368768,61.6,740.80859375
1777236423.638935,62.9,740.80859375
1777236424.6773043,66.4,740.8125
1777236425.6843956,59.6,741.10546875
1777236426.7335377,60.1,741.10546875
1777236427.7424264,65.4,742.734375
1777236428.7468984,67.7,742.92578125
1777236429.780509,60.9,742.92578125
1777236430.79008,59.4,742.92578125
1777236431.7946987,57.7,743.10546875
1777236432.8344474,65.4,743.10546875
1777236433.8381214,62.8,743.3125
1777236434.8761342,59.7,743.3125
1777236435.8821225,58.6,743.3125
1777236436.8839486,54.9,743.41796875
1777236437.8863757,62.8,743.41796875
1777236438.8889198,47.9,743.41796875
1777236439.8896,55.0,743.41796875
1777236440.9300365,50.0,743.41796875
1777236441.931005,53.9,743.41796875
1777236442.9806297,55.3,743.41796875
1777236443.9809318,59.0,743.41796875
1777236445.0291445,56.3,743.41796875
1777236446.0528991,55.7,743.5546875
1777236447.0768085,60.5,743.5546875
1777236448.0850098,51.6,743.5546875
1777236449.0946069,59.4,743.65625
1777236450.1323128,52.0,743.65625
1777236451.1330085,58.0,743.65625
1777236452.1430945,54.5,743.65625
1777236453.184927,57.6,745.2890625
1777236454.1911068,54.7,746.2734375
1777236455.2322001,52.8,746.2734375
1777236456.2351236,53.8,746.2734375
1777236457.275997,60.5,746.2734375
1777236458.3020778,56.5,746.2734375
1777236459.3409884,55.8,746.2734375
1777236460.37879,56.8,746.2734375
1777236461.3845518,56.7,746.2734375
1777236462.4297616,52.6,746.2734375
1777236463.4461584,45.3,746.2734375
1777236464.4760249,20.4,746.2734375
1777236465.4894063,87.8,723.640625
1777236466.5301602,96.1,770.24609375
1777236467.5330923,55.8,771.421875
1777236468.5777898,62.2,771.49609375
1777236469.5778418,61.0,771.49609375
1777236470.5780637,61.0,771.58203125
1777236471.5805469,54.9,771.58203125
1777236472.5840342,56.8,771.58203125
1777236473.5841746,56.0,771.58203125
1777236474.5876474,62.8,771.58203125
1777236475.6346211,52.5,771.58203125
1777236476.6363583,58.9,771.58203125
1777236477.6790345,61.4,771.58203125
1777236478.679609,54.0,771.58203125
1777236479.6826518,56.8,771.58203125
1777236480.6908994,54.5,771.58203125
1777236481.6917794,56.9,771.58203125
1777236482.7386537,59.2,771.58203125
1777236483.741118,59.9,771.58203125
1777236484.7793293,66.5,771.58203125
1777236485.7823281,53.8,771.58203125
1777236486.790873,60.5,771.58203125
1777236487.8329754,54.7,771.58203125
1777236488.837836,59.7,771.58203125
1777236489.844501,66.6,771.58203125
1777236490.8784366,59.0,771.58203125
1777236491.8798335,58.9,771.58203125
1777236492.8823922,63.8,771.58203125
1777236493.9314184,53.4,771.58203125
1777236494.954643,61.6,771.58203125
1777236495.9756408,61.7,771.58203125
1777236496.9801037,57.7,771.58203125
1777236498.027682,53.5,771.58203125
1777236499.0338213,52.7,771.58203125
1777236500.081307,54.4,771.58203125
1777236501.0928655,59.3,771.58203125
1777236502.1371691,53.6,771.58203125
1777236503.1555324,54.0,771.58203125
1777236504.179087,59.6,771.58203125
1777236505.1807356,52.9,771.58203125
1777236506.1951911,53.2,771.58203125
1777236507.2352214,55.8,771.58203125
1777236508.2469437,47.4,771.58203125
1777236509.2863877,58.7,771.58203125
1777236510.3316042,50.7,771.58203125
1777236511.338268,54.6,771.58203125
1777236512.3467689,49.6,771.5859375
1777236513.3767667,61.2,771.5859375
1777236514.3796864,49.9,771.59375
1777236515.401602,54.8,771.59375
1777236516.4319534,49.5,771.59765625
1777236517.4410183,56.5,771.59765625
1777236518.447152,53.7,771.60546875
1777236519.4773722,56.3,771.60546875
1777236520.4901433,51.3,771.609375
1777236521.5369132,54.5,771.609375
1777236522.5429614,49.7,771.6171875
1777236523.5804622,54.0,771.6171875
1777236524.5825653,40.9,771.62109375
1777236525.5861435,16.9,771.62109375
1777236526.6282973,111.3,772.59375
1777236527.6422822,56.2,772.83203125
1777236528.6429362,53.0,773.21875
1777236529.649015,56.7,773.21875
1777236530.6796446,63.1,773.21875
1777236531.6837144,54.8,773.21875
1777236532.6931,53.5,773.21875
