frame_seq,t_sent_ns,t_recv_ns,latency_ns
0,1777236413567121567,1777236413585780657,18659090
1,1777236413670029163,1777236413678638736,8609573
2,1777236413771626629,1777236413781070550,9443921
3,1777236413873105404,1777236413881455716,8350312
4,1777236413971063155,1777236413979376808,8313653
5,1777236414071133661,1777236414079688324,8554663
6,1777236414171144479,1777236414178707847,7563368
7,1777236414273527546,1777236414294638662,21111116
8,1777236414370799058,1777236414382463438,11664380
9,1777236414470993099,1777236414490200128,19207029
10,1777236414570844575,1777236414580029810,9185235
11,1777236414666409155,1777236414675020388,8611233
12,1777236414773942972,1777236414786450341,12507369
13,1777236414873779382,1777236414894121325,20341943
14,1777236414974807272,1777236414983626493,8819221
15,1777236415071542100,1777236415079393570,7851470
16,1777236415171390979,1777236415192370608,20979629
17,1777236415269094102,1777236415287817279,18723177
18,1777236415372208708,1777236415381022812,8814104
19,1777236415471727980,1777236415481886299,10158319
20,1777236415571622362,1777236415580670280,9047918
21,1777236415674901446,1777236415688196146,13294700
22,1777236415772666979,1777236415790804288,18137309
23,1777236415870165767,1777236415878578351,8412584
24,1777236415973464072,1777236415981972644,8508572
25,1777236416072866120,1777236416085933505,13067385
26,1777236416174625824,1777236416183952205,9326381
27,1777236416271728765,1777236416297208304,25479539
28,1777236416374143339,1777236416384616137,10472798
29,1777236416473908068,1777236416487026075,13118007
30,1777236416573854763,1777236416592657482,18802719
31,1777236416668691514,1777236416686852795,18161281
32,1777236416771284857,1777236416789328750,18043893
33,1777236416870455854,1777236416888833931,18378077
34,1777236416969960810,1777236416988557941,18597131
35,1777236417070759863,1777236417088957956,18198093
36,1777236417171256011,1777236417179768887,8512876
37,1777236417272551513,1777236417290684199,18132686
38,1777236417366990617,1777236417375922103,8931486
39,1777236417469480642,1777236417481759457,12278815
40,1777236417574752333,1777236417587230016,12477683
41,1777236417675086667,1777236417693738470,18651803
42,1777236417779953033,1777236417813343124,33390091
43,1777236417876346731,1777236417895357896,19011165
44,1777236417973469923,1777236417984346855,10876932
45,1777236418071799817,1777236418080328512,8528695
46,1777236418171411079,1777236418178590370,7179291
47,1777236418271365008,1777236418281199793,9834785
48,1777236418367724842,1777236418377108735,9383893
49,1777236418473583882,1777236418485667817,12083935
50,1777236418571092150,1777236418582085081,10992931
51,1777236418672628046,1777236418681723322,9095276
52,1777236418782958070,1777236418795162440,12204370
53,1777236418873683888,1777236418888927538,15243650
54,1777236418966297394,1777236418985915057,19617663
55,1777236419072348278,1777236419080856848,8508570
56,1777236419174466066,1777236419182188852,7722786
57,1777236419272923069,1777236419286903984,13980915
58,1777236419369606363,1777236419379739884,10133521
59,1777236419478291623,1777236419485783484,7491861
60,1777236419572933601,1777236419582168750,9235149
61,1777236419672033674,1777236419690229593,18195919
62,1777236419770739020,1777236419789525368,18786348
63,1777236419868343774,1777236419877673857,9330083
64,1777236419967688173,1777236419987954030,20265857
65,1777236420070725083,1777236420078250916,7525833
66,1777236420171219108,1777236420180547101,9327993
67,1777236420273495082,1777236420283327938,9832856
68,1777236420372404286,1777236420391893111,19488825
69,1777236420473740239,1777236420483431398,9691159
70,1777236420572078102,1777236420591160010,19081908
71,1777236420672025175,1777236420690965065,18939890
72,1777236420770352245,1777236420800695887,30343642
73,1777236420873947613,1777236420893159774,19212161
74,1777236420971296876,1777236420978868705,7571829
75,1777236421069660946,1777236421088634844,18973898
76,1777236421166165616,1777236421181409331,15243715
77,1777236421266995269,1777236421274870989,7875720
78,1777236421371018862,1777236421380324863,9306001
79,1777236421472084689,1777236421482141649,10056960
80,1777236421568465959,1777236421578971901,10505942
81,1777236421668544577,1777236421682199706,13655129
82,1777236421768209209,1777236421783233393,15024184
83,1777236421868512040,1777236421878297910,9785870
84,1777236421973520370,1777236421985453421,11933051
85,1777236422076600659,1777236422090477811,13877152
86,1777236422167911416,1777236422177689300,9777884
87,1777236422271619253,1777236422290614009,18994756
88,1777236422372447569,1777236422380996781,8549212
89,1777236422470120963,1777236422477674127,7553164
90,1777236422571907611,1777236422580577672,8670061
91,1777236422670794385,1777236422681870119,11075734
92,1777236422774178328,1777236422788046642,13868314
93,1777236422873199984,1777236422883819099,10619115
94,1777236422970889290,1777236422979505024,8615734
95,1777236423069252118,1777236423078727335,9475217
96,1777236423169674229,1777236423183479311,13805082
97,1777236423273011087,1777236423281261672,8250585
98,1777236423372160889,1777236423383247506,11086617
99,1777236423474318945,1777236423484104314,9785369
100,1777236423576002427,1777236423587720514,11718087
101,1777236423683327750,1777236423692737224,9409474
102,1777236423773302075,1777236423794059831,20757756
103,1777236423874294790,1777236423886316491,12021701
104,1777236423974988886,1777236423987516765,12527879
105,1777236424069731354,1777236424079192597,9461243
106,1777236424169192701,1777236424179771419,10578718
107,1777236424277183870,1777236424286777845,9593975
108,1777236424372940694,1777236424383784572,10843878
109,1777236424474971644,1777236424484970591,9998947
110,1777236424573510770,1777236424582492381,8981611
111,1777236424672049646,1777236424682019767,9970121
112,1777236424771574545,1777236424788675760,17101215
113,1777236424874432744,1777236424887972388,13539644
114,1777236424973011676,1777236424992951751,19940075
115,1777236425073262120,1777236425081918546,8656426
116,1777236425170606211,1777236425178832516,8226305
117,1777236425271863875,1777236425290258791,18394916
118,1777236425369627866,1777236425378436366,8808500
119,1777236425473463319,1777236425483810506,10347187
120,1777236425575862239,1777236425583471459,7609220
121,1777236425673497088,1777236425692571143,19074055
122,1777236425768315650,1777236425776216212,7900562
123,1777236425874194258,1777236425886346282,12152024
124,1777236425974202178,1777236425993494930,19292752
125,1777236426071462386,1777236426090501607,19039221
126,1777236426170694728,1777236426178638979,7944251
127,1777236426270387218,1777236426288180094,17792876
128,1777236426368863790,1777236426378416222,9552432
129,1777236426471822018,1777236426482501685,10679667
130,1777236426567406394,1777236426576829599,9423205
131,1777236426669799404,1777236426682496572,12697168
132,1777236426772829412,1777236426784173288,11343876
133,1777236426868381943,1777236426886567745,18185802
134,1777236426969886850,1777236426978563872,8677022
135,1777236427073264744,1777236427085879293,12614549
136,1777236427173628707,1777236427192288205,18659498
137,1777236427272705762,1777236427282077287,9371525
138,1777236427366422660,1777236427374388230,7965570
139,1777236427472266434,1777236427481620575,9354141
140,1777236427569443705,1777236427580990308,11546603
141,1777236427681319542,1777236427691113835,9794293
142,1777236427773870350,1777236427794730766,20860416
143,1777236427872657417,1777236427892219383,19561966
144,1777236427969056023,1777236427984712309,15656286
145,1777236428073927856,1777236428087950376,14022520
146,1777236428172106132,1777236428190811131,18704999
147,1777236428272416074,1777236428283855618,11439544
148,1777236428370913877,1777236428384190824,13276947
149,1777236428471306869,1777236428490903506,19596637
150,1777236428576653672,1777236428595155561,18501889
151,1777236428673555232,1777236428696022633,22467401
152,1777236428770323964,1777236428791786514,21462550
153,1777236428869461847,1777236428878067812,8605965
154,1777236428966274504,1777236428975226162,8951658
155,1777236429067511326,1777236429077509185,9997859
156,1777236429168498854,1777236429179915226,11416372
157,1777236429271495813,1777236429280557800,9061987
158,1777236429371334927,1777236429381023794,9688867
159,1777236429472140679,1777236429491939486,19798807
160,1777236429566325404,1777236429585201639,18876235
161,1777236429672689060,1777236429681252046,8562986
162,1777236429770061670,1777236429780076352,10014682
163,1777236429869065163,1777236429880096599,11031436
164,1777236429969381242,1777236429988861021,19479779
165,1777236430071456306,1777236430081815822,10359516
166,1777236430172416501,1777236430182764713,10348212
167,1777236430272690409,1777236430290755486,18065077
168,1777236430369545498,1777236430388685923,19140425
169,1777236430472172569,1777236430481901549,9728980
170,1777236430569080933,1777236430579326250,10245317
171,1777236430672780037,1777236430680786740,8006703
172,1777236430771449999,1777236430789808582,18358583
173,1777236430871459243,1777236430889920413,18461170
174,1777236430973808258,1777236430983247970,9439712
175,1777236431070559826,1777236431081025352,10465526
176,1777236431167519022,1777236431185874841,18355819
177,1777236431272749701,1777236431283597995,10848294
178,1777236431370654219,1777236431378291454,7637235
179,1777236431472636273,1777236431489794317,17158044
180,1777236431570824923,1777236431578640360,7815437
181,1777236431670973660,1777236431688946181,17972521
182,1777236431773816040,1777236431794373143,20557103
183,1777236431873610691,1777236431885608693,11998002
184,1777236431971848149,1777236431990788409,18940260
185,1777236432071609221,1777236432079757468,8148247
186,1777236432173913029,1777236432183935804,10022775
187,1777236432268955273,1777236432279021674,10066401
188,1777236432371544207,1777236432382548623,11004416
189,1777236432471504344,1777236432484326912,12822568
190,1777236432571096942,1777236432591513492,20416550
191,1777236432673426435,1777236432689799507,16373072
192,1777236432769455169,1777236432778862249,9407080
193,1777236432873572039,1777236432883999711,10427672
194,1777236432972885175,1777236432983709478,10824303
195,1777236433073020197,1777236433093433224,20413027
196,1777236433173325451,1777236433183855968,10530517
197,1777236433270396838,1777236433288295775,17898937
198,1777236433374123561,1777236433387411458,13287897
199,1777236433475556712,1777236433484324110,8767398
200,1777236433574294075,1777236433595712790,21418715
201,1777236433675299748,1777236433697739337,22439589
202,1777236433766900265,1777236433787218532,20318267
203,1777236433868506581,1777236433879940088,11433507
204,1777236433972720530,1777236433991180416,18459886
205,1777236434069065228,1777236434078579775,9514547
206,1777236434169555049,1777236434189055722,19500673
207,1777236434274785649,1777236434285515770,10730121
208,1777236434372931966,1777236434382875943,9943977
209,1777236434472916842,1777236434492741157,19824315
210,1777236434567208352,1777236434575948181,8739829
211,1777236434670441350,1777236434678694532,8253182
212,1777236434778219652,1777236434785463500,7243848
213,1777236434867437482,1777236434875855513,8418031
214,1777236434969106349,1777236434977185448,8079099
215,1777236435071380987,1777236435079155278,7774291
216,1777236435171147043,1777236435189692517,18545474
217,1777236435278322868,1777236435285637722,7314854
218,1777236435372609857,1777236435380225634,7615777
219,1777236435471088997,1777236435488848566,17759569
220,1777236435572243154,1777236435591860406,19617252
221,1777236435673689491,1777236435681002158,7312667
222,1777236435771582862,1777236435781047859,9464997
223,1777236435874086259,1777236435894577148,20490889
224,1777236435969383439,1777236435988895193,19511754
