frame_seq,t_sent_ns,t_recv_ns,latency_ns
0,1777541530220805374,1777541530243299548,22494174
1,1777541530315748215,1777541530338042548,22294333
2,1777541530415003037,1777541530435203017,20199980
3,1777541530514537737,1777541530539164444,24626707
4,1777541530612190798,1777541530624342003,12151205
5,1777541530715955620,1777541530746327633,30372013
6,1777541530813969469,1777541530847085513,33116044
7,1777541530914633911,1777541530938912440,24278529
8,1777541531014323793,1777541531030081304,15757511
9,1777541531114827165,1777541531134473982,19646817
10,1777541531214189607,1777541531229296468,15106861
11,1777541531315811028,1777541531339616521,23805493
12,1777541531415372422,1777541531427359143,11986721
13,1777541531516209164,1777541531548373062,32163898
14,1777541531611394325,1777541531622888442,11494117
15,1777541531716598074,1777541531738056965,21458891
16,1777541531815911616,1777541531841055249,25143633
17,1777541531914254711,1777541531926245788,11991077
18,1777541532014849744,1777541532029778845,14929101
19,1777541532132577027,1777541532156061829,23484802
20,1777541532214512084,1777541532232469162,17957078
21,1777541532317167911,1777541532341524247,24356336
22,1777541532416503463,1777541532444925317,28421854
23,1777541532515240301,1777541532532182129,16941828
24,1777541532613126900,1777541532633232030,20105130
25,1777541532716784074,1777541532738543605,21759531
26,1777541532813830327,1777541532826551771,12721444
27,1777541532916297072,1777541532944696517,28399445
28,1777541533013135092,1777541533026576451,13441359
29,1777541533113625774,1777541533126076565,12450791
30,1777541533212383441,1777541533233756476,21373035
31,1777541533315438122,1777541533339609017,24170895
32,1777541533416121918,1777541533440359931,24238013
33,1777541533514358546,1777541533543975864,29617318
34,1777541533610704725,1777541533622333018,11628293
35,1777541533715199873,1777541533731976429,16776556
36,1777541533814454082,1777541533838518522,24064440
37,1777541533915168964,1777541533943420998,28252034
38,1777541534010852740,1777541534021766024,10913284
39,1777541534113725332,1777541534123124017,9398685
40,1777541534212142506,1777541534234621794,22479288
41,1777541534313280968,1777541534335141746,21860778
42,1777541534415996569,1777541534438122598,22126029
43,1777541534515331509,1777541534539916898,24585389
44,1777541534624105433,1777541534633932531,9827098
45,1777541534716294187,1777541534730578452,14284265
46,1777541534818001831,1777541534831972174,13970343
47,1777541534915072066,1777541534938404169,23332103
48,1777541535018907676,1777541535042576347,23668671
49,1777541535113673704,1777541535135004024,21330320
50,1777541535214879364,1777541535230408391,15529027
51,1777541535315219058,1777541535345918012,30698954
52,1777541535421134938,1777541535434840542,13705604
53,1777541535511607438,1777541535538099733,26492295
54,1777541535610236477,1777541535619028954,8792477
55,1777541535718594121,1777541535737402442,18808321
56,1777541535815364092,1777541535829208831,13844739
57,1777541535911079985,1777541535936335986,25256001
58,1777541536016057752,1777541536027893553,11835801
59,1777541536115214692,1777541536143017367,27802675
60,1777541536212865836,1777541536225708073,12842237
61,1777541536310756619,1777541536333554009,22797390
62,1777541536415189039,1777541536444812634,29623595
63,1777541536512383858,1777541536524307008,11923150
64,1777541536612304361,1777541536624124075,11819714
65,1777541536716922182,1777541536744085201,27163019
66,1777541536814937900,1777541536841066682,26128782
67,1777541536915426083,1777541536937995949,22569866
68,1777541537015049435,1777541537043717137,28667702
69,1777541537115287610,1777541537140309643,25022033
70,1777541537215565592,1777541537249948637,34383045
71,1777541537314927216,1777541537328880302,13953086
72,1777541537415210035,1777541537440239736,25029701
73,1777541537517188024,1777541537534961384,17773360
74,1777541537613858542,1777541537623510500,9651958
75,1777541537715370832,1777541537745531509,30160677
76,1777541537815690047,1777541537841682140,25992093
77,1777541537911575697,1777541537924321537,12745840
78,1777541538014424548,1777541538026238759,11814211
79,1777541538112035052,1777541538133406828,21371776
80,1777541538215628806,1777541538238776883,23148077
81,1777541538310299484,1777541538322454566,12155082
82,1777541538414522737,1777541538427362003,12839266
83,1777541538516023536,1777541538539853957,23830421
84,1777541538612584404,1777541538635035386,22450982
85,1777541538714505776,1777541538726635322,12129546
86,1777541538819532313,1777541538832528576,12996263
87,1777541538914246246,1777541538932946158,18699912
88,1777541539013804785,1777541539038623107,24818322
89,1777541539114546595,1777541539130074401,15527806
90,1777541539213795220,1777541539242567345,28772125
91,1777541539315188568,1777541539339615654,24427086
92,1777541539415255712,1777541539437887909,22632197
93,1777541539514499290,1777541539540658092,26158802
94,1777541539609681283,1777541539616489674,6808391
95,1777541539712311135,1777541539734263926,21952791
96,1777541539816476842,1777541539841500725,25023883
97,1777541539915045699,1777541539942628350,27582651
98,1777541540014888471,1777541540030219182,15330711
99,1777541540116125581,1777541540148014412,31888831
100,1777541540215257260,1777541540233017180,17759920
101,1777541540311206967,1777541540330144155,18937188
102,1777541540414276118,1777541540431762192,17486074
103,1777541540514438057,1777541540527357172,12919115
104,1777541540611112002,1777541540630074899,18962897
105,1777541540715487683,1777541540753080716,37593033
106,1777541540813734897,1777541540828115801,14380904
107,1777541540913420531,1777541540924421182,11000651
108,1777541541013139387,1777541541025832727,12693340
109,1777541541113778099,1777541541139794686,26016587
110,1777541541215353248,1777541541241390346,26037098
111,1777541541315103962,1777541541338261188,23157226
112,1777541541414874377,1777541541443447254,28572877
113,1777541541514747426,1777541541530378337,15630911
114,1777541541612964544,1777541541624363228,11398684
115,1777541541715225890,1777541541743045831,27819941
116,1777541541815843219,1777541541854547758,38704539
117,1777541541910969564,1777541541923439232,12469668
118,1777541542014811922,1777541542026930107,12118185
119,1777541542117154461,1777541542144380658,27226197
120,1777541542215001542,1777541542239153445,24151903
121,1777541542319948220,1777541542343814312,23866092
122,1777541542416043355,1777541542440051686,24008331
123,1777541542515139519,1777541542542421431,27281912
124,1777541542611685801,1777541542622541102,10855301
125,1777541542716306815,1777541542742343886,26037071
126,1777541542814807583,1777541542840504151,25696568
127,1777541542915600409,1777541542940827502,25227093
128,1777541543012245407,1777541543036960833,24715426
129,1777541543112008649,1777541543139440774,27432125
130,1777541543215456581,1777541543235021016,19564435
131,1777541543317104123,1777541543329904226,12800103
132,1777541543417058495,1777541543431435685,14377190
133,1777541543516187302,1777541543529466484,13279182
134,1777541543611381014,1777541543622112043,10731029
135,1777541543715231257,1777541543737255681,22024424
136,1777541543813388489,1777541543837121956,23733467
137,1777541543915779256,1777541543937289356,21510100
138,1777541544023763886,1777541544044303957,20540071
139,1777541544124037341,1777541544134792059,10754718
140,1777541544222251092,1777541544242192964,19941872
141,1777541544322751071,1777541544347710543,24959472
142,1777541544418172461,1777541544441074006,22901545
