t_sample,cpu_pct,rss_mb
1777541531.1355858,193.3,807.3671875
1777541532.1566978,196.8,808.80078125
1777541533.1599007,186.4,810.609375
1777541534.208122,182.2,810.69140625
1777541535.2310016,187.7,811.546875
1777541536.2642689,181.9,812.53125
1777541537.2672043,203.4,813.2109375
1777541538.3049965,186.9,813.2109375
1777541539.3400564,185.5,813.52734375
1777541540.349815,186.2,813.52734375
1777541541.353809,183.3,813.53125
1777541542.3581488,206.1,813.53125
1777541543.3972805,180.9,813.53125
1777541544.4046247,171.7,789.57421875
1777541545.4330378,160.4,799.21875
1777541546.4361033,189.4,814.25
1777541547.4378436,177.7,814.25
1777541548.4454083,171.7,789.9375
1777541549.4557965,155.4,789.9375
1777541550.4996464,185.9,816.38671875
1777541551.509733,175.2,816.38671875
1777541552.5110888,178.8,816.38671875
1777541553.5275052,188.9,816.4921875
1777541554.5588663,173.5,816.4921875
1777541555.599948,175.8,816.4921875
1777541556.6196284,184.4,816.4921875
1777541557.6356552,208.6,816.4921875
1777541558.6398056,179.3,816.4921875
1777541559.6449027,177.1,816.4921875
1777541560.6534927,180.4,816.4921875
1777541561.6565735,164.5,816.4921875
1777541562.6857693,153.5,816.62890625
1777541563.691344,149.2,816.62890625
1777541564.7136197,148.7,816.73046875
1777541565.7503874,202.6,816.73046875
1777541566.8005536,161.9,816.73046875
1777541567.8205247,188.2,816.73046875
1777541568.8278275,199.5,818.36328125
1777541569.863638,117.8,818.36328125
1777541570.904756,166.2,819.34765625
1777541571.9066699,148.7,819.34765625
1777541572.9317467,189.2,819.34765625
1777541573.941783,188.1,819.34765625
1777541574.9422355,161.9,819.34765625
1777541575.9905949,167.9,819.34765625
1777541577.0077014,165.2,819.34765625
1777541578.046208,163.7,819.34765625
1777541579.0658987,179.5,819.34765625
1777541580.1102672,161.8,819.34765625
1777541581.119061,140.8,819.34765625
1777541582.1214046,218.5,772.4453125
1777541583.1471977,155.0,775.1328125
1777541584.1969557,162.9,775.3046875
1777541585.1983926,138.8,775.37890625
1777541586.2267065,158.5,775.37890625
1777541587.2374012,144.5,784.91796875
1777541588.2383358,183.8,775.46484375
1777541589.2412179,195.4,775.46484375
1777541590.2671163,152.1,775.46484375
1777541591.3145943,152.8,782.0703125
1777541592.3481405,178.0,775.46484375
1777541593.3973887,170.6,775.46484375
1777541594.4146798,150.4,793.65625
1777541595.4435983,155.5,775.46484375
1777541596.4506953,162.8,775.46484375
1777541597.4995198,171.6,775.46484375
1777541598.5075903,159.7,775.46484375
1777541599.531279,171.9,812.44921875
1777541600.5448236,157.9,775.46875
1777541601.5465517,180.7,775.46875
1777541602.5945165,163.2,775.46875
1777541603.5990338,154.3,775.46875
1777541604.5991392,180.0,775.46875
1777541605.6040545,163.2,775.46875
1777541606.6195173,202.9,790.2265625
1777541607.6511555,206.5,775.46875
1777541608.695153,153.3,775.46875
1777541609.7293096,162.5,799.07421875
1777541610.7468612,199.5,775.46875
1777541611.7467873,170.0,775.46875
1777541612.7476194,203.8,775.46875
1777541613.795244,191.9,775.46875
1777541614.8101091,181.3,775.46875
1777541615.832589,142.8,805.0390625
1777541616.837212,195.1,784.921875
1777541617.8386576,167.8,784.921875
1777541618.8440063,150.2,775.46875
1777541619.8482535,164.3,775.46875
1777541620.84858,152.9,775.46875
1777541621.8599858,155.2,775.46875
1777541622.8664846,166.9,775.46875
1777541623.9073534,166.2,775.46875
1777541624.9359365,161.4,784.921875
1777541625.9436066,172.7,817.23046875
1777541626.9523342,160.6,775.46875
1777541627.9583797,169.0,775.46875
1777541628.9943488,154.4,775.47265625
1777541630.0011396,126.1,775.47265625
1777541631.0052712,145.4,775.48046875
1777541632.0413306,144.8,775.48046875
1777541633.0422463,138.9,775.484375
1777541634.0447872,174.6,775.484375
1777541635.0449162,165.0,775.4921875
1777541636.0450845,167.0,775.4921875
1777541637.0543602,157.5,775.49609375
1777541638.0545702,167.0,775.49609375
1777541639.055934,149.8,775.50390625
1777541640.1028712,158.6,775.50390625
1777541641.111454,173.5,778.1640625
1777541642.1434038,132.8,775.5078125
1777541643.158053,234.6,775.6015625
1777541644.1710827,172.7,775.83984375
1777541645.2106078,174.1,776.23046875
1777541646.2472167,175.6,776.2265625
1777541647.2562702,162.5,776.2265625
1777541648.2602117,173.3,776.2265625
1777541649.3011339,162.4,776.2265625
