frame_seq,t_sent_ns,t_recv_ns,latency_ns
0,1777541530108923454,1777541530151282806,42359352
1,1777541530213232108,1777541530245246836,32014728
2,1777541530315715739,1777541530364273741,48558002
3,1777541530414706437,1777541530464159387,49452950
4,1777541530515394320,1777541530554317910,38923590
5,1777541530610925223,1777541530654628465,43703242
6,1777541530716044398,1777541530756754375,40709977
7,1777541530813920870,1777541530849073048,35152178
8,1777541530914899203,1777541530961839801,46940598
9,1777541531014657841,1777541531067092254,52434413
10,1777541531115391339,1777541531157497635,42106296
11,1777541531226435681,1777541531257060221,30624540
12,1777541531314465843,1777541531360014161,45548318
13,1777541531415983682,1777541531465996723,50013041
14,1777541531514499133,1777541531546557951,32058818
15,1777541531612525493,1777541531654859577,42334084
16,1777541531714794094,1777541531764229568,49435474
17,1777541531815631975,1777541531865354029,49722054
18,1777541531914229164,1777541531959843589,45614425
19,1777541532015607996,1777541532063276564,47668568
20,1777541532116290432,1777541532181586875,65296443
21,1777541532211244305,1777541532247045336,35801031
22,1777541532314605406,1777541532357047667,42442261
23,1777541532414762519,1777541532452774157,38011638
24,1777541532515153951,1777541532556466539,41312588
25,1777541532623283840,1777541532656473349,33189509
26,1777541532716538626,1777541532750726481,34187855
27,1777541532814043885,1777541532867646217,53602332
28,1777541532915585481,1777541532956601744,41016263
29,1777541533022481894,1777541533051375437,28893543
30,1777541533114057892,1777541533159501699,45443807
31,1777541533212639721,1777541533259441496,46801775
32,1777541533316263347,1777541533362873291,46609944
33,1777541533416329533,1777541533455310421,38980888
34,1777541533514541803,1777541533556443770,41901967
35,1777541533610890733,1777541533644712391,33821658
36,1777541533717189154,1777541533766850894,49661740
37,1777541533814906166,1777541533860469948,45563782
38,1777541533916163628,1777541533966523746,50360118
39,1777541534010873358,1777541534055153281,44279923
40,1777541534113704726,1777541534157228055,43523329
41,1777541534210472801,1777541534249814641,39341840
42,1777541534316115446,1777541534357411010,41295564
43,1777541534416053023,1777541534460229194,44176171
44,1777541534514231133,1777541534563892005,49660872
45,1777541534613659243,1777541534658299740,44640497
46,1777541534717362456,1777541534767294357,49931901
