t_sample,cpu_pct,rss_mb
1777541531.1354334,220.7,930.82421875
1777541532.156583,219.3,953.7421875
1777541533.1598313,211.3,916.703125
1777541534.2080467,213.7,916.78515625
1777541535.230921,194.5,927.5390625
1777541536.2642016,211.9,918.625
1777541537.26713,225.3,919.3046875
1777541538.3049462,213.9,919.3046875
1777541539.339988,195.2,960.890625
1777541540.3497715,206.0,919.62109375
1777541541.353742,197.2,919.625
1777541542.3580778,231.0,919.625
1777541543.3971882,194.4,919.625
1777541544.4045343,183.7,920.15234375
1777541545.4329984,190.6,953.18359375
1777541546.4360447,209.4,927.125
1777541547.4377744,198.7,967.6796875
1777541548.445337,191.6,967.8515625
1777541549.4557571,185.1,920.515625
1777541550.4995563,211.7,920.72265625
1777541551.5096347,198.0,920.72265625
1777541552.5110118,184.7,920.72265625
1777541553.5273657,191.9,921.85546875
1777541554.558796,200.7,920.828125
1777541555.5998104,192.1,920.828125
1777541556.6194632,196.2,920.828125
1777541557.6356175,232.2,965.53515625
1777541558.6397293,186.2,966.4140625
1777541559.6448371,205.9,920.828125
1777541560.6534464,211.2,967.70703125
1777541561.6565266,188.4,920.828125
1777541562.6857276,170.0,920.96484375
1777541563.6913035,177.0,920.96484375
1777541564.713539,169.3,921.06640625
1777541565.750277,230.5,949.83984375
1777541566.800445,188.5,921.06640625
1777541567.8203921,202.0,921.06640625
1777541568.827786,229.3,970.03515625
1777541569.863599,138.1,922.69921875
1777541570.904604,195.0,923.68359375
1777541571.9065542,178.7,923.68359375
1777541572.9316757,216.5,952.12109375
1777541573.941744,215.8,952.828125
1777541574.9421844,191.9,923.68359375
1777541575.9905288,186.0,923.68359375
1777541577.0076363,189.8,923.68359375
1777541578.0461679,188.7,971.01953125
1777541579.0658598,205.0,923.68359375
1777541580.110178,176.2,923.68359375
1777541581.1189907,160.6,931.05859375
1777541582.121364,225.4,924.99609375
1777541583.147147,177.4,975.01953125
1777541584.1969118,185.7,927.85546875
1777541585.1983278,148.8,927.9296875
1777541586.2266703,171.1,962.26171875
1777541587.2373505,163.3,975.3515625
1777541588.238252,209.8,966.24609375
1777541589.241171,208.4,975.3515625
1777541590.2670414,176.4,928.015625
1777541591.3144562,176.6,928.015625
1777541592.3480742,197.3,975.3515625
1777541593.3973014,186.8,928.015625
1777541594.414634,179.9,928.015625
1777541595.4434443,184.7,928.015625
1777541596.4506478,189.6,928.015625
1777541597.49948,193.5,928.015625
1777541598.507487,178.6,928.015625
1777541599.531191,205.1,951.390625
1777541600.5447388,184.5,928.015625
1777541601.5464818,193.7,968.1484375
1777541602.594421,193.7,928.015625
1777541603.5989525,188.1,928.015625
1777541604.5990295,204.0,928.015625
1777541605.6039498,193.1,928.015625
1777541606.6193702,226.5,928.015625
1777541607.6510513,217.1,945.5703125
1777541608.695079,178.1,928.015625
1777541609.7291582,198.3,953.3203125
1777541610.746793,220.1,928.015625
1777541611.7467487,200.0,928.015625
1777541612.7475796,224.8,928.015625
1777541613.7950797,214.8,928.015625
1777541614.8100073,199.0,928.015625
1777541615.8324385,169.2,930.38671875
1777541616.8371751,216.9,963.3046875
1777541617.8385885,178.8,975.23046875
1777541618.84397,171.1,955.82421875
1777541619.8481681,186.2,928.01953125
1777541620.84854,175.9,928.01953125
1777541621.859949,183.9,928.01953125
1777541622.866444,190.8,928.01953125
1777541623.9072526,191.2,928.01953125
1777541624.9358966,186.6,957.73046875
1777541625.9435248,195.5,957.6796875
1777541626.9522972,194.3,928.01953125
1777541627.9583406,193.8,928.01953125
1777541628.994306,164.1,928.0234375
1777541630.0010881,138.1,928.0234375
1777541631.0052238,175.3,928.03125
1777541632.041257,160.2,928.03125
1777541633.0422075,165.8,928.03515625
1777541634.0446846,204.5,969.796875
1777541635.0448759,196.9,928.04296875
1777541636.0450153,186.0,928.04296875
1777541637.054324,177.3,928.046875
1777541638.0545294,190.0,928.046875
1777541639.0558689,180.8,928.0546875
1777541640.1027694,184.4,928.0546875
1777541641.1113997,187.4,928.05859375
1777541642.1433184,171.5,928.05859375
1777541643.1580005,251.3,928.4609375
1777541644.1710317,205.3,928.69921875
1777541645.2104475,194.4,929.0859375
1777541646.2471752,196.7,929.0859375
1777541647.256226,192.3,929.0859375
1777541648.2601383,207.2,929.0859375
1777541649.3010154,188.3,929.0859375
