frame_seq,t_sent_ns,t_recv_ns,latency_ns
0,1777542136117182292,1777542136360581159,243398867
1,1777542136216626984,1777542136362458816,145831832
2,1777542136318156994,1777542136364873467,46716473
3,1777542136419517777,1777542136455896210,36378433
4,1777542136519232055,1777542136559182269,39950214
5,1777542136619316948,1777542136661061645,41744697
6,1777542136719064955,1777542136753345653,34280698
7,1777542136818405321,1777542136853355182,34949861
8,1777542136918942947,1777542136958831397,39888450
9,1777542137018950331,1777542137058891136,39940805
10,1777542137118719747,1777542137156747373,38027626
11,1777542137218876068,1777542137253573496,34697428
12,1777542137318436510,1777542137354553614,36117104
13,1777542137420153923,1777542137456286708,36132785
14,1777542137518667258,1777542137553133888,34466630
15,1777542137619489798,1777542137653093364,33603566
16,1777542137719442202,1777542137766127440,46685238
17,1777542137818891597,1777542137857043872,38152275
18,1777542137918844929,1777542137955637852,36792923
19,1777542138019414844,1777542138054643603,35228759
20,1777542138119012792,1777542138158330005,39317213
21,1777542138218846307,1777542138258544665,39698358
22,1777542138319060103,1777542138351533004,32472901
23,1777542138421701831,1777542138458753746,37051915
24,1777542138520699580,1777542138557440724,36741144
25,1777542138619014950,1777542138655889638,36874688
26,1777542138718888820,1777542138753573255,34684435
27,1777542138819058260,1777542138859064573,40006313
28,1777542138919537513,1777542138953842724,34305211
29,1777542139018593826,1777542139053583113,34989287
30,1777542139120283844,1777542139157274955,36991111
31,1777542139218876446,1777542139259679514,40803068
32,1777542139319517116,1777542139353941215,34424099
33,1777542139420161211,1777542139458536219,38375008
34,1777542139518728756,1777542139552502668,33773912
35,1777542139619089664,1777542139654415356,35325692
36,1777542139719743135,1777542139768718024,48974889
37,1777542139819019717,1777542139854463817,35444100
38,1777542139918883282,1777542139959145387,40262105
39,1777542140019562642,1777542140056537592,36974950
40,1777542140119484929,1777542140153395234,33910305
41,1777542140219621022,1777542140258546305,38925283
42,1777542140319025900,1777542140355048181,36022281
43,1777542140420355285,1777542140458324027,37968742
44,1777542140521180863,1777542140559657861,38476998
45,1777542140619919970,1777542140658519888,38599918
46,1777542140718867058,1777542140751326166,32459108
47,1777542140819242814,1777542140859359726,40116912
48,1777542140919568679,1777542140956792925,37224246
