t_sample,cpu_pct,rss_mb
1777542137.158412,164.2,137.8359375
1777542138.1596482,165.8,150.48046875
1777542139.209413,160.0,137.83984375
1777542140.2561138,175.8,138.07421875
1777542141.3047764,161.2,137.55859375
1777542142.3078177,172.5,138.08984375
1777542143.310983,171.4,137.828125
1777542144.3138683,174.5,138.11328125
1777542145.3614454,180.4,137.875
1777542146.4108005,160.1,137.859375
1777542147.454919,182.0,150.7421875
1777542148.4588704,168.3,138.0703125
1777542149.4618847,175.5,138.33203125
1777542150.508966,158.5,137.84375
1777542151.5097868,166.9,138.125
1777542152.510512,176.9,139.00390625
1777542153.562775,172.0,137.9453125
1777542154.6074898,164.6,138.4296875
1777542155.6112425,167.4,139.1953125
1777542156.661545,178.0,138.9375
1777542157.711043,158.2,138.98046875
1777542158.7541027,177.4,138.75
1777542159.7558355,169.7,139.28515625
1777542160.7567322,162.9,138.8046875
1777542161.7571428,166.9,139.34765625
1777542162.8077178,159.0,139.64453125
1777542163.8103538,169.5,139.3984375
1777542164.8122196,163.7,139.39453125
1777542165.8132687,166.8,139.390625
1777542166.8139815,166.9,139.66796875
1777542167.8148499,171.9,139.40234375
1777542168.8627613,176.5,139.4375
1777542169.907274,157.0,139.4375
1777542170.9137943,173.9,138.93359375
1777542171.9136653,174.0,139.26171875
1777542172.96247,181.2,139.296875
1777542174.010603,158.4,138.79296875
1777542175.0569582,174.9,139.55859375
1777542176.058062,161.8,139.29296875
1777542177.0622272,173.3,140.3203125
1777542178.1068099,153.2,139.8125
1777542179.1572797,179.0,152.17578125
1777542180.1614594,172.3,139.81640625
1777542181.2089756,159.4,140.18359375
1777542182.2169201,163.7,139.41796875
1777542183.2610393,175.3,139.70703125
1777542184.2612057,170.0,140.16796875
1777542185.306274,165.6,139.65625
1777542186.3151908,166.5,139.89453125
1777542187.3643353,174.4,139.875
1777542188.366465,164.6,134.96875
1777542189.4049473,179.1,140.91015625
1777542190.4161105,166.1,141.26171875
1777542191.4591362,182.2,141.15625
1777542192.5074775,162.2,141.33984375
1777542193.5135877,168.0,141.109375
1777542194.5167289,174.5,141.38671875
1777542195.5608006,170.5,153.26171875
1777542196.6053581,163.7,140.92578125
1777542197.6105788,168.1,140.95703125
1777542198.6169114,169.9,141.43359375
1777542199.6593456,187.1,153.87109375
1777542200.6617432,165.6,141.30078125
1777542201.6625566,170.9,141.3515625
1777542202.6652677,169.6,141.15625
1777542203.6672614,166.7,140.953125
1777542204.7151008,166.1,141.2265625
1777542205.7165096,171.8,141.26171875
1777542206.719531,171.5,141.046875
1777542207.759148,178.9,141.34765625
1777542208.8043191,156.0,141.359375
1777542209.814129,164.4,141.36328125
1777542210.8178613,170.4,141.140625
1777542211.8649812,176.7,141.19921875
1777542212.8670971,182.6,141.76171875
1777542213.9157395,163.1,140.76953125
1777542214.960595,176.1,140.8203125
1777542215.9623027,176.7,141.3671875
1777542216.9650648,173.5,140.93359375
1777542218.0114326,168.2,140.93359375
1777542219.017635,168.0,141.23046875
1777542220.0224762,174.2,146.0
1777542221.0583339,179.5,141.2890625
1777542222.0628011,171.2,141.07421875
1777542223.0697856,167.8,141.06640625
1777542224.1139631,157.1,141.35546875
1777542225.164157,179.0,141.44921875
1777542226.164534,172.0,153.58984375
1777542227.1661403,172.7,141.34765625
1777542228.2133837,160.4,141.3671875
1777542229.2140548,173.9,140.8984375
1777542230.2168844,165.5,141.375
1777542231.217283,171.9,141.2109375
1777542232.2175205,168.9,141.0
1777542233.2180219,170.9,140.8828125
1777542234.261857,171.5,141.44140625
1777542235.3097785,160.3,141.21875
1777542236.3276317,173.9,151.05078125
1777542237.364767,182.2,142.5625
1777542238.4129112,165.1,141.00390625
1777542239.4146614,180.7,140.8046875
1777542240.4167511,161.7,141.34765625
1777542241.4638124,177.6,141.12109375
1777542242.5092926,169.3,141.16015625
1777542243.5131881,172.3,141.2109375
1777542244.5172517,168.3,141.23828125
1777542245.5624225,178.9,140.796875
1777542246.5675387,169.1,140.828125
1777542247.6151078,157.5,140.9375
1777542248.6167989,163.7,141.21484375
1777542249.6580195,197.8,141.234375
1777542250.6627011,160.2,141.34765625
1777542251.667291,169.2,140.88671875
1777542252.7137249,160.6,153.55078125
1777542253.7625659,181.2,153.625
1777542254.7650664,168.6,141.05859375
1777542255.8146572,168.6,141.02734375
