t_sample,cpu_pct,rss_mb
1777542137.158103,50.8,120.8203125
1777542138.159434,45.9,120.8203125
1777542139.2090998,44.8,120.81640625
1777542140.25593,50.6,120.80078125
1777542141.3044653,42.9,120.5625
1777542142.3075058,45.9,120.98828125
1777542143.3107607,43.9,120.578125
1777542144.3136792,48.9,121.01171875
1777542145.361241,44.9,120.76171875
1777542146.4105701,44.8,120.76171875
1777542147.4546745,51.7,120.77734375
1777542148.4586723,45.8,120.57421875
1777542149.4616675,53.8,120.99609375
1777542150.5086489,47.8,120.609375
1777542151.5094702,49.0,120.60546875
1777542152.510276,57.9,121.82421875
1777542153.5625339,54.2,120.94921875
1777542154.6071684,52.7,121.13671875
1777542155.6110182,53.8,122.05078125
1777542156.661364,56.2,122.00390625
1777542157.7108011,50.5,121.98828125
1777542158.7539058,53.7,122.046875
1777542159.755662,50.9,122.05859375
1777542160.7564251,50.0,121.8203125
1777542161.756896,51.0,122.33984375
1777542162.807395,41.9,122.296875
1777542163.8101351,50.9,122.2734375
1777542164.8120143,44.9,122.09765625
1777542165.812956,53.0,122.09765625
1777542166.813763,44.0,121.875
1777542167.8145356,50.0,122.32421875
1777542168.8625436,45.8,121.8671875
1777542169.9069521,43.1,122.078125
1777542170.9134753,43.7,122.0625
1777542171.9134302,45.0,122.046875
1777542172.9622424,49.6,122.30078125
1777542174.0102823,39.1,122.0546875
1777542175.0567157,45.9,121.85546875
1777542176.0578973,44.9,122.27734375
1777542177.06203,47.8,122.9921875
1777542178.1064978,41.2,122.17578125
1777542179.1570327,46.6,122.48046875
1777542180.1612043,39.8,122.375
1777542181.2086518,46.8,122.7890625
1777542182.2165964,45.6,122.37109375
1777542183.260788,45.0,122.37109375
1777542184.2610178,43.0,122.6015625
1777542185.3059614,41.2,122.40234375
1777542186.3148804,47.6,122.34375
1777542187.3640704,41.0,122.17578125
1777542188.3662968,42.9,117.01171875
1777542189.404622,53.0,123.6875
1777542190.4158862,41.5,123.6875
1777542191.4588997,49.9,123.6875
1777542192.5072205,47.7,123.6875
1777542193.513264,48.7,123.6875
1777542194.516374,47.8,123.6875
1777542195.5605888,47.9,123.6875
1777542196.6050358,49.8,123.6875
1777542197.6103091,48.7,123.6875
1777542198.6165936,43.7,123.6875
1777542199.6590533,51.8,123.6875
1777542200.6614978,43.9,123.6875
1777542201.6623793,47.0,123.6875
1777542202.664953,42.9,123.6875
1777542203.6670763,47.9,123.6875
1777542204.7148855,40.1,123.6875
1777542205.716251,47.9,123.6875
1777542206.719314,42.9,123.6875
1777542207.758972,52.9,123.6875
1777542208.8040702,50.7,123.6875
1777542209.8138626,50.5,123.6875
1777542210.8175893,51.8,123.6875
1777542211.8646958,47.8,123.6875
1777542212.866906,56.9,124.23828125
1777542213.9155476,49.6,123.6875
1777542214.960368,49.8,123.6875
1777542215.9620986,52.9,123.6875
1777542216.9648883,52.9,123.6875
1777542218.0112352,55.4,123.6875
1777542219.017428,47.7,123.6875
1777542220.0221667,53.7,123.6875
1777542221.0581303,48.3,123.6875
1777542222.0625014,49.8,123.6875
1777542223.0694866,45.7,123.6875
1777542224.1137514,44.0,123.6875
1777542225.1639912,49.5,123.6875
1777542226.1642363,44.0,123.6875
1777542227.1659424,44.9,123.6875
1777542228.2130656,42.0,123.6875
1777542229.213787,47.0,123.6875
1777542230.2166462,41.9,123.6875
1777542231.216961,48.0,123.6875
1777542232.2172914,41.0,123.6875
1777542233.2177727,47.0,123.6875
1777542234.2616928,44.1,123.6875
1777542235.309459,43.9,123.6875
1777542236.3274024,47.2,123.6875
1777542237.3644435,43.4,123.6875
1777542238.4125881,44.8,123.6875
1777542239.414336,47.9,123.6875
1777542240.4163728,39.9,123.6875
1777542241.4636166,44.9,123.6875
1777542242.5090246,43.0,123.6875
1777542243.5128667,42.8,123.6875
1777542244.5170376,47.8,123.6875
1777542245.5622516,45.0,123.6875
1777542246.5673547,42.8,123.6875
1777542247.614785,37.2,123.6875
1777542248.6165593,40.9,123.6875
1777542249.6577764,60.5,124.203125
1777542250.6625428,40.8,124.203125
1777542251.6671214,47.8,124.203125
1777542252.7135072,44.9,124.203125
1777542253.7622917,49.6,124.203125
1777542254.764884,49.9,124.203125
1777542255.8144114,47.6,124.203125
