frame_seq,t_sent_ns,t_recv_ns,latency_ns
0,1777542000560541643,1777542000821547508,261005865
1,1777542000710280942,1777542000960684287,250403345
2,1777542000859700060,1777542001086307923,226607863
3,1777542000988910012,1777542001231868802,242958790
4,1777542001122877394,1777542001361063519,238186125
5,1777542001260231879,1777542001485188144,224956265
6,1777542001391566385,1777542001627282716,235716331
7,1777542001511964717,1777542001765852096,253887379
8,1777542001668847651,1777542001888182331,219334680
9,1777542001792723971,1777542002030888783,238164812
10,1777542001920392156,1777542002173525404,253133248
11,1777542002062609168,1777542002304201273,241592105
12,1777542002209718051,1777542002425791746,216073695
13,1777542002332946999,1777542002571306317,238359318
14,1777542002457651020,1777542002702465961,244814941
15,1777542002601761403,1777542002835420956,233659553
16,1777542002733093443,1777542002970302253,237208810
17,1777542002866918286,1777542003101191671,234273385
18,1777542003005708095,1777542003229698212,223990117
19,1777542003128373966,1777542003359123341,230749375
20,1777542003261701559,1777542003488011795,226310236
21,1777542003393668519,1777542003630124317,236455798
22,1777542003522567342,1777542003769746435,247179093
23,1777542003659999877,1777542003899810839,239810962
24,1777542003802143568,1777542004018218989,216075421
25,1777542003929397483,1777542004162291158,232893675
26,1777542004048905930,1777542004290687162,241781232
27,1777542004189195770,1777542004429676981,240481211
28,1777542004321672426,1777542004572572721,250900295
29,1777542004456873325,1777542004716006415,259133090
30,1777542004604356341,1777542004865412214,261055873
31,1777542004746572548,1777542005006730249,260157701
32,1777542004897946251,1777542005117886626,219940375
33,1777542005034418593,1777542005256800407,222381814
34,1777542005145007860,1777542005398780020,253772160
35,1777542005288058008,1777542005515575358,227517350
36,1777542005428061044,1777542005651053554,222992510
37,1777542005545066668,1777542005791597649,246530981
38,1777542005683359032,1777542005933629970,250270938
39,1777542005848383741,1777542006077200343,228816602
40,1777542005968544836,1777542006206163742,237618906
41,1777542006104769959,1777542006338015298,233245339
42,1777542006237168719,1777542006489435337,252266618
43,1777542006366933866,1777542006614236927,247303061
44,1777542006522452414,1777542006737169594,214717180
45,1777542006644045281,1777542006884213154,240167873
46,1777542006774028779,1777542007020949926,246921147
47,1777542006912092870,1777542007148126742,236033872
48,1777542007054955675,1777542007276270054,221314379
49,1777542007177232586,1777542007413450053,236217467
50,1777542007307865309,1777542007557437795,249572486
51,1777542007440343848,1777542007701990470,261646622
52,1777542007585121274,1777542007822239152,237117878
53,1777542007733217861,1777542007950641905,217424044
54,1777542007854624891,1777542008105767848,251142957
55,1777542007978612538,1777542008224912648,246300110
56,1777542008140888485,1777542008374670110,233781625
57,1777542008253908724,1777542008513703382,259794658
58,1777542008401533087,1777542008632707853,231174766
59,1777542008542857165,1777542008775036285,232179120
60,1777542008665324775,1777542008903352246,238027471
61,1777542008802113323,1777542009027734253,225620930
62,1777542008931934247,1777542009169733093,237798846
63,1777542009057226426,1777542009289264958,232038532
64,1777542009197871481,1777542009416366470,218494989
65,1777542009316753255,1777542009751840612,435087357
66,1777542009446420439,1777542009754336999,307916560
67,1777542009584631415,1777542009799729317,215097902
68,1777542009707527180,1777542009950044895,242517715
69,1777542009827694798,1777542010077079810,249385012
70,1777542009982919273,1777542010203993692,221074419
71,1777542010109513199,1777542010445903876,336390677
72,1777542010241222851,1777542010474771720,233548869
73,1777542010378201137,1777542010601715428,223514291
74,1777542010505796856,1777542010757439294,251642438
75,1777542010632832635,1777542010876924562,244091927
76,1777542010785029678,1777542011007375508,222345830
77,1777542010904980960,1777542011136383446,231402486
78,1777542011036244055,1777542011262904085,226660030
79,1777542011166726714,1777542011384507955,217781241
80,1777542011293323710,1777542011525350332,232026622
81,1777542011411941368,1777542011662595770,250654402
82,1777542011566132651,1777542011774476762,208344111
83,1777542011689252236,1777542011911357856,222105620
84,1777542011804077677,1777542012045170268,241092591
85,1777542011945787919,1777542012157858288,212070369
86,1777542012071886770,1777542012289094627,217207857
87,1777542012191659766,1777542012412912208,221252442
88,1777542012322827492,1777542012542876783,220049291
89,1777542012443755060,1777542012689099191,245344131
90,1777542012580829157,1777542012822222982,241393825
91,1777542012722824856,1777542012949021590,226196734
92,1777542012854355006,1777542013079667585,225312579
93,1777542012984558221,1777542013229892781,245334560
94,1777542013133212115,1777542013340780202,207568087
95,1777542013265607280,1777542013475835701,210228421
96,1777542013370231282,1777542013625634310,255403028
97,1777542013509482896,1777542013761869310,252386414
98,1777542013656429350,1777542013896680442,240251092
99,1777542013793255845,1777542014020985285,227729440
100,1777542013923730725,1777542014153108078,229377353
101,1777542014058342610,1777542014287171831,228829221
102,1777542014185952597,1777542014417744827,231792230
103,1777542014318877043,1777542014530868457,211991414
104,1777542014451217291,1777542014671883801,220666510
105,1777542014561287921,1777542014813602295,252314374
106,1777542014709978359,1777542014929980282,220001923
107,1777542014845167594,1777542015058687332,213519738
108,1777542014957062183,1777542015200641007,243578824
109,1777542015096126294,1777542015314842786,218716492
110,1777542015227049168,1777542015436429081,209379913
111,1777542015346226409,1777542015577717017,231490608
112,1777542015463520102,1777542015715634045,252113943
113,1777542015609242089,1777542015849928755,240686666
114,1777542015750665074,1777542015979369420,228704346
115,1777542015877111622,1777542016109321797,232210175
116,1777542016010669292,1777542016246715044,236045752
117,1777542016136116318,1777542016373197530,237081212
118,1777542016276424637,1777542016491164450,214739813
119,1777542016399147612,1777542016638651702,239504090
120,1777542016527128564,1777542016780716520,253587956
121,1777542016665705057,1777542016913093471,247388414
122,1777542016818753761,1777542017026864917,208111156
123,1777542016940392794,1777542017160994333,220601539
124,1777542017059000811,1777542017292766955,233766144
125,1777542017188139981,1777542017428429816,240289835
126,1777542017328307873,1777542017558840717,230532844
127,1777542017457496998,1777542017691216931,233719933
128,1777542017585834804,1777542017834531397,248696593
129,1777542017718040286,1777542017973980553,255940267
130,1777542017867027219,1777542018100445531,233418312
131,1777542018001262691,1777542018244120243,242857552
132,1777542018131893989,1777542018381874983,249980994
133,1777542018272215073,1777542018506640746,234425673
134,1777542018414258062,1777542018621008260,206750198
135,1777542018533894977,1777542018789368874,255473897
136,1777542018655777702,1777542018933220813,277443111
137,1777542018816295276,1777542019052072172,235776896
138,1777542018968890859,1777542019189991274,221100415
139,1777542019082042741,1777542019323155184,241112443
140,1777542019221437875,1777542019438274842,216836967
141,1777542019353243936,1777542019569597480,216353544
142,1777542019471803051,1777542019712230906,240427855
143,1777542019598309246,1777542019841371737,243062491
144,1777542019746685671,1777542019988823750,242138079
145,1777542019873363398,1777542020123320354,249956956
146,1777542020018877044,1777542020243543065,224666021
147,1777542020155971545,1777542020376439404,220467859
148,1777542020270526109,1777542020517700322,247174213
149,1777542020407583585,1777542020639146857,231563272
150,1777542020545068128,1777542020773722634,228654506
151,1777542020667459813,1777542020904615418,237155605
152,1777542020800810230,1777542021045810284,245000054
153,1777542020932303085,1777542021181168415,248865330
154,1777542021080693301,1777542021305517346,224824045
155,1777542021216186417,1777542021438684293,222497876
156,1777542021342512885,1777542021580784433,238271548
157,1777542021465867767,1777542021705332609,239464842
158,1777542021607318104,1777542021825401196,218083092
159,1777542021732038291,1777542021957527788,225489497
160,1777542021852335405,1777542022088968254,236632849
161,1777542021983387879,1777542022212565518,229177639
162,1777542022117138863,1777542022341998012,224859149
163,1777542022239193947,1777542022482111396,242917449
164,1777542022367802643,1777542022604097003,236294360
165,1777542022508293396,1777542022730245346,221951950
166,1777542022630790748,1777542022847657471,216866723
167,1777542022756380335,1777542023001164050,244783715
168,1777542022894768135,1777542023133868885,239100750
