t_sample,cpu_pct,rss_mb
1777542001.7670288,371.4,463.015625
1777542002.8050954,374.7,459.62890625
1777542003.8216982,366.9,451.0390625
1777542004.8670611,372.1,462.76953125
1777542005.8943555,372.8,462.515625
1777542006.9362142,374.3,462.90625
1777542007.9518714,374.1,462.41796875
1777542008.9553154,367.7,462.62109375
1777542010.0019038,378.4,455.015625
1777542011.0087903,376.4,463.640625
1777542012.0138972,380.0,462.78515625
1777542013.051725,386.4,460.16796875
1777542014.0730896,369.1,453.125
1777542015.1136658,386.3,455.1796875
1777542016.1614134,387.5,463.3515625
1777542017.1622212,378.7,463.17578125
1777542018.2031317,371.8,485.59765625
1777542019.2419198,360.0,448.0859375
1777542020.2448235,391.9,463.21484375
1777542021.2836766,373.5,464.3515625
1777542022.3151152,386.8,463.53125
1777542023.316325,373.5,466.35546875
1777542024.337456,381.9,438.55078125
1777542025.363991,379.9,484.85546875
1777542026.3961985,388.5,486.015625
1777542027.4050562,372.7,416.7265625
1777542028.4554706,377.9,485.33984375
1777542029.4621093,386.4,464.26953125
1777542030.4735599,371.7,465.2734375
