t_sample,cpu_pct,rss_mb
1777542001.7668512,130.4,386.47265625
1777542002.8049042,123.3,376.21484375
1777542003.8215349,140.7,338.84765625
1777542004.8668797,129.1,386.89453125
1777542005.8941944,132.4,339.11328125
1777542006.9360428,130.5,364.5859375
1777542007.9517102,112.2,386.25390625
1777542008.9551167,141.5,385.9140625
1777542010.0017312,124.2,339.09375
1777542011.0085747,131.1,339.2109375
1777542012.013734,131.3,339.08984375
1777542013.0515575,122.4,339.046875
1777542014.0728896,142.0,339.76953125
1777542015.1135006,128.8,339.2734375
1777542016.1612475,129.8,339.6484375
1777542017.162041,139.9,380.66796875
1777542018.2029688,125.8,372.57421875
1777542019.2417495,155.0,364.46484375
1777542020.2446382,138.6,364.16015625
1777542021.2835152,138.6,340.61328125
1777542022.3149493,142.5,341.12109375
1777542023.3161554,138.8,340.56640625
1777542024.3372815,134.2,340.546875
1777542025.3638268,131.5,358.97265625
1777542026.3960328,135.6,341.77734375
1777542027.4048896,132.8,341.546875
1777542028.455307,145.7,365.8671875
1777542029.4619436,121.2,341.484375
1777542030.4733953,140.4,341.6484375
