frame_seq,t_sent_ns,t_recv_ns,latency_ns
0,1777541457190067575,1777541457199483686,9416111
1,1777541457297487514,1777541457312205846,14718332
2,1777541457393333783,1777541457405672713,12338930
3,1777541457501206777,1777541457513848486,12641709
4,1777541457601007385,1777541457610072348,9064963
5,1777541457702958577,1777541457720525054,17566477
6,1777541457792476063,1777541457804044444,11568381
7,1777541457898999022,1777541457909509895,10510873
8,1777541457993744355,1777541458005497827,11753472
9,1777541458095183657,1777541458105448369,10264712
10,1777541458195393346,1777541458204512363,9119017
11,1777541458298326202,1777541458310747014,12420812
12,1777541458391154368,1777541458412801468,21647100
13,1777541458498598326,1777541458511934486,13336160
14,1777541458595047341,1777541458618144133,23096792
15,1777541458692168889,1777541458714268856,22099967
16,1777541458794512838,1777541458816754935,22242097
17,1777541458892726470,1777541458911877656,19151186
18,1777541458995531235,1777541459018505520,22974285
19,1777541459105487308,1777541459130324474,24837166
20,1777541459195358444,1777541459209658850,14300406
21,1777541459308877661,1777541459327001388,18123727
22,1777541459410117258,1777541459426256649,16139391
23,1777541459508650066,1777541459523731574,15081508
24,1777541459594599572,1777541459606149392,11549820
25,1777541459692630550,1777541459715639401,23008851
26,1777541459790592694,1777541459810609522,20016828
27,1777541459895356384,1777541459903670302,8313918
28,1777541460000710696,1777541460009258579,8547883
29,1777541460101511324,1777541460116881989,15370665
30,1777541460199286136,1777541460219813752,20527616
31,1777541460293582382,1777541460302554899,8972517
32,1777541460400838737,1777541460414521724,13682987
33,1777541460494261826,1777541460504826408,10564582
34,1777541460592378069,1777541460612750363,20372294
35,1777541460697529532,1777541460705505785,7976253
36,1777541460808642476,1777541460834866277,26223801
37,1777541460892402827,1777541460903712801,11309974
38,1777541460997212448,1777541461006434607,9222159
39,1777541461099363410,1777541461114684425,15321015
40,1777541461196710515,1777541461219718935,23008420
41,1777541461297661581,1777541461313786308,16124727
42,1777541461391346698,1777541461401522396,10175698
43,1777541461495779606,1777541461509338747,13559141
44,1777541461597613902,1777541461609832968,12219066
45,1777541461713772771,1777541461732751579,18978808
46,1777541461797032416,1777541461806419944,9387528
47,1777541461892754835,1777541461912468214,19713379
48,1777541461995214730,1777541462002856107,7641377
49,1777541462092031568,1777541462101500792,9469224
50,1777541462192354052,1777541462211368255,19014203
51,1777541462293051410,1777541462302115840,9064430
52,1777541462392839582,1777541462411604485,18764903
53,1777541462492228208,1777541462509197599,16969391
54,1777541462595773627,1777541462618244580,22470953
55,1777541462698067678,1777541462716564967,18497289
56,1777541462792790121,1777541462802466216,9676095
57,1777541462895045151,1777541462917835446,22790295
58,1777541462993027915,1777541463013919367,20891452
59,1777541463107754643,1777541463123156215,15401572
60,1777541463192653227,1777541463203481221,10827994
61,1777541463291938387,1777541463302619868,10681481
62,1777541463394216327,1777541463402058187,7841860
63,1777541463500683026,1777541463510746192,10063166
64,1777541463599769456,1777541463617232693,17463237
65,1777541463692784811,1777541463711216170,18431359
66,1777541463793450836,1777541463812653564,19202728
67,1777541463897893480,1777541463908022903,10129423
68,1777541463994612254,1777541464003095217,8482963
69,1777541464091442781,1777541464110208906,18766125
70,1777541464193133972,1777541464211336379,18202407
71,1777541464299821378,1777541464321392961,21571583
72,1777541464393176182,1777541464410670034,17493852
73,1777541464501519342,1777541464522671412,21152070
74,1777541464598174639,1777541464605877310,7702671
75,1777541464715582342,1777541464730323687,14741345
76,1777541464793766707,1777541464804478233,10711526
77,1777541464892703097,1777541464899842486,7139389
78,1777541465015338188,1777541465035036772,19698584
79,1777541465094220380,1777541465112788167,18567787
80,1777541465193738646,1777541465203859924,10121278
81,1777541465294721092,1777541465311248508,16527416
82,1777541465394074931,1777541465404195616,10120685
83,1777541465495003782,1777541465508747565,13743783
84,1777541465594128213,1777541465606123222,11995009
85,1777541465696033973,1777541465706466051,10432078
86,1777541465801197643,1777541465813553475,12355832
87,1777541465895139637,1777541465904777081,9637444
88,1777541465995021347,1777541466006886320,11864973
89,1777541466101772315,1777541466116461860,14689545
90,1777541466193448942,1777541466202684507,9235565
91,1777541466301818136,1777541466310458123,8639987
92,1777541466392663408,1777541466403075578,10412170
93,1777541466498506088,1777541466508842515,10336427
94,1777541466593820989,1777541466602054669,8233680
95,1777541466693277999,1777541466702527680,9249681
96,1777541466797304091,1777541466805549602,8245511
97,1777541466906306814,1777541466922278479,15971665
98,1777541467000697099,1777541467012815642,12118543
99,1777541467098353059,1777541467112187736,13834677
100,1777541467193936664,1777541467211446544,17509880
101,1777541467302892838,1777541467320868321,17975483
102,1777541467402107295,1777541467415891133,13783838
103,1777541467500984068,1777541467512141914,11157846
104,1777541467593635306,1777541467601086750,7451444
105,1777541467693668818,1777541467716261561,22592743
106,1777541467796819926,1777541467816825414,20005488
107,1777541467894163106,1777541467908423143,14260037
108,1777541467996453749,1777541468006084868,9631119
109,1777541468107786948,1777541468135113843,27326895
110,1777541468195002921,1777541468203110357,8107436
111,1777541468294307863,1777541468313158583,18850720
112,1777541468393422805,1777541468403455633,10032828
113,1777541468501877555,1777541468516229360,14351805
114,1777541468594846223,1777541468604960336,10114113
115,1777541468700771031,1777541468715690695,14919664
116,1777541468805318495,1777541468819411885,14093390
117,1777541468905913484,1777541468916003764,10090280
118,1777541468999831355,1777541469012595325,12763970
119,1777541469107608440,1777541469134490926,26882486
120,1777541469196978811,1777541469206252632,9273821
121,1777541469295108169,1777541469306840166,11731997
122,1777541469394392334,1777541469421044906,26652572
123,1777541469494416834,1777541469506312932,11896098
124,1777541469595837229,1777541469604925012,9087783
