t_sample,cpu_pct,rss_mb
1777541458.2049458,158.4,758.578125
1777541459.2100115,152.2,761.546875
1777541460.220258,178.2,769.80859375
1777541461.2326372,150.1,760.44921875
1777541462.2628965,135.9,761.91015625
1777541463.267047,141.4,762.4609375
1777541464.2754135,138.8,763.31640625
1777541465.2789106,148.5,764.078125
1777541466.3108513,156.0,764.8828125
1777541467.3134203,150.6,763.79296875
1777541468.313649,165.0,765.2265625
1777541469.3245525,167.2,765.69140625
1777541470.370572,138.6,765.6953125
1777541471.381772,158.2,766.27734375
1777541472.3851929,154.5,773.76171875
1777541473.406756,192.8,767.90234375
1777541474.4111302,154.3,768.09375
1777541475.415326,171.3,766.65234375
1777541476.4178102,147.6,766.65234375
1777541477.426228,141.8,767.44140625
1777541478.4268634,162.9,815.66015625
1777541479.4768353,144.8,767.10546875
1777541480.489251,160.0,777.6953125
1777541481.5210733,169.6,767.9453125
1777541482.5255034,160.3,768.74609375
1777541483.5288944,143.5,768.74609375
1777541484.575053,151.0,767.9140625
1777541485.5800393,153.2,767.4375
1777541486.5859654,149.1,772.59375
