frame_seq,t_sent_ns,t_recv_ns,latency_ns
0,1777541457183659854,1777541457225852766,42192912
1,1777541457287728533,1777541457334928010,47199477
2,1777541457386883755,1777541457429645158,42761403
3,1777541457488887579,1777541457526974266,38086687
4,1777541457582892940,1777541457616131707,33238767
5,1777541457689121577,1777541457733970467,44848890
6,1777541457784873945,1777541457816618535,31744590
7,1777541457888899076,1777541457924180213,35281137
8,1777541457985074403,1777541458029587498,44513095
9,1777541458086642400,1777541458116702491,30060091
10,1777541458184852914,1777541458214730723,29877809
11,1777541458289513067,1777541458334826065,45312998
12,1777541458383594566,1777541458416050954,32456388
13,1777541458491214589,1777541458525547233,34332644
14,1777541458587140332,1777541458632004657,44864325
15,1777541458682579922,1777541458721669893,39089971
16,1777541458786821334,1777541458840844510,54023176
17,1777541458884436390,1777541458927307905,42871515
18,1777541458987676095,1777541459032659763,44983668
19,1777541459088460342,1777541459135678728,47218386
20,1777541459184191272,1777541459226394211,42202939
21,1777541459289721484,1777541459341411580,51690096
22,1777541459387144002,1777541459438490487,51346485
23,1777541459485812030,1777541459546375735,60563705
24,1777541459585325424,1777541459623144986,37819562
25,1777541459685303818,1777541459722457456,37153638
26,1777541459798083446,1777541459838453788,40370342
27,1777541459883476719,1777541459918696569,35219850
28,1777541459983249977,1777541460017656143,34406166
29,1777541460086837575,1777541460142462535,55624960
30,1777541460189117605,1777541460237055468,47937863
31,1777541460283668374,1777541460315483801,31815427
32,1777541460384676155,1777541460423354358,38678203
33,1777541460484904308,1777541460520643026,35738718
34,1777541460582444596,1777541460617298244,34853648
35,1777541460683838186,1777541460715731922,31893736
36,1777541460788425288,1777541460836191361,47766073
37,1777541460885693350,1777541460914988263,29294913
38,1777541460986310395,1777541461029404207,43093812
39,1777541461088092174,1777541461128929325,40837151
40,1777541461186795230,1777541461232167076,45371846
41,1777541461287569351,1777541461339599589,52030238
42,1777541461383357344,1777541461413322007,29964663
43,1777541461487540867,1777541461528181598,40640731
44,1777541461587135042,1777541461639451133,52316091
45,1777541461685981239,1777541461733936033,47954794
46,1777541461781099864,1777541461812736870,31637006
47,1777541461884209644,1777541461916847069,32637425
48,1777541461996104830,1777541462037028671,40923841
49,1777541462084058656,1777541462116384943,32326287
50,1777541462182307933,1777541462212412879,30104946
51,1777541462283216563,1777541462314872078,31655515
52,1777541462382647055,1777541462425354945,42707890
53,1777541462488863585,1777541462524608403,35744818
54,1777541462584996555,1777541462622624216,37627661
55,1777541462683606935,1777541462715458762,31851827
56,1777541462782822269,1777541462815366104,32543835
57,1777541462885952161,1777541462920480797,34528636
58,1777541462984507262,1777541463016502306,31995044
59,1777541463089056098,1777541463133471297,44415199
60,1777541463183615812,1777541463216171779,32555967
61,1777541463297617185,1777541463335857091,38239906
62,1777541463383592061,1777541463411652628,28060567
63,1777541463487805803,1777541463521448110,33642307
64,1777541463585387522,1777541463640336684,54949162
65,1777541463682869991,1777541463722995374,40125383
66,1777541463784471387,1777541463824493067,40021680
67,1777541463885661623,1777541463918765810,33104187
68,1777541463983600146,1777541464016170326,32570180
69,1777541464082863381,1777541464113660193,30796812
70,1777541464183356545,1777541464224481070,41124525
71,1777541464287921554,1777541464325116025,37194471
72,1777541464383637395,1777541464411775873,28138478
73,1777541464489594137,1777541464538108462,48514325
74,1777541464584939187,1777541464615515385,30576198
75,1777541464689630079,1777541464740521135,50891056
76,1777541464783284007,1777541464817324345,34040338
77,1777541464882281291,1777541464920125796,37844505
78,1777541464988934247,1777541465037751156,48816909
79,1777541465083337737,1777541465124408917,41071180
80,1777541465184442199,1777541465227908733,43466534
81,1777541465284543423,1777541465325335359,40791936
82,1777541465384183486,1777541465421319268,37135782
83,1777541465485701372,1777541465524961912,39260540
84,1777541465594625584,1777541465639495476,44869892
85,1777541465685235714,1777541465723279191,38043477
86,1777541465788091494,1777541465829135380,41043886
87,1777541465885069747,1777541465922420543,37350796
88,1777541465985918118,1777541466023156696,37238578
89,1777541466084979070,1777541466130802158,45823088
90,1777541466183598868,1777541466213418370,29819502
91,1777541466288407725,1777541466321379811,32972086
92,1777541466384520243,1777541466416385656,31865413
93,1777541466488223432,1777541466523756970,35533538
94,1777541466584197446,1777541466612932888,28735442
95,1777541466682770110,1777541466714411255,31641145
96,1777541466784925922,1777541466818048596,33122674
97,1777541466890424195,1777541466934245084,43820889
98,1777541466986141317,1777541467024065744,37924427
99,1777541467089376804,1777541467134336159,44959355
100,1777541467183584035,1777541467212571793,28987758
101,1777541467288774064,1777541467326852248,38078184
102,1777541467386092757,1777541467436906704,50813947
103,1777541467487506508,1777541467523477260,35970752
104,1777541467583190034,1777541467614291851,31101817
105,1777541467683694724,1777541467730516047,46821323
106,1777541467784770368,1777541467828172153,43401785
107,1777541467884570830,1777541467923061484,38490654
108,1777541467985890534,1777541468020995594,35105060
109,1777541468089980875,1777541468152727776,62746901
110,1777541468184472039,1777541468214589361,30117322
111,1777541468283963118,1777541468315727479,31764361
112,1777541468384690643,1777541468415659689,30969046
113,1777541468488687651,1777541468531359361,42671710
114,1777541468584699975,1777541468628955183,44255208
115,1777541468690906934,1777541468732834560,41927626
116,1777541468788336868,1777541468831617639,43280771
117,1777541468889336269,1777541468927133894,37797625
118,1777541468985217049,1777541469025334224,40117175
119,1777541469090055724,1777541469139416942,49361218
120,1777541469184596108,1777541469218150696,33554588
121,1777541469285333646,1777541469323905822,38572176
122,1777541469388335314,1777541469427941869,39606555
123,1777541469486384940,1777541469523871749,37486809
124,1777541469584776116,1777541469620896418,36120302
125,1777541469683460213,1777541469730045270,46585057
126,1777541469784697483,1777541469820411551,35714068
127,1777541469883136084,1777541469915083350,31947266
128,1777541469988700987,1777541470028894590,40193603
129,1777541470083175261,1777541470122498582,39323321
130,1777541470197692865,1777541470236910409,39217544
131,1777541470285274646,1777541470319796098,34521452
132,1777541470384180155,1777541470423603871,39423716
133,1777541470490073086,1777541470534048033,43974947
134,1777541470583584258,1777541470621548073,37963815
135,1777541470689594689,1777541470733941445,44346756
136,1777541470783386598,1777541470822330586,38943988
137,1777541470889552419,1777541470935404206,45851787
138,1777541470983498623,1777541471013374329,29875706
139,1777541471091156599,1777541471130544055,39387456
140,1777541471187057750,1777541471223765481,36707731
141,1777541471290666168,1777541471330830897,40164729
142,1777541471389989853,1777541471442634608,52644755
143,1777541471489530866,1777541471536103746,46572880
144,1777541471583380935,1777541471611348966,27968031
145,1777541471689887943,1777541471741291056,51403113
146,1777541471787128902,1777541471829027062,41898160
147,1777541471887920270,1777541471929632223,41711953
148,1777541471982966838,1777541472011370653,28403815
149,1777541472088749507,1777541472122585090,33835583
150,1777541472184430757,1777541472227720147,43289390
151,1777541472290383459,1777541472334411992,44028533
