frame_seq,t_sent_ns,t_recv_ns,latency_ns
0,1777540895018408436,1777540895046879846,28471410
1,1777540895118134806,1777540895150871299,32736493
2,1777540895215826069,1777540895236033136,20207067
3,1777540895316513033,1777540895338601816,22088783
4,1777540895416071857,1777540895436060243,19988386
5,1777540895516026721,1777540895536360519,20333798
6,1777540895617431974,1777540895647970766,30538792
7,1777540895716202000,1777540895732799025,16597025
8,1777540895816143775,1777540895844881755,28737980
9,1777540895919986219,1777540895947774022,27787803
10,1777540896017842823,1777540896047263952,29421129
11,1777540896119259548,1777540896151845135,32585587
12,1777540896216143307,1777540896247937963,31794656
13,1777540896316470797,1777540896330557614,14086817
14,1777540896416150276,1777540896441520227,25369951
15,1777540896518064137,1777540896646010164,127946027
16,1777540896617860638,1777540896658472274,40611636
17,1777540896716194699,1777540896736536304,20341605
18,1777540896816240816,1777540896835511091,19270275
19,1777540896915832018,1777540896936147263,20315245
20,1777540897020003164,1777540897045697331,25694167
21,1777540897118556729,1777540897152543363,33986634
22,1777540897217840301,1777540897248351842,30511541
23,1777540897316669485,1777540897345462698,28793213
24,1777540897416609009,1777540897437664489,21055480
25,1777540897517273606,1777540897542560447,25286841
26,1777540897617906774,1777540897648015307,30108533
27,1777540897717937267,1777540897755425702,37488435
28,1777540897817615773,1777540897842033234,24417461
29,1777540897916737403,1777540897933100084,16362681
30,1777540898018379066,1777540898045312546,26933480
31,1777540898117875352,1777540898133033791,15158439
32,1777540898216928541,1777540898233955995,17027454
33,1777540898317531489,1777540898343861410,26329921
34,1777540898415936447,1777540898433839844,17903397
35,1777540898517243206,1777540898546455025,29211819
36,1777540898617927727,1777540898646916202,28988475
37,1777540898716636817,1777540898738410139,21773322
38,1777540898816338882,1777540898844812045,28473163
39,1777540898916541615,1777540898939959481,23417866
40,1777540899017624812,1777540899039706732,22081920
41,1777540899117418503,1777540899148193947,30775444
42,1777540899216955255,1777540899243202500,26247245
43,1777540899316224955,1777540899327887469,11662514
44,1777540899417038389,1777540899437438519,20400130
45,1777540899518275664,1777540899544871869,26596205
46,1777540899618094941,1777540899646253446,28158505
47,1777540899717756095,1777540899738800077,21043982
48,1777540899816107862,1777540899852135871,36028009
49,1777540899916591878,1777540899940686727,24094849
50,1777540900017482741,1777540900048749948,31267207
51,1777540900117502124,1777540900147947692,30445568
52,1777540900217689601,1777540900233262195,15572594
53,1777540900317718887,1777540900342183249,24464362
54,1777540900415963312,1777540900442464320,26501008
55,1777540900517756159,1777540900548978780,31222621
56,1777540900618362271,1777540900649118285,30756014
57,1777540900717249397,1777540900746435959,29186562
58,1777540900816236200,1777540900836358537,20122337
59,1777540900916289777,1777540900941441600,25151823
60,1777540901018167647,1777540901043052539,24884892
61,1777540901118030119,1777540901140764201,22734082
62,1777540901216399939,1777540901237258845,20858906
63,1777540901316639233,1777540901339636293,22997060
64,1777540901416219308,1777540901448446165,32226857
65,1777540901518432386,1777540901562714276,44281890
66,1777540901617551562,1777540901643376996,25825434
67,1777540901717075514,1777540901738065846,20990332
68,1777540901816192726,1777540901840395953,24203227
69,1777540901916797538,1777540901932867156,16069618
70,1777540902018282380,1777540902042862624,24580244
71,1777540902120934118,1777540902150760619,29826501
72,1777540902218206108,1777540902246147355,27941247
73,1777540902318731331,1777540902337567944,18836613
74,1777540902416688419,1777540902430207542,13519123
75,1777540902515952883,1777540902543920709,27967826
76,1777540902617869293,1777540902645978711,28109418
77,1777540902716539403,1777540902736731315,20191912
78,1777540902816006137,1777540902838291248,22285111
79,1777540902916432460,1777540902935117697,18685237
80,1777540903017433491,1777540903039244886,21811395
81,1777540903116901245,1777540903144528302,27627057
82,1777540903216912314,1777540903235029657,18117343
83,1777540903316227312,1777540903342959652,26732340
84,1777540903416232836,1777540903434548615,18315779
85,1777540903518229195,1777540903540537141,22307946
86,1777540903619836025,1777540903653588293,33752268
87,1777540903716271242,1777540903747291239,31019997
88,1777540903817100136,1777540903841314824,24214688
89,1777540903917452594,1777540903935762277,18309683
90,1777540904017869258,1777540904042048324,24179066
91,1777540904118530674,1777540904151336797,32806123
92,1777540904216422782,1777540904240115346,23692564
93,1777540904316221594,1777540904335797435,19575841
94,1777540904416708015,1777540904455899956,39191941
95,1777540904518045867,1777540904547411300,29365433
96,1777540904618932161,1777540904645069414,26137253
97,1777540904716680718,1777540904751709423,35028705
98,1777540904816555297,1777540904836490633,19935336
99,1777540904916823245,1777540904931010974,14187729
100,1777540905018787030,1777540905069916703,51129673
101,1777540905119166048,1777540905137291940,18125892
102,1777540905216334478,1777540905233007511,16673033
103,1777540905316664295,1777540905336227754,19563459
104,1777540905416506344,1777540905436785055,20278711
105,1777540905518567977,1777540905560932047,42364070
106,1777540905616240876,1777540905627340462,11099586
107,1777540905716816274,1777540905739066054,22249780
108,1777540905816661467,1777540905833596628,16935161
109,1777540905916368488,1777540905940249229,23880741
110,1777540906018369265,1777540906042797368,24428103
111,1777540906118200802,1777540906144003401,25802599
112,1777540906217212792,1777540906238032407,20819615
113,1777540906316059657,1777540906340795571,24735914
114,1777540906416803569,1777540906447178244,30374675
115,1777540906517067068,1777540906533221064,16153996
116,1777540906617594828,1777540906643137166,25542338
117,1777540906718139807,1777540906744290159,26150352
118,1777540906816398600,1777540906830355263,13956663
119,1777540906916222866,1777540906929506605,13283739
120,1777540907017869589,1777540907043643851,25774262
121,1777540907119079395,1777540907159083014,40003619
122,1777540907217453759,1777540907241377974,23924215
123,1777540907317622435,1777540907346621779,28999344
124,1777540907416644161,1777540907436432462,19788301
125,1777540907517795530,1777540907548126594,30331064
126,1777540907618465689,1777540907640902612,22436923
127,1777540907717360570,1777540907754127550,36766980
128,1777540907816426064,1777540907846565320,30139256
129,1777540907917515325,1777540907935671912,18156587
130,1777540908017912166,1777540908152912611,135000445
131,1777540908118710432,1777540908165454021,46743589
132,1777540908219499514,1777540908246557267,27057753
133,1777540908316018362,1777540908335053742,19035380
134,1777540908416396571,1777540908436397146,20000575
135,1777540908516400950,1777540908552279662,35878712
136,1777540908618689621,1777540908640690550,22000929
137,1777540908717315767,1777540908744483884,27168117
138,1777540908816188946,1777540908836271738,20082792
139,1777540908916465871,1777540908932263596,15797725
140,1777540909016186422,1777540909028420090,12233668
141,1777540909116562399,1777540909146602744,30040345
142,1777540909216009076,1777540909235009994,19000918
143,1777540909318685472,1777540909353223891,34538419
144,1777540909417790395,1777540909429074080,11283685
145,1777540909516081416,1777540909530337530,14256114
146,1777540909616475069,1777540909639856405,23381336
147,1777540909717521394,1777540909739040460,21519066
148,1777540909816093621,1777540909836229336,20135715
149,1777540909917122464,1777540909949866565,32744101
150,1777540910016241543,1777540910036704737,20463194
151,1777540910120926051,1777540910157041044,36114993
152,1777540910216251231,1777540910236495975,20244744
153,1777540910316375406,1777540910335737630,19362224
154,1777540910417178121,1777540910439839794,22661673
155,1777540910518177738,1777540910546956251,28778513
156,1777540910619089675,1777540910655905642,36815967
157,1777540910716765375,1777540910756002112,39236737
158,1777540910817980960,1777540910848168280,30187320
159,1777540910916538801,1777540910940239508,23700707
160,1777540911016360135,1777540911030855373,14495238
161,1777540911118602403,1777540911144927009,26324606
162,1777540911217665443,1777540911248671737,31006294
163,1777540911318307150,1777540911339747056,21439906
164,1777540911416249556,1777540911435675350,19425794
165,1777540911517560294,1777540911532814989,15254695
166,1777540911617243569,1777540911640918120,23674551
167,1777540911717304073,1777540911735071543,17767470
168,1777540911816772952,1777540911838863185,22090233
169,1777540911917448965,1777540911933037377,15588412
170,1777540912017683168,1777540912042885641,25202473
