t_sample,cpu_pct,rss_mb
1777540895.998612,45.0,289.74609375
1777540897.0463693,57.3,295.68359375
1777540898.096635,55.2,295.68359375
1777540899.0992796,53.9,295.68359375
1777540900.1067657,53.6,295.68359375
1777540901.141624,62.8,295.68359375
1777540902.1515265,58.4,295.68359375
1777540903.1629195,48.4,295.68359375
1777540904.2025578,57.7,295.98828125
1777540905.2346025,53.3,295.98828125
1777540906.238906,50.8,297.25
1777540907.2420802,53.8,298.546875
1777540908.247448,66.6,298.88671875
1777540909.2957983,42.0,300.83203125
1777540910.3365092,49.0,301.87109375
1777540911.340886,56.8,303.90234375
1777540912.34332,55.9,306.9921875
1777540913.3463833,59.8,307.05078125
1777540914.39583,49.5,307.09375
1777540915.3990617,61.8,307.62109375
1777540916.4307656,65.9,307.62109375
1777540917.447448,62.0,307.62109375
1777540918.4479158,53.0,308.15625
1777540919.4915063,58.5,308.15625
1777540920.4953275,47.8,308.15625
1777540921.5036633,47.6,308.15625
1777540922.5047665,72.9,308.15625
1777540923.5492785,73.7,308.15625
1777540924.598485,51.5,308.15625
1777540925.6400776,64.3,308.15625
1777540926.6416273,62.9,308.15625
1777540927.649352,69.5,308.15625
1777540928.6881866,64.5,308.15625
1777540929.7049046,55.1,308.15625
1777540930.743628,51.0,308.15625
1777540931.7911155,64.9,308.15625
1777540932.7934031,64.8,308.15625
1777540933.8057423,58.3,308.15625
1777540934.8395758,55.1,308.15625
1777540935.8446438,55.7,308.15625
1777540936.8458686,53.9,308.15625
1777540937.8462975,49.0,308.15625
1777540938.8470228,51.0,308.15625
1777540939.853826,56.6,308.15625
1777540940.854854,60.9,308.15625
1777540941.890232,53.1,308.15625
1777540942.9003856,44.5,308.15625
1777540943.9066606,52.7,308.15625
1777540944.9078236,42.9,308.15625
1777540945.9379053,35.9,308.15625
1777540946.9429452,70.6,309.35546875
1777540947.990841,57.3,309.48046875
1777540949.0016384,53.4,309.51171875
1777540950.0517666,57.1,309.51171875
1777540951.0542786,53.9,309.51171875
1777540952.05664,52.9,309.51171875
1777540953.062662,49.7,309.51171875
1777540954.0924058,46.6,309.51171875
1777540955.103809,52.4,309.51171875
1777540956.1387625,56.0,309.51171875
1777540957.1525505,55.2,309.51171875
1777540958.1935163,56.7,309.51953125
1777540959.2175224,63.5,309.51953125
1777540960.2401288,72.4,309.52734375
1777540961.2426453,65.8,309.52734375
1777540962.2431483,62.0,309.53125
1777540963.2478502,58.7,309.53515625
1777540964.2524977,71.7,309.54296875
1777540965.3029737,71.4,309.5546875
1777540966.3029368,74.0,309.5625
1777540967.3481839,68.9,309.578125
1777540968.3492908,81.9,309.58984375
1777540969.3496814,45.0,309.6015625
1777540970.3501115,55.0,309.61328125
1777540971.3967972,53.5,309.6796875
1777540972.4064054,77.3,309.75390625
1777540973.4507775,87.1,309.90234375
1777540974.496656,74.6,309.90625
1777540975.5053449,74.4,309.921875
1777540976.5359309,73.7,309.9375
1777540977.5447202,64.4,309.953125
1777540978.5524282,58.5,309.95703125
1777540979.5548177,71.8,309.98046875
1777540980.5985816,68.0,310.0
1777540981.609201,63.3,310.01953125
1777540982.650308,64.4,310.03515625
1777540983.7008448,66.6,310.0703125
1777540984.7051642,63.7,310.1015625
1777540985.7105668,73.6,310.14453125
1777540986.727589,64.9,310.17578125
1777540987.7515025,62.5,310.21875
1777540988.752877,47.9,310.25390625
1777540989.7993364,53.5,310.30078125
1777540990.8508747,68.5,310.328125
1777540991.8520172,55.9,310.37109375
1777540992.895855,64.2,310.40625
1777540993.955456,63.2,310.46484375
1777540995.0047367,58.1,310.48828125
1777540996.0485907,67.1,310.5234375
1777540997.055752,60.6,310.55859375
1777540998.0630689,69.5,310.59375
1777540999.109195,61.2,310.62109375
1777541000.1145663,57.7,310.6484375
1777541001.164132,58.1,310.68359375
1777541002.197599,44.5,310.71875
1777541003.198176,61.0,310.75390625
1777541004.2117212,65.1,310.78125
1777541005.24884,58.8,310.80078125
1777541006.2513688,52.9,310.8046875
1777541007.2582426,39.7,310.8046875
1777541008.2619932,74.7,310.98828125
1777541009.3086183,66.9,311.3203125
1777541010.325528,76.7,311.36328125
1777541011.3527696,72.0,311.36328125
1777541012.3963473,64.2,311.36328125
1777541013.4312954,81.2,311.37109375
1777541014.4434807,73.1,311.37109375
