frame_seq,t_sent_ns,t_recv_ns,latency_ns
0,1777540895027863807,1777540895060481302,32617495
1,1777540895128491564,1777540895158781791,30290227
2,1777540895221066709,1777540895242438567,21371858
3,1777540895322271784,1777540895345189706,22917922
4,1777540895421642504,1777540895442750013,21107509
5,1777540895521646386,1777540895543229042,21582656
6,1777540895623274094,1777540895655903737,32629643
7,1777540895721804896,1777540895745295818,23490922
8,1777540895821497135,1777540895838324292,16827157
9,1777540895923279186,1777540895941160937,17881751
10,1777540896023214423,1777540896059033513,35819090
11,1777540896127128062,1777540896158772952,31644890
12,1777540896221669782,1777540896265359574,43689792
13,1777540896321808141,1777540896337365085,15556944
14,1777540896423381518,1777540896451745055,28363537
15,1777540896523889486,1777540896559058417,35168931
16,1777540896623386178,1777540896652368775,28982597
17,1777540896723345641,1777540896744712362,21366721
18,1777540896821432565,1777540896842771047,21338482
19,1777540896921494830,1777540896943392799,21897969
20,1777540897023835634,1777540897052392494,28556860
21,1777540897123918970,1777540897159460568,35541598
22,1777540897223801656,1777540897241759491,17957835
23,1777540897322143877,1777540897352227967,30084090
24,1777540897423382922,1777540897445905570,22522648
25,1777540897523165019,1777540897549704762,26539743
26,1777540897622642707,1777540897638858736,16216029
27,1777540897723007977,1777540897749016607,26008630
28,1777540897822122250,1777540897835449357,13327107
29,1777540897923172702,1777540897943673674,20500972
30,1777540898026091693,1777540898038755005,12663312
31,1777540898127308904,1777540898144271797,16962893
32,1777540898222611703,1777540898245439964,22828261
33,1777540898326408792,1777540898350666667,24257875
34,1777540898421394402,1777540898462175564,40781162
35,1777540898527826371,1777540898556460779,28634408
36,1777540898623608784,1777540898640317429,16708645
37,1777540898722741945,1777540898745128162,22386217
38,1777540898823143504,1777540898837895211,14751707
39,1777540898922111142,1777540898948251086,26139944
40,1777540899022734240,1777540899047913435,25179195
41,1777540899124166361,1777540899164411924,40245563
42,1777540899222044135,1777540899236589068,14544933
43,1777540899321612048,1777540899334752131,13140083
44,1777540899421779327,1777540899444943574,23164247
45,1777540899527223345,1777540899567541520,40318175
46,1777540899623564829,1777540899653243059,29678230
47,1777540899722702148,1777540899745222021,22519873
48,1777540899825583879,1777540899873881460,48297581
49,1777540899921312480,1777540899934170859,12858379
50,1777540900023703866,1777540900055503700,31799834
51,1777540900123124484,1777540900154411550,31287066
52,1777540900226212624,1777540900242750311,16537687
53,1777540900326314087,1777540900376342104,50028017
54,1777540900423170666,1777540900435867607,12696941
55,1777540900523889749,1777540900558878107,34988358
56,1777540900623760203,1777540900655756891,31996688
57,1777540900724804317,1777540900753259629,28455312
58,1777540900822113556,1777540900842964373,20850817
59,1777540900925975082,1777540900951776856,25801774
60,1777540901025941604,1777540901049897403,23955799
