t_sample,cpu_pct,rss_mb
1777540895.998574,48.8,295.203125
1777540897.0463302,59.2,295.20703125
1777540898.0965588,53.3,295.20703125
1777540899.0991821,55.9,295.20703125
1777540900.1066597,60.5,295.20703125
1777540901.1415787,66.7,295.20703125
1777540902.1514878,56.4,295.20703125
1777540903.16288,54.4,295.20703125
1777540904.202452,59.6,295.51171875
1777540905.2345004,56.2,295.51171875
1777540906.2388668,53.8,296.7734375
1777540907.2420428,56.8,298.0703125
1777540908.2474036,68.6,298.41015625
1777540909.2957025,45.8,300.35546875
1777540910.336458,50.0,301.39453125
1777540911.3408122,62.7,303.4296875
1777540912.3432803,57.9,306.51953125
1777540913.3462987,62.8,306.578125
1777540914.3957832,56.2,306.62109375
1777540915.3990064,65.8,307.1484375
1777540916.4307113,64.0,307.1484375
1777540917.4473748,61.0,307.1484375
1777540918.4478798,53.0,307.68359375
1777540919.4914308,56.5,307.68359375
1777540920.495288,49.8,307.68359375
1777540921.5036163,53.6,307.68359375
1777540922.5047174,66.9,307.68359375
1777540923.5492418,71.8,307.68359375
1777540924.5984447,52.4,307.68359375
1777540925.6400235,62.4,307.68359375
1777540926.6415884,62.9,307.68359375
1777540927.649288,67.5,307.68359375
1777540928.6881142,61.6,307.68359375
1777540929.704863,55.1,307.68359375
1777540930.7435653,51.0,307.68359375
1777540931.790746,60.2,307.68359375
1777540932.7933397,63.8,307.68359375
1777540933.805643,58.3,307.68359375
1777540934.8395321,52.2,307.68359375
1777540935.8445687,59.7,307.68359375
1777540936.8458126,53.9,307.68359375
1777540937.8462615,48.0,307.68359375
1777540938.8469815,61.0,307.68359375
1777540939.8537889,63.6,307.68359375
1777540940.854813,59.9,307.68359375
1777540941.890191,53.1,307.68359375
1777540942.9003055,47.5,307.68359375
1777540943.9065914,56.6,307.68359375
1777540944.907764,41.0,307.68359375
1777540945.9378667,38.8,307.68359375
1777540946.9429061,71.6,296.71875
1777540947.9907646,65.9,296.875
1777540949.001536,63.3,296.90625
1777540950.0517151,65.7,296.90625
1777540951.054239,66.8,296.90625
1777540952.0565994,64.8,296.90625
1777540953.0626252,58.6,296.90625
1777540954.0923526,59.2,296.90625
1777540955.1037571,60.3,296.90625
1777540956.138717,64.7,296.90625
1777540957.152516,62.1,296.90625
1777540958.193366,63.4,296.90625
1777540959.2174292,70.3,296.90625
1777540960.2400913,81.1,296.9140625
1777540961.2425358,66.8,296.9140625
1777540962.2431128,72.9,296.91796875
1777540963.24781,70.7,296.91796875
1777540964.2524605,78.6,296.92578125
1777540965.302862,82.8,296.92578125
1777540966.302882,79.0,296.93359375
1777540967.3481393,76.5,296.93359375
1777540968.3492527,90.9,296.9453125
1777540969.349642,52.0,296.94921875
1777540970.3500752,64.0,296.9609375
1777540971.3967402,58.3,297.01171875
1777540972.406364,85.2,297.51953125
1777540973.4507098,97.7,297.65625
1777540974.496555,81.3,297.66796875
1777540975.505224,87.2,297.67578125
1777540976.535889,84.4,309.4296875
1777540977.5446548,74.4,297.71484375
1777540978.5523927,66.5,297.72265625
1777540979.5547698,74.8,297.74609375
1777540980.598544,76.6,297.765625
1777540981.6091595,68.3,297.78515625
1777540982.6502714,74.9,297.80078125
1777540983.70075,67.6,297.83203125
1777540984.7050858,72.7,297.86328125
1777540985.7103968,82.6,297.890625
1777540986.7275395,63.9,297.92578125
1777540987.7514346,68.4,297.96484375
1777540988.752839,58.9,298.0
1777540989.7992387,63.1,298.0390625
1777540990.8508291,77.0,298.06640625
1777540991.8519616,59.9,298.10546875
1777540992.8956747,67.1,298.140625
1777540993.9552891,72.7,308.70703125
1777540995.0046844,68.6,298.21875
1777540996.0485435,74.7,298.2578125
1777540997.055709,70.5,298.2890625
1777540998.0630283,76.4,298.32421875
1777540999.109107,71.7,298.3515625
1777541000.1144707,64.7,298.375
1777541001.1640902,71.4,298.41015625
1777541002.1975257,54.2,298.44921875
1777541003.198092,75.0,298.48046875
1777541004.2115908,79.9,298.50390625
1777541005.2487817,75.2,298.52734375
1777541006.2513275,58.8,298.53125
1777541007.2581587,48.7,298.53125
1777541008.261953,84.7,298.7421875
1777541009.3085344,76.4,299.07421875
1777541010.3253918,75.7,299.07421875
1777541011.3527267,81.8,299.07421875
1777541012.3962777,73.8,299.07421875
1777541013.4311414,87.9,303.96875
1777541014.443431,87.9,299.07421875
