frame_seq,t_sent_ns,t_recv_ns,latency_ns
0,1777540622900262258,1777540622988870647,88608389
1,1777540622999530448,1777540623087411268,87880820
2,1777540623099624589,1777540623180665573,81040984
3,1777540623200585682,1777540623245987330,45401648
4,1777540623299952001,1777540623379438990,79486989
5,1777540623400024457,1777540623453918907,53894450
6,1777540623499546794,1777540623625409965,125863171
7,1777540623604283157,1777540623735599069,131315912
8,1777540623700987411,1777540623760447504,59460093
9,1777540623800461014,1777540623864382770,63921756
10,1777540623899625854,1777540623960218477,60592623
11,1777540623999844055,1777540624054831012,54986957
12,1777540624099765222,1777540624196545073,96779851
13,1777540624199563445,1777540624294705205,95141760
14,1777540624302211483,1777540624399323343,97111860
15,1777540624400189639,1777540624475582574,75392935
16,1777540624503371898,1777540624599988039,96616141
17,1777540624601527660,1777540624650551674,49024014
18,1777540624699275403,1777540624791879250,92603847
19,1777540624798573182,1777540624857295335,58722153
20,1777540624898761280,1777540624967226758,68465478
21,1777540624999917248,1777540625097436121,97518873
22,1777540625098333105,1777540625159542052,61208947
23,1777540625199850866,1777540625285508477,85657611
24,1777540625309047498,1777540625355567800,46520302
25,1777540625398678787,1777540625485690077,87011290
26,1777540625505357949,1777540625582542692,77184743
27,1777540625600528725,1777540625763813291,163284566
28,1777540625707547568,1777540625818576919,111029351
29,1777540625800130521,1777540625899713361,99582840
30,1777540625902649075,1777540625982874390,80225315
31,1777540626005823221,1777540626062266360,56443139
32,1777540626116005034,1777540626176014207,60009173
33,1777540626201827263,1777540626298401676,96574413
34,1777540626303151987,1777540626407091982,103939995
35,1777540626403080485,1777540626492463861,89383376
36,1777540626499728135,1777540626570249835,70521700
37,1777540626598891851,1777540626685550367,86658516
38,1777540626699206607,1777540626768856053,69649446
39,1777540626801914230,1777540626866112572,64198342
40,1777540626900084995,1777540626958686007,58601012
41,1777540626999155192,1777540627055335485,56180293
42,1777540627099052187,1777540627169171970,70119783
43,1777540627199206422,1777540627241400591,42194169
44,1777540627300409412,1777540627362493839,62084427
45,1777540627401799756,1777540627534965619,133165863
46,1777540627501214499,1777540627663813433,162598934
47,1777540627602538834,1777540627733389802,130850968
48,1777540627701546930,1777540627769246582,67699652
49,1777540627802067703,1777540627892572549,90504846
50,1777540627899797465,1777540627949612525,49815060
51,1777540628001120231,1777540628074936228,73815997
52,1777540628099189641,1777540628174059548,74869907
53,1777540628200646417,1777540628292101162,91454745
54,1777540628300121259,1777540628365840715,65719456
55,1777540628399873024,1777540628488812660,88939636
56,1777540628499183271,1777540628567147476,67964205
57,1777540628601333707,1777540628654771687,53437980
58,1777540628699675440,1777540628760167208,60491768
59,1777540628800303642,1777540628858509153,58205511
60,1777540628899185747,1777540628990912323,91726576
61,1777540629003570452,1777540629083004359,79433907
62,1777540629101900295,1777540629168006861,66106566
63,1777540629202374750,1777540629256852837,54478087
64,1777540629309428488,1777540629380345060,70916572
65,1777540629401959002,1777540629486331689,84372687
66,1777540629499774644,1777540629588674634,88899990
67,1777540629601589095,1777540629658948350,57359255
68,1777540629701645601,1777540629861965038,160319437
69,1777540629801349279,1777540629926073632,124724353
70,1777540629901660934,1777540629964111820,62450886
71,1777540630000770720,1777540630057291304,56520584
72,1777540630099191083,1777540630157092540,57901457
73,1777540630199895827,1777540630289982728,90086901
74,1777540630300081585,1777540630381575416,81493831
75,1777540630400795335,1777540630556041375,155246040
76,1777540630501513451,1777540630612308718,110795267
77,1777540630604837897,1777540630693068078,88230181
78,1777540630699668688,1777540630849891707,150223019
79,1777540630800052022,1777540630903319190,103267168
80,1777540630901254625,1777540630970276058,69021433
81,1777540631001672454,1777540631148037727,146365273
82,1777540631102529489,1777540631187210670,84681181
83,1777540631201513402,1777540631271981261,70467859
84,1777540631300098118,1777540631351737941,51639823
85,1777540631400017487,1777540631486521419,86503932
86,1777540631499595042,1777540631559919036,60323994
87,1777540631600294990,1777540631668845977,68550987
88,1777540631698670442,1777540631777176974,78506532
89,1777540631799507459,1777540631877583019,78075560
90,1777540631899534302,1777540631959349446,59815144
91,1777540631999878182,1777540632071042391,71164209
92,1777540632099340494,1777540632176978829,77638335
93,1777540632199791301,1777540632263011233,63219932
94,1777540632300056217,1777540632348793400,48737183
95,1777540632400125695,1777540632448730532,48604837
96,1777540632503423744,1777540632598456314,95032570
97,1777540632599963648,1777540632690514627,90550979
98,1777540632699645865,1777540632785675933,86030068
99,1777540632800408516,1777540632878596324,78187808
100,1777540632897472720,1777540633005505009,108032289
101,1777540632999959778,1777540633042614804,42655026
102,1777540633099571447,1777540633188469465,88898018
103,1777540633199849446,1777540633273436213,73586767
104,1777540633300092698,1777540633361007645,60914947
105,1777540633399880865,1777540633449698152,49817287
106,1777540633499733030,1777540633562607227,62874197
107,1777540633601470641,1777540633681113745,79643104
108,1777540633699101264,1777540633760398569,61297305
109,1777540633799824066,1777540633849848508,50024442
110,1777540633899538846,1777540633960731693,61192847
111,1777540634002178394,1777540634071704788,69526394
112,1777540634102122471,1777540634177142573,75020102
113,1777540634202200317,1777540634261895492,59695175
114,1777540634301574076,1777540634396469482,94895406
115,1777540634400541422,1777540634452062169,51520747
116,1777540634500366015,1777540634593489161,93123146
117,1777540634598473251,1777540634650000964,51527713
118,1777540634699083219,1777540634764252588,65169369
119,1777540634800438496,1777540634891915560,91477064
120,1777540634899642142,1777540634990163163,90521021
121,1777540634999940339,1777540635053086406,53146067
122,1777540635099625393,1777540635154976047,55350654
123,1777540635202058921,1777540635258513603,56454682
124,1777540635316489071,1777540635428788172,112299101
125,1777540635412691879,1777540635529699083,117007204
126,1777540635500618916,1777540635577855845,77236929
127,1777540635605322831,1777540635715245791,109922960
128,1777540635699335014,1777540635767159616,67824602
129,1777540635800333856,1777540635861938781,61604925
130,1777540635899358569,1777540635980364234,81005665
131,1777540636000591522,1777540636073588689,72997167
132,1777540636098674830,1777540636142604418,43929588
133,1777540636206030477,1777540636288629992,82599515
134,1777540636298944321,1777540636461616661,162672340
135,1777540636411431646,1777540636516670371,105238725
136,1777540636500008224,1777540636587760165,87751941
137,1777540636601178166,1777540636665177864,63999698
138,1777540636700482644,1777540636770345380,69862736
139,1777540636803717490,1777540636887258106,83540616
140,1777540636901349186,1777540636982352081,81002895
141,1777540637000987602,1777540637058148608,57161006
142,1777540637101112852,1777540637159597994,58485142
143,1777540637219349899,1777540637275608817,56258918
144,1777540637317481735,1777540637370765322,53283587
145,1777540637401996976,1777540637506864671,104867695
146,1777540637504598745,1777540637567888079,63289334
147,1777540637601684817,1777540637690444939,88760122
148,1777540637701645155,1777540637771760277,70115122
149,1777540637800718203,1777540637883559665,82841462
150,1777540637908228287,1777540637968252819,60024532
151,1777540638001146947,1777540638102558567,101411620
152,1777540638101171648,1777540638186248827,85077179
153,1777540638200279398,1777540638285512804,85233406
154,1777540638300420257,1777540638391143429,90723172
155,1777540638401411561,1777540638480731356,79319795
156,1777540638499389247,1777540638559682839,60293592
157,1777540638599442764,1777540638662547070,63104306
158,1777540638700545628,1777540638760387254,59841626
159,1777540638800506571,1777540638858733142,58226571
160,1777540638899239188,1777540638963585088,64345900
161,1777540639000467647,1777540639081190685,80723038
162,1777540639099577258,1777540639199237858,99660600
163,1777540639200733768,1777540639255051785,54318017
164,1777540639299127609,1777540639401475295,102347686
165,1777540639399753696,1777540639489306372,89552676
166,1777540639499461489,1777540639570777932,71316443
167,1777540639599418047,1777540639641935829,42517782
168,1777540639698854721,1777540639806356094,107501373
169,1777540639799821042,1777540639901169656,101348614
170,1777540639900090045,1777540639981599672,81509627
171,1777540640000995130,1777540640075453030,74457900
172,1777540640099899360,1777540640151217370,51318010
173,1777540640205290309,1777540640268485467,63195158
174,1777540640301115804,1777540640379913999,78798195
175,1777540640399942945,1777540640496289308,96346363
176,1777540640499971473,1777540640576140890,76169417
177,1777540640599324455,1777540640655711356,56386901
178,1777540640699404001,1777540640858865488,159461487
179,1777540640800584106,1777540640921355772,120771666
180,1777540640903321119,1777540640954847178,51526059
181,1777540640999560650,1777540641088134656,88574006
182,1777540641098986300,1777540641186778678,87792378
183,1777540641200071970,1777540641278636905,78564935
184,1777540641299437242,1777540641364041006,64603764
185,1777540641399310192,1777540641477363236,78053044
186,1777540641502961662,1777540641564721225,61759563
187,1777540641599846735,1777540641675028402,75181667
188,1777540641699580442,1777540641750171209,50590767
189,1777540641802205582,1777540641943957605,141752023
190,1777540641899871231,1777540641968443502,68572271
191,1777540642002100672,1777540642089966678,87866006
192,1777540642107882232,1777540642172602789,64720557
193,1777540642199007113,1777540642278698892,79691779
194,1777540642299024891,1777540642361215042,62190151
