t_sample,cpu_pct,rss_mb
1777540623.8357568,141.0,916.73828125
1777540624.8590775,135.8,918.16796875
1777540625.8742507,134.0,919.9765625
1777540626.8930123,153.1,920.05859375
1777540627.8952162,149.7,920.9140625
1777540628.9380841,143.8,921.8984375
1777540629.9658763,148.9,922.578125
1777540630.9721394,146.1,922.578125
1777540631.983575,147.3,922.89453125
1777540633.0080824,155.2,922.89453125
1777540634.0382726,131.0,922.8984375
1777540635.0551622,140.6,922.8984375
1777540636.0755434,149.0,922.8984375
1777540637.0868216,154.3,923.42578125
1777540638.1069765,157.8,923.6171875
1777540639.1720085,145.5,923.6171875
1777540640.2039301,149.2,923.796875
1777540641.2399561,167.0,923.796875
1777540642.2565668,154.4,923.796875
1777540643.2677042,137.5,924.00390625
1777540644.2719076,143.4,924.00390625
1777540645.277984,140.1,924.00390625
1777540646.28413,147.1,924.109375
1777540647.3252354,173.9,924.109375
1777540648.3356738,143.5,924.109375
1777540649.3372662,168.7,924.109375
1777540650.363292,134.5,924.109375
1777540651.3867025,137.8,924.109375
1777540652.4338958,145.1,924.109375
1777540653.457098,140.7,924.109375
1777540654.4766424,148.1,924.109375
1777540655.519464,152.5,924.24609375
1777540656.523835,147.4,924.25
1777540657.535271,142.4,924.3515625
1777540658.5535867,127.7,924.3515625
1777540659.5631237,142.6,924.3515625
1777540660.5728886,130.7,924.3515625
1777540661.5864542,156.9,925.984375
1777540662.6227872,158.3,925.984375
1777540663.646545,141.6,926.96875
1777540664.6666572,147.0,926.96875
1777540665.6874814,139.1,926.96875
1777540666.6877081,149.0,926.96875
1777540667.6960003,152.7,926.96875
1777540668.7298982,155.7,926.96875
1777540669.7703524,147.1,926.96875
1777540670.772759,142.7,926.96875
1777540671.7749455,136.7,926.96875
1777540672.824918,129.5,926.96875
1777540673.85423,105.9,926.96875
1777540674.8727198,203.2,880.94921875
1777540675.8753772,145.6,883.63671875
1777540676.9094296,168.3,900.69921875
1777540677.9265985,168.1,954.94921875
1777540678.9589617,152.1,954.94921875
1777540679.9651678,142.1,955.03515625
1777540680.971664,147.0,955.03515625
1777540681.9952471,144.6,955.03515625
1777540683.026031,148.4,955.03515625
1777540684.0263174,165.0,955.03515625
1777540685.0500455,154.3,955.03515625
1777540686.0536184,155.4,955.03515625
1777540687.0557513,131.7,955.03515625
1777540688.0673485,143.3,955.03515625
1777540689.0800505,131.3,955.03515625
1777540690.1097498,164.2,955.03515625
1777540691.1231694,142.1,955.03515625
1777540692.1648614,139.2,955.03515625
1777540693.1728363,138.9,955.0390625
1777540694.1783438,143.2,955.0390625
1777540695.187365,133.8,955.0390625
1777540696.1950498,143.9,955.0390625
1777540697.2585652,155.1,955.0390625
1777540698.2752414,144.6,955.0390625
1777540699.2803442,150.2,955.0390625
1777540700.3283257,170.8,955.0390625
1777540701.3309681,166.6,955.0390625
1777540702.3501768,158.0,955.0390625
1777540703.351625,145.8,955.0390625
1777540704.3520586,142.9,955.0390625
1777540705.3823168,157.2,955.0390625
1777540706.423091,148.9,955.0390625
1777540707.4239109,137.9,955.0390625
1777540708.4287143,150.3,955.0390625
1777540709.4591439,136.8,955.0390625
1777540710.4663925,132.0,955.0390625
1777540711.4704187,146.4,955.0390625
1777540712.4797816,137.7,955.0390625
1777540713.4802155,140.9,955.0390625
1777540714.5216908,159.4,955.0390625
1777540715.549957,123.5,955.0390625
1777540716.5503201,131.0,955.0390625
1777540717.5702755,126.5,955.0390625
1777540718.572625,145.7,955.0390625
1777540719.5950162,136.0,955.0390625
1777540720.65578,144.2,955.0390625
1777540721.6618483,126.2,955.04296875
1777540722.680068,129.6,955.04296875
1777540723.729145,148.7,955.05078125
1777540724.750823,140.9,955.05078125
1777540725.7552845,166.3,955.0546875
1777540726.7595525,159.3,955.0546875
1777540727.7814295,124.3,955.0625
1777540728.7898653,149.7,955.0625
1777540729.8278172,136.8,955.06640625
1777540730.851195,128.0,955.06640625
1777540731.8552368,137.4,955.07421875
1777540732.8581834,147.6,955.07421875
1777540733.876403,132.6,955.078125
1777540734.9100912,114.2,955.078125
1777540735.9282966,226.9,978.90234375
1777540736.929222,151.9,979.34765625
1777540737.9597528,162.1,979.52734375
1777540738.9797363,135.3,979.52734375
1777540739.9845686,147.3,979.52734375
1777540741.026914,145.8,979.52734375
1777540742.0325391,155.1,979.52734375
