frame_seq,t_sent_ns,t_recv_ns,latency_ns
0,1777540622799813758,1777540622884751783,84938025
1,1777540622899453153,1777540622954366210,54913057
2,1777540622999455800,1777540623064338798,64882998
3,1777540623099359011,1777540623157345032,57986021
4,1777540623200339455,1777540623269462800,69123345
5,1777540623299902435,1777540623356137915,56235480
6,1777540623400037387,1777540623481931731,81894344
7,1777540623513870942,1777540623587316040,73445098
8,1777540623599397469,1777540623704093076,104695607
9,1777540623701174731,1777540623783924189,82749458
10,1777540623800379028,1777540623888308220,87929192
11,1777540623899391765,1777540623982999390,83607625
12,1777540623999699447,1777540624077955385,78255938
13,1777540624099877994,1777540624171911557,72033563
14,1777540624199747899,1777540624268186033,68438134
15,1777540624302156457,1777540624372790658,70634201
16,1777540624401876183,1777540624505045798,103169615
17,1777540624503293587,1777540624568463913,65170326
18,1777540624601389394,1777540624674699386,73309992
19,1777540624699972250,1777540624767942256,67970006
20,1777540624805003497,1777540624880590940,75587443
21,1777540624900387641,1777540624991590425,91202784
22,1777540624999172763,1777540625072686054,73513291
23,1777540625110560496,1777540625183007951,72447455
24,1777540625199828861,1777540625262562444,62733583
25,1777540625298657321,1777540625378571248,79913927
26,1777540625398617452,1777540625462911735,64294283
27,1777540625497784377,1777540625617913388,120129011
28,1777540625600736539,1777540625667678029,66941490
29,1777540625698681157,1777540625788467726,89786569
30,1777540625799342413,1777540625871649924,72307511
31,1777540625902337977,1777540626016674385,114336408
32,1777540626003192064,1777540626087905256,84713192
33,1777540626099047978,1777540626204928902,105880924
34,1777540626201883086,1777540626269398609,67515523
35,1777540626303235471,1777540626377060228,73824757
36,1777540626403249301,1777540626469510172,66260871
37,1777540626499664254,1777540626547859155,48194901
38,1777540626598542014,1777540626663316677,64774663
39,1777540626699167260,1777540626747030942,47863682
40,1777540626800829112,1777540626890265980,89436868
41,1777540626899871377,1777540626982127376,82255999
42,1777540626999233258,1777540627078113134,78879876
43,1777540627112737495,1777540627194420769,81683274
44,1777540627206004588,1777540627265758393,59753805
45,1777540627300138527,1777540627388812556,88674029
46,1777540627401461939,1777540627485260473,83798534
47,1777540627501003280,1777540627565891209,64887929
48,1777540627602642115,1777540627690835232,88193117
49,1777540627701057492,1777540627796398987,95341495
50,1777540627801806647,1777540627865807886,64001239
51,1777540627899734924,1777540627973248454,73513530
52,1777540628000876338,1777540628051766247,50889909
53,1777540628098399572,1777540628202078403,103678831
54,1777540628201466202,1777540628267543466,66077264
55,1777540628301620544,1777540628390022283,88401739
56,1777540628400423677,1777540628464842605,64418928
57,1777540628499191006,1777540628594448186,95257180
58,1777540628600634749,1777540628680254647,79619898
59,1777540628699672171,1777540628784028591,84356420
60,1777540628800043616,1777540628885026141,84982525
61,1777540628915692393,1777540629026328959,110636566
62,1777540629024345689,1777540629114194955,89849266
63,1777540629101795935,1777540629192851382,91055447
64,1777540629201331170,1777540629408537822,207206652
65,1777540629314365091,1777540629438856020,124490929
66,1777540629401498042,1777540629463526316,62028274
67,1777540629499764740,1777540629563593739,63828999
68,1777540629599863754,1777540629759279436,159415682
69,1777540629701514132,1777540629782445624,80931492
70,1777540629801313409,1777540629886960568,85647159
71,1777540629899250757,1777540629987348565,88097808
72,1777540630000680512,1777540630080929296,80248784
73,1777540630098968214,1777540630180295226,81327012
74,1777540630199925239,1777540630266400946,66475707
75,1777540630299472330,1777540630359080002,59607672
76,1777540630400797204,1777540630457034098,56236894
77,1777540630501357729,1777540630581565424,80207695
78,1777540630600991004,1777540630669637859,68646855
79,1777540630702091556,1777540630758485664,56394108
80,1777540630800189193,1777540630875665685,75476492
81,1777540630901164750,1777540631085428983,184264233
82,1777540631007738655,1777540631119735166,111996511
83,1777540631102266979,1777540631225262742,122995763
84,1777540631204627575,1777540631297551162,92923587
85,1777540631300150722,1777540631374625927,74475205
86,1777540631400062713,1777540631462087859,62025146
87,1777540631499559214,1777540631582477514,82918300
88,1777540631599210294,1777540631693793985,94583691
89,1777540631702830250,1777540631754182452,51352202
90,1777540631799448790,1777540631852495479,53046689
91,1777540631901319184,1777540631981841351,80522167
92,1777540631999943690,1777540632096770640,96826950
93,1777540632099332188,1777540632153971626,54639438
94,1777540632199856994,1777540632287510611,87653617
95,1777540632300021916,1777540632371528487,71506571
96,1777540632399470200,1777540632471977231,72507031
97,1777540632503816067,1777540632573473900,69657833
98,1777540632599935741,1777540632666241086,66305345
99,1777540632699466417,1777540632763661847,64195430
100,1777540632800474115,1777540632853958824,53484709
101,1777540632902177082,1777540632975324135,73147053
102,1777540633013335118,1777540633069464086,56128968
103,1777540633099623366,1777540633165478451,65855085
104,1777540633199650370,1777540633248687147,49036777
105,1777540633299192988,1777540633383371195,84178207
106,1777540633399852666,1777540633473535913,73683247
107,1777540633499800173,1777540633585324652,85524479
108,1777540633600012670,1777540633657095250,57082580
109,1777540633698696033,1777540633783176025,84479992
110,1777540633798961200,1777540633873589726,74628526
111,1777540633899381936,1777540633986022055,86640119
112,1777540634002305865,1777540634100480172,98174307
113,1777540634103749155,1777540634209680633,105931478
114,1777540634202191321,1777540634287672375,85481054
115,1777540634301523857,1777540634371519857,69996000
116,1777540634400605663,1777540634477496311,76890648
117,1777540634506891125,1777540634567955856,61064731
118,1777540634605312269,1777540634674219429,68907160
119,1777540634701028731,1777540634787644705,86615974
120,1777540634798333156,1777540634867271705,68938549
121,1777540634899849324,1777540634965243008,65393684
122,1777540634999190037,1777540635077800173,78610136
123,1777540635099363983,1777540635182083192,82719209
124,1777540635201090867,1777540635285298528,84207661
125,1777540635299680244,1777540635395807286,96127042
