t_sample,cpu_pct,rss_mb
1777540623.8356926,141.0,958.328125
1777540624.8590415,139.7,959.7578125
1777540625.8742142,133.0,961.56640625
1777540626.8929307,148.3,961.6484375
1777540627.8951719,148.6,962.50390625
1777540628.9379852,148.7,963.48828125
1777540629.9658375,149.8,964.16796875
1777540630.972103,143.1,964.16796875
1777540631.9835353,143.4,964.484375
1777540633.0080326,156.2,964.484375
1777540634.0381806,140.8,964.48828125
1777540635.055124,139.6,964.48828125
1777540636.0755076,149.9,964.48828125
1777540637.0867708,153.3,965.015625
1777540638.1069322,154.9,965.20703125
1777540639.1719725,153.0,965.20703125
1777540640.2038338,147.3,965.38671875
1777540641.239847,168.9,965.38671875
1777540642.2565296,147.5,965.38671875
1777540643.26767,136.5,965.59375
1777540644.2718725,141.4,965.59375
1777540645.277941,136.2,965.59375
1777540646.2840972,142.1,965.69921875
1777540647.3251784,176.7,965.69921875
1777540648.335632,141.5,965.69921875
1777540649.3371935,163.8,965.69921875
1777540650.3632522,133.5,965.69921875
1777540651.3866665,136.8,965.69921875
1777540652.4338596,143.2,965.69921875
1777540653.4570613,136.8,965.69921875
1777540654.4766073,142.2,965.69921875
1777540655.5193868,147.7,965.8359375
1777540656.5237584,148.3,965.8359375
1777540657.5351875,143.4,965.9375
1777540658.5535505,129.6,965.9375
1777540659.563084,144.6,965.9375
1777540660.5728528,133.7,965.9375
1777540661.5864174,153.9,967.5703125
1777540662.622744,160.2,967.5703125
1777540663.6465106,138.7,968.5546875
1777540664.6666212,144.1,968.5546875
1777540665.687439,136.2,968.5546875
1777540666.68767,143.0,968.5546875
1777540667.6959531,142.8,968.5546875
1777540668.7298565,151.8,968.5546875
1777540669.7703044,142.2,968.5546875
1777540670.772726,142.7,1016.01953125
1777540671.774908,129.7,1016.01953125
1777540672.8248806,128.6,1016.01953125
1777540673.854187,104.9,1016.01953125
1777540674.8726835,198.3,1017.3359375
1777540675.875344,130.6,1020.0234375
1777540676.9093056,139.3,1020.1953125
1777540677.9265544,144.5,1020.26953125
1777540678.9589255,149.2,1020.26953125
1777540679.9651327,139.1,1020.35546875
1777540680.9716294,152.0,1020.35546875
1777540681.9951758,139.7,1020.35546875
1777540683.0259895,150.4,1020.35546875
1777540684.0262785,164.9,1020.35546875
1777540685.0500088,155.3,1020.35546875
1777540686.0535836,151.5,1020.35546875
1777540687.0557127,131.7,1020.35546875
1777540688.067315,138.4,1020.35546875
1777540689.0800173,131.3,1020.35546875
1777540690.1093698,150.6,1020.35546875
1777540691.1231086,144.9,1020.35546875
1777540692.1648228,143.0,1020.35546875
1777540693.1727974,145.8,1020.35546875
1777540694.178309,140.2,1020.35546875
1777540695.1873248,128.8,1020.35546875
1777540696.1950016,143.9,1020.35546875
1777540697.2585292,147.6,1020.35546875
1777540698.2752073,139.7,1020.35546875
1777540699.2803075,148.2,1020.35546875
1777540700.328275,161.3,1020.35546875
1777540701.33093,159.6,1020.35546875
1777540702.3501348,154.0,1020.35546875
1777540703.3515906,143.8,1020.35546875
1777540704.3520231,138.9,1020.35546875
1777540705.3822799,156.3,1020.35546875
1777540706.4230328,147.0,1020.35546875
1777540707.4238648,139.9,1020.35546875
1777540708.4286776,140.3,1020.35546875
1777540709.4591115,128.1,1020.35546875
1777540710.4663575,129.1,1020.35546875
1777540711.470383,136.5,1020.35546875
1777540712.4797447,132.8,1020.35546875
1777540713.480181,140.9,1020.35546875
1777540714.5216103,152.7,1020.35546875
1777540715.5499198,120.6,1020.35546875
1777540716.5502853,130.0,1020.35546875
1777540717.5702395,123.5,1020.35546875
1777540718.5725925,146.7,1020.35546875
1777540719.5949633,130.1,1020.35546875
1777540720.655745,144.2,1020.35546875
1777540721.6618133,128.2,1020.359375
1777540722.6800337,127.7,1020.359375
1777540723.7290697,144.0,1020.3671875
1777540724.7507856,141.9,1020.3671875
1777540725.7552514,156.3,1020.37109375
1777540726.7595196,144.4,1020.37109375
1777540727.7813962,123.3,1020.37890625
1777540728.7898254,143.8,1020.3828125
1777540729.8277798,136.8,1020.38671875
1777540730.8511596,129.0,1020.38671875
1777540731.8551986,129.5,1020.39453125
1777540732.8581479,146.6,1020.39453125
1777540733.8763628,133.6,1020.3984375
1777540734.9100244,107.4,1020.3984375
1777540735.9282544,231.8,1020.6328125
1777540736.9291842,147.9,1021.078125
1777540737.9597135,165.0,1021.2578125
1777540738.9796994,130.4,1021.2578125
1777540739.984533,141.3,1021.2578125
1777540741.0268745,150.6,1021.2578125
1777540742.0325038,156.1,1021.2578125
