frame_seq,t_sent_ns,t_recv_ns,latency_ns
0,1777540508743889980,1777540508818815946,74925966
1,1777540508844362863,1777540508906302206,61939343
2,1777540508943635550,1777540509007746939,64111389
3,1777540509042308649,1777540509139514281,97205632
4,1777540509144393259,1777540509204073926,59680667
5,1777540509242649402,1777540509327387478,84738076
6,1777540509342473184,1777540509508832670,166359486
7,1777540509446531268,1777540509563216174,116684906
8,1777540509543044147,1777540509631118395,88074248
9,1777540509643454578,1777540509702351788,58897210
10,1777540509743766015,1777540509818158885,74392870
11,1777540509842330221,1777540509900351804,58021583
12,1777540509942531885,1777540509992527476,49995591
13,1777540510042261979,1777540510094426088,52164109
14,1777540510143573629,1777540510231096612,87522983
15,1777540510243669392,1777540510293668842,49999450
16,1777540510344590783,1777540510464910498,120319715
17,1777540510451975720,1777540510553492220,101516500
18,1777540510545366792,1777540510597986374,52619582
19,1777540510644789464,1777540510700394794,55605330
20,1777540510745376737,1777540510802860597,57483860
21,1777540510844017717,1777540510896569710,52551993
22,1777540510943087661,1777540511003691574,60603913
23,1777540511044378543,1777540511129013157,84634614
24,1777540511143226500,1777540511202314672,59088172
25,1777540511243335367,1777540511303540058,60204691
26,1777540511343481121,1777540511518851204,175370083
27,1777540511445946967,1777540511562562745,116615778
28,1777540511546645891,1777540511646504530,99858639
29,1777540511652620313,1777540511731882024,79261711
30,1777540511742243879,1777540511891252579,149008700
31,1777540511842433178,1777540511940802935,98369757
32,1777540511941675297,1777540512009503957,67828660
33,1777540512040915977,1777540512099032041,58116064
34,1777540512143222720,1777540512184321198,41098478
35,1777540512242952701,1777540512303365958,60413257
36,1777540512342345794,1777540512389668717,47322923
37,1777540512446874173,1777540512497562114,50687941
38,1777540512543332851,1777540512639286946,95954095
39,1777540512651103843,1777540512708792854,57689011
40,1777540512747718218,1777540512818574372,70856154
41,1777540512843077458,1777540512894181660,51104202
42,1777540512943530078,1777540513005617815,62087737
43,1777540513043285643,1777540513132612815,89327172
44,1777540513143647827,1777540513206475106,62827279
45,1777540513243388983,1777540513305907682,62518699
46,1777540513342603406,1777540513401908910,59305504
47,1777540513442053759,1777540513499527373,57473614
48,1777540513543458866,1777540513601386185,57927319
49,1777540513644452582,1777540513705899311,61446729
50,1777540513743833563,1777540513795116272,51282709
51,1777540513842755261,1777540513891630287,48875026
52,1777540513943721880,1777540514009748137,66026257
53,1777540514046051779,1777540514099069769,53017990
54,1777540514144366502,1777540514226321893,81955391
55,1777540514243550543,1777540514334923168,91372625
56,1777540514343694744,1777540514390234755,46540011
57,1777540514444684743,1777540514520122948,75438205
58,1777540514543855073,1777540514608247485,64392412
59,1777540514646094075,1777540514742772465,96678390
60,1777540514748247844,1777540514801877203,53629359
61,1777540514843974402,1777540514907580136,63605734
62,1777540514957828690,1777540515028261710,70433020
63,1777540515044195658,1777540515139100818,94905160
64,1777540515147553705,1777540515235658964,88105259
65,1777540515244917796,1777540515308313387,63395591
66,1777540515343748971,1777540515427665054,83916083
67,1777540515442703021,1777540515496426007,53722986
68,1777540515547517567,1777540515593826072,46308505
69,1777540515642702409,1777540515718557080,75854671
70,1777540515742791078,1777540515825804154,83013076
71,1777540515843728820,1777540515927348421,83619601
72,1777540515943373697,1777540516121329911,177956214
73,1777540516045477504,1777540516152766897,107289393
74,1777540516144295104,1777540516196618422,52323318
75,1777540516240907043,1777540516299981661,59074618
76,1777540516342417509,1777540516400514889,58097380
77,1777540516442818871,1777540516500512291,57693420
78,1777540516542984418,1777540516626720095,83735677
79,1777540516643285125,1777540516694508273,51223148
80,1777540516744350980,1777540516820216476,75865496
81,1777540516842923472,1777540516894424734,51501262
82,1777540516944312948,1777540517003514637,59201689
83,1777540517044886216,1777540517106888273,62002057
84,1777540517144525593,1777540517216190029,71664436
85,1777540517244286459,1777540517298221715,53935256
86,1777540517344186639,1777540517413231418,69044779
87,1777540517444296576,1777540517498620823,54324247
88,1777540517544813030,1777540517666993853,122180823
89,1777540517648020197,1777540517715645635,67625438
90,1777540517745493027,1777540517804591191,59098164
91,1777540517842199528,1777540517918864025,76664497
92,1777540517945391299,1777540518011144099,65752800
93,1777540518051913441,1777540518139094369,87180928
94,1777540518146733550,1777540518204718120,57984570
95,1777540518244252272,1777540518296849714,52597442
96,1777540518343868038,1777540518393688920,49820882
97,1777540518442728684,1777540518526678403,83949719
98,1777540518543982162,1777540518597179604,53197442
99,1777540518643826209,1777540518699132456,55306247
100,1777540518746848196,1777540518810203968,63355772
101,1777540518845099880,1777540518925063100,79963220
102,1777540518946752002,1777540519037717506,90965504
103,1777540519046376426,1777540519200490774,154114348
104,1777540519144708051,1777540519226407536,81699485
105,1777540519245176814,1777540519302900183,57723369
106,1777540519344240008,1777540519406417590,62177582
107,1777540519441529671,1777540519502728983,61199312
108,1777540519544160810,1777540519596602414,52441604
109,1777540519644559904,1777540519697907506,53347602
110,1777540519743468957,1777540519798658841,55189884
111,1777540519842699023,1777540519911987015,69287992
112,1777540519943636663,1777540520023923957,80287294
113,1777540520044403474,1777540520250871630,206468156
114,1777540520144722137,1777540520280939726,136217589
115,1777540520243135845,1777540520446786450,203650605
116,1777540520342587081,1777540520479096601,136509520
117,1777540520451042484,1777540520542071887,91029403
118,1777540520544712242,1777540520628194828,83482586
119,1777540520642405238,1777540520693209207,50803969
120,1777540520755117011,1777540520838637764,83520753
121,1777540520842884719,1777540520915619563,72734844
122,1777540520943090266,1777540521093164996,150074730
123,1777540521042859071,1777540521145481326,102622255
124,1777540521142471271,1777540521185078690,42607419
125,1777540521242734977,1777540521302626829,59891852
126,1777540521342499568,1777540521426470001,83970433
127,1777540521442967879,1777540521534072407,91104528
128,1777540521542829229,1777540521598124004,55294775
129,1777540521643550736,1777540521699393260,55842524
130,1777540521743368846,1777540521805483996,62115150
131,1777540521842867114,1777540521941198889,98331775
132,1777540521944493769,1777540522005625870,61132101
133,1777540522043442681,1777540522097946757,54504076
134,1777540522145448762,1777540522220070304,74621542
135,1777540522244582371,1777540522300287467,55705096
136,1777540522345516703,1777540522400327304,54810601
137,1777540522444897175,1777540522579922804,135025629
138,1777540522545379313,1777540522613332944,67953631
139,1777540522645500589,1777540522709141926,63641337
140,1777540522744198363,1777540522845212346,101013983
141,1777540522845554850,1777540522942070998,96516148
142,1777540522960804407,1777540523084058743,123254336
143,1777540523049290551,1777540523154606552,105316001
144,1777540523145813113,1777540523234915957,89102844
145,1777540523242505295,1777540523335951369,93446074
146,1777540523343427176,1777540523404629043,61201867
147,1777540523444998133,1777540523519029833,74031700
148,1777540523543792590,1777540523587387326,43594736
149,1777540523644056402,1777540523705668016,61611614
150,1777540523743057678,1777540523785344495,42286817
151,1777540523842542520,1777540523900570215,58027695
152,1777540523943351915,1777540524013400376,70048461
153,1777540524044075495,1777540524128160886,84085391
154,1777540524142714271,1777540524198128756,55414485
155,1777540524242734430,1777540524327284733,84550303
156,1777540524343682613,1777540524419731168,76048555
157,1777540524444393602,1777540524506078252,61684650
158,1777540524542897085,1777540524624881660,81984575
159,1777540524642756399,1777540524712364318,69607919
160,1777540524743935500,1777540524839173266,95237766
161,1777540524843365189,1777540525007088631,163723442
162,1777540524947463905,1777540525064463672,116999767
163,1777540525043615208,1777540525100579265,56964057
164,1777540525147927109,1777540525243140651,95213542
165,1777540525244412554,1777540525307802298,63389744
166,1777540525349484119,1777540525498051502,148567383
167,1777540525444672493,1777540525573359837,128687344
168,1777540525543441157,1777540525626801554,83360397
169,1777540525643966283,1777540525699572410,55606127
170,1777540525742336304,1777540525864681809,122345505
171,1777540525843047653,1777540525950828446,107780793
172,1777540525942965808,1777540525994574991,51609183
173,1777540526042283166,1777540526162023348,119740182
174,1777540526143701018,1777540526219357898,75656880
175,1777540526244579452,1777540526314631840,70052388
176,1777540526343411987,1777540526414641102,71229115
177,1777540526450675810,1777540526549630461,98954651
178,1777540526562783016,1777540526640043030,77260014
179,1777540526643410365,1777540526691716752,48306387
180,1777540526744686910,1777540526799501668,54814758
181,1777540526847440389,1777540526923216648,75776259
182,1777540526943094467,1777540527006734447,63639980
183,1777540527041880283,1777540527098603381,56723098
184,1777540527144788335,1777540527218796312,74007977
185,1777540527242893562,1777540527329210786,86317224
186,1777540527343787036,1777540527419713394,75926358
187,1777540527443103646,1777540527515445778,72342132
188,1777540527544141125,1777540527656412215,112271090
189,1777540527645526349,1777540527702757651,57231302
190,1777540527743826104,1777540527802718768,58892664
191,1777540527856308876,1777540527943246202,86937326
192,1777540527949141759,1777540527999293303,50151544
193,1777540528046313219,1777540528204481258,158168039
194,1777540528145488852,1777540528264148722,118659870
