t_sample,cpu_pct,rss_mb
1777540509.7039626,143.5,893.78515625
1777540510.7279596,146.5,893.78515625
1777540511.7347584,155.9,894.23046875
1777540512.7381568,140.5,895.66015625
1777540513.797008,135.1,896.57421875
1777540514.8048344,139.9,897.55078125
1777540515.8276422,137.9,898.40625
1777540516.8965056,143.1,899.31640625
1777540517.9211004,147.4,900.0703125
1777540518.927232,144.1,900.0703125
1777540519.942456,151.7,900.38671875
1777540520.9683297,155.0,924.1171875
1777540522.0081153,127.9,924.12109375
1777540523.0303369,145.8,924.12109375
1777540524.0483317,145.4,924.12109375
1777540525.0676372,148.1,924.6484375
1777540526.1001036,140.4,924.83984375
1777540527.1013389,145.8,924.83984375
1777540528.1266363,153.1,924.83984375
1777540529.1562603,143.7,925.01953125
1777540530.17913,148.6,925.01953125
1777540531.2016842,140.8,925.2265625
1777540532.256359,160.2,925.2265625
1777540533.311416,157.3,925.2265625
1777540534.3216925,142.5,925.33203125
1777540535.3655522,151.4,925.33203125
1777540536.3747332,155.6,925.33203125
1777540537.4017375,139.2,925.33203125
1777540538.420305,147.3,925.33203125
