frame_seq,t_sent_ns,t_recv_ns,latency_ns
0,1777540508740873919,1777540508855506255,114632336
1,1777540508841507733,1777540508929457317,87949584
2,1777540508940331130,1777540509033233887,92902757
3,1777540509046017447,1777540509113267426,67249979
4,1777540509141631775,1777540509231998583,90366808
5,1777540509238928094,1777540509303312515,64384421
6,1777540509339472566,1777540509393496000,54023434
7,1777540509444469466,1777540509533312613,88843147
8,1777540509542017798,1777540509608669235,66651437
9,1777540509638891074,1777540509725815723,86924649
10,1777540509739387009,1777540509795230769,55843760
11,1777540509842223404,1777540509923927051,81703647
12,1777540509941413578,1777540510015323435,73909857
13,1777540510039959829,1777540510206474048,166514219
14,1777540510140670460,1777540510266757074,126086614
15,1777540510239648512,1777540510405262991,165614479
16,1777540510343890992,1777540510430335962,86444970
17,1777540510440345449,1777540510522510765,82165316
18,1777540510542460638,1777540510726159733,183699095
19,1777540510643280855,1777540510758733955,115453100
20,1777540510742927669,1777540510828553524,85625855
21,1777540510841611396,1777540511028105467,186494071
22,1777540510940831202,1777540511058279189,117447987
23,1777540511042561621,1777540511103987984,61426363
24,1777540511141448070,1777540511226241921,84793851
25,1777540511239319634,1777540511328409104,89089470
26,1777540511341189479,1777540511399324172,58134693
27,1777540511444746688,1777540511589548110,144801422
28,1777540511542639205,1777540511620594395,77955190
29,1777540511642493760,1777540511694796119,52302359
30,1777540511740348948,1777540511792902371,52553423
31,1777540511839908139,1777540511915739110,75830971
32,1777540511947201359,1777540512034270408,87069049
33,1777540512048502967,1777540512123085187,74582220
34,1777540512140844464,1777540512206866868,66022404
35,1777540512242063901,1777540512329456277,87392376
36,1777540512344041156,1777540512547059390,203018234
37,1777540512444808682,1777540512575951706,131143024
38,1777540512540701710,1777540512614828138,74126428
39,1777540512640351967,1777540512735017794,94665827
40,1777540512739732900,1777540512794263922,54531022
41,1777540512840621771,1777540512919400153,78778382
42,1777540512942857050,1777540513030323552,87466502
43,1777540513041353075,1777540513106831575,65478500
44,1777540513141790984,1777540513231774557,89983573
45,1777540513240820472,1777540513328848401,88027929
46,1777540513340144215,1777540513424083057,83938842
47,1777540513439697262,1777540513521811235,82113973
48,1777540513540369293,1777540513624509688,84140395
49,1777540513639939600,1777540513731271257,91331657
50,1777540513741336270,1777540513820348495,79012225
51,1777540513839941270,1777540513916348567,76407297
52,1777540513941636124,1777540514036758852,95122728
53,1777540514044339738,1777540514125569802,81230064
54,1777540514141661157,1777540514199449966,57788809
55,1777540514242080844,1777540514308247549,66166705
56,1777540514343325222,1777540514415089752,71764530
57,1777540514440077582,1777540514495439263,55361681
58,1777540514541472868,1777540514634216668,92743800
59,1777540514641320254,1777540514714382369,73062115
60,1777540514742930880,1777540514827926470,84995590
61,1777540514840669162,1777540514938183278,97514116
62,1777540514940880113,1777540515002181630,61301517
63,1777540515042284216,1777540515109302572,67018356
64,1777540515141018006,1777540515209499607,68481601
65,1777540515242532012,1777540515332592493,90060481
66,1777540515341609444,1777540515403412634,61803190
67,1777540515439026518,1777540515520118467,81091949
68,1777540515539367384,1777540515617033782,77666398
69,1777540515640435103,1777540515694244793,53809690
70,1777540515740677295,1777540515802120464,61443169
71,1777540515839788469,1777540515903540253,63751784
72,1777540515939823401,1777540515994215144,54391743
73,1777540516043773210,1777540516092991008,49217798
74,1777540516153461156,1777540516221010113,67548957
75,1777540516245705127,1777540516323709524,78004397
76,1777540516339379705,1777540516424894370,85514665
77,1777540516440150669,1777540516524138160,83987491
78,1777540516541307670,1777540516600445725,59138055
79,1777540516640612399,1777540516719748319,79135920
80,1777540516741047985,1777540516796106606,55058621
81,1777540516840544230,1777540516919162832,78618602
82,1777540516939827743,1777540517027770210,87942467
83,1777540517039604665,1777540517132144075,92539410
84,1777540517140626871,1777540517257087087,116460216
85,1777540517240831696,1777540517322961661,82129965
86,1777540517340539519,1777540517441199461,100659942
87,1777540517442213786,1777540517609691562,167477776
88,1777540517543740542,1777540517635195907,91455365
89,1777540517640687903,1777540517743916875,103228972
90,1777540517743893103,1777540517832023529,88130426
91,1777540517860573975,1777540517949202171,88628196
92,1777540517944183415,1777540518042124097,97940682
93,1777540518042566563,1777540518109715651,67149088
94,1777540518143574153,1777540518237867976,94293823
95,1777540518242118768,1777540518322743758,80624990
96,1777540518341257016,1777540518417896778,76639762
97,1777540518440437836,1777540518501796663,61358827
98,1777540518540848753,1777540518622545520,81696767
99,1777540518641066114,1777540518727746397,86680283
100,1777540518743963121,1777540518837628040,93664919
101,1777540518841050947,1777540518898592114,57541167
102,1777540518942161242,1777540519010797069,68635827
103,1777540519041028477,1777540519102838351,61809874
104,1777540519142981775,1777540519262997476,120015701
105,1777540519241888622,1777540519328636816,86748194
106,1777540519343826791,1777540519431154884,87328093
107,1777540519444391100,1777540519531368995,86977895
108,1777540519542749589,1777540519622065037,79315448
109,1777540519640696346,1777540519938445118,297748772
110,1777540519740967427,1777540519971237962,230270535
111,1777540519840738203,1777540519998411197,157672994
112,1777540519952257593,1777540520055147986,102890393
113,1777540520041124633,1777540520099059825,57935192
114,1777540520143739385,1777540520217591589,73852204
115,1777540520258134730,1777540520322376621,64241891
116,1777540520340300100,1777540520406112867,65812767
117,1777540520455354158,1777540520514124556,58770398
118,1777540520541566665,1777540520600332644,58765979
119,1777540520639809150,1777540520719572894,79763744
120,1777540520742635727,1777540520812681672,70045945
121,1777540520840248008,1777540520889964369,49716361
122,1777540520942424363,1777540521004580314,62155951
123,1777540521038874400,1777540521118275037,79400637
124,1777540521149130486,1777540521218705543,69575057
125,1777540521239680615,1777540521330190156,90509541
126,1777540521340051497,1777540521399475113,59423616
127,1777540521439503590,1777540521505899546,66395956
128,1777540521542799299,1777540521625786091,82986792
129,1777540521640839961,1777540521726713128,85873167
130,1777540521740672561,1777540521830715556,90042995
131,1777540521841126712,1777540521912735343,71608631
132,1777540521942738013,1777540522032276547,89538534
133,1777540522041021781,1777540522125048182,84026401
134,1777540522140823637,1777540522256227407,115403770
135,1777540522242508802,1777540522326364733,83855931
136,1777540522343378270,1777540522426542472,83164202
137,1777540522444686479,1777540522527287985,82601506
138,1777540522543075362,1777540522640285538,97210176
139,1777540522642032206,1777540522735707516,93675310
140,1777540522742478729,1777540522807816246,65337517
141,1777540522843892320,1777540522914649095,70756775
142,1777540522960106108,1777540523028074201,67968093
143,1777540523041757122,1777540523121598802,79841680
144,1777540523142794336,1777540523208200411,65406075
145,1777540523241820879,1777540523309669625,67848746
146,1777540523341227643,1777540523433324760,92097117
147,1777540523441116669,1777540523546682914,105566245
148,1777540523543221530,1777540523612278874,69057344
149,1777540523640427467,1777540523730678334,90250867
150,1777540523741678422,1777540523811250848,69572426
151,1777540523839817019,1777540523925412851,85595832
152,1777540523940581237,1777540524042420701,101839464
153,1777540524041777526,1777540524100452333,58674807
154,1777540524140687639,1777540524224414299,83726660
155,1777540524243078224,1777540524300944660,57866436
156,1777540524341769021,1777540524392959369,51190348
157,1777540524439522057,1777540524530972391,91450334
158,1777540524542291431,1777540524599762012,57470581
159,1777540524641696801,1777540524739222163,97525362
160,1777540524741091055,1777540524810789898,69698843
161,1777540524840119233,1777540524898958887,58839654
162,1777540524947122903,1777540525032522639,85399736
163,1777540525041089622,1777540525142328867,101239245
164,1777540525145067440,1777540525210073174,65005734
165,1777540525242074470,1777540525419635426,177560956
166,1777540525338651145,1777540525459221029,120569884
167,1777540525440178414,1777540525534386535,94208121
168,1777540525542173607,1777540525599167796,56994189
169,1777540525642868835,1777540525725027962,82159127
170,1777540525750149353,1777540525811540098,61390745
171,1777540525840613444,1777540525916208292,75594848
172,1777540525942361912,1777540526097505256,155143344
173,1777540526039679993,1777540526123868648,84188655
174,1777540526142258431,1777540526250663291,108404860
175,1777540526243753801,1777540526353321022,109567221
176,1777540526341983076,1777540526389771887,47788811
177,1777540526439354902,1777540526519787212,80432310
178,1777540526541189055,1777540526613189393,72000338
179,1777540526641584956,1777540526824882565,183297609
180,1777540526741505989,1777540526853768158,112262169
181,1777540526840510285,1777540526952650482,112140197
182,1777540526953923904,1777540527031144052,77220148
183,1777540527041075645,1777540527123712144,82636499
184,1777540527140957733,1777540527194013969,53056236
185,1777540527240423029,1777540527299303981,58880952
186,1777540527339457575,1777540527450203572,110745997
187,1777540527441024680,1777540527562926724,121902044
188,1777540527542891910,1777540527618579723,75687813
189,1777540527645084337,1777540527728026157,82941820
190,1777540527740555060,1777540527827420484,86865424
191,1777540527839848440,1777540527914301858,74453418
192,1777540527943209620,1777540528124172090,180962470
193,1777540528044341388,1777540528169977713,125636325
194,1777540528153044850,1777540528229349590,76304740
195,1777540528240684217,1777540528343647993,102963776
196,1777540528341969460,1777540528418038126,76068666
197,1777540528439888624,1777540528486956530,47067906
198,1777540528539295726,1777540528625673806,86378080
199,1777540528640585046,1777540528748221060,107636014
200,1777540528751192025,1777540528798180374,46988349
201,1777540528839492892,1777540528920669986,81177094
202,1777540528940090239,1777540528996354393,56264154
203,1777540529040006787,1777540529148705882,108699095
204,1777540529142572637,1777540529242191878,99619241
205,1777540529244084097,1777540529349186233,105102136
206,1777540529345310978,1777540529443481377,98170399
207,1777540529444586954,1777540529542911096,98324142
208,1777540529542234974,1777540529646052902,103817928
209,1777540529646058165,1777540529709255755,63197590
210,1777540529747103126,1777540529824846090,77742964
211,1777540529843107993,1777540529937173170,94065177
212,1777540529942562616,1777540530043807823,101245207
213,1777540530042821900,1777540530126158220,83336320
214,1777540530142402174,1777540530229374984,86972810
215,1777540530244306190,1777540530299861908,55555718
216,1777540530351068012,1777540530423435037,72367025
217,1777540530440756006,1777540530545214842,104458836
218,1777540530547656556,1777540530633849239,86192683
219,1777540530643649834,1777540530714312753,70662919
220,1777540530749920505,1777540530808784436,58863931
221,1777540530841926717,1777540530944544136,102617419
222,1777540530942870601,1777540531037914534,95043933
223,1777540531042459717,1777540531123819737,81360020
224,1777540531140128737,1777540531226052367,85923630
225,1777540531242125474,1777540531318821340,76695866
226,1777540531341152091,1777540531424459597,83307506
227,1777540531454571992,1777540531528313176,73741184
228,1777540531542032612,1777540531638958987,96926375
229,1777540531642685489,1777540531712486046,69800557
230,1777540531743109656,1777540531813500116,70390460
231,1777540531842532344,1777540531917086305,74553961
232,1777540531943293561,1777540532039086571,95793010
233,1777540532042871488,1777540532193151481,150279993
234,1777540532167467248,1777540532308058006,140590758
235,1777540532261866312,1777540532385444372,123578060
236,1777540532341245224,1777540532422254277,81009053
237,1777540532443679326,1777540532548396059,104716733
238,1777540532542244746,1777540532600848319,58603573
239,1777540532645279298,1777540532755331438,110052140
240,1777540532741033754,1777540532934744140,193710386
241,1777540532840391813,1777540532966228108,125836295
242,1777540532942905630,1777540533035383779,92478149
243,1777540533041407876,1777540533105092140,63684264
244,1777540533140034332,1777540533205704172,65669840
245,1777540533239615700,1777540533334474157,94858457
246,1777540533340447255,1777540533424675228,84227973
247,1777540533441366420,1777540533487718603,46352183
