t_sample,cpu_pct,rss_mb
1777540509.7039216,139.9,982.2265625
1777540510.7279124,140.6,982.23046875
1777540511.7347085,152.0,982.67578125
1777540512.7381082,139.5,984.10546875
1777540513.796967,134.1,985.01953125
1777540514.8047845,140.9,986.0
1777540515.8276062,133.0,986.85546875
1777540516.8964674,137.5,987.765625
1777540517.9210627,145.4,988.51953125
1777540518.9271972,144.1,988.51953125
1777540519.9423988,147.8,988.8359375
1777540520.9682386,158.9,988.8359375
1777540522.0080771,131.7,988.83984375
1777540523.0302932,147.7,988.83984375
1777540524.0482614,139.5,988.83984375
1777540525.0675964,153.0,989.3671875
1777540526.1000633,140.4,989.55859375
1777540527.1013007,146.8,989.55859375
1777540528.1265948,152.2,989.55859375
1777540529.1561651,145.7,989.73828125
1777540530.1790977,150.5,989.73828125
1777540531.2016447,145.7,989.9453125
1777540532.2562852,158.4,989.9453125
1777540533.3113554,160.2,989.9453125
1777540534.321656,138.6,990.05078125
1777540535.365504,141.8,990.05078125
1777540536.3746886,156.6,990.05078125
1777540537.4016986,134.4,990.05078125
1777540538.420269,141.4,990.05078125
